"arten","funk","jahr","value","dim","unit"
"100","","2015","71312853.07","bilanz","CHF"
"101","","2015","135393620.94","bilanz","CHF"
"102","","2015","657861.45","bilanz","CHF"
"104","","2015","30256182.89","bilanz","CHF"
"106","","2015","457518.25","bilanz","CHF"
"107","","2015","17330464","bilanz","CHF"
"108","","2015","108451684.2","bilanz","CHF"
"109","","2015","","bilanz","CHF"
"140","","2015","378249457.14","bilanz","CHF"
"141","","2015","","bilanz","CHF"
"142","","2015","5587493.19","bilanz","CHF"
"143","","2015","","bilanz","CHF"
"144","","2015","39432769.83","bilanz","CHF"
"145","","2015","53863781","bilanz","CHF"
"146","","2015","40393364.63","bilanz","CHF"
"147","","2015","","bilanz","CHF"
"148","","2015","-15263616.93","bilanz","CHF"
"200","","2015","144014153.52","bilanz","CHF"
"201","","2015","23207353.48","bilanz","CHF"
"204","","2015","34178227.47","bilanz","CHF"
"205","","2015","3348027.23","bilanz","CHF"
"206","","2015","286017510.13","bilanz","CHF"
"207","","2015","","bilanz","CHF"
"208","","2015","9035709.81","bilanz","CHF"
"209","","2015","15852760.81","bilanz","CHF"
"290","","2015","72502363.13","bilanz","CHF"
"292","","2015","261184.65","bilanz","CHF"
"293","","2015","47711627.61","bilanz","CHF"
"294","","2015","","bilanz","CHF"
"295","","2015","93421136.88","bilanz","CHF"
"296","","2015","35414124.19","bilanz","CHF"
"298","","2015","","bilanz","CHF"
"299","","2015","101159254.75","bilanz","CHF"
"300","","2015","6530734.89","aufwand","CHF"
"301","","2015","101730681.19","aufwand","CHF"
"302","","2015","67849509.43","aufwand","CHF"
"303","","2015","193283.85","aufwand","CHF"
"304","","2015","760968.75","aufwand","CHF"
"305","","2015","30240330.58","aufwand","CHF"
"306","","2015","342949.5","aufwand","CHF"
"309","","2015","2480327.07","aufwand","CHF"
"310","","2015","12243094.25","aufwand","CHF"
"311","","2015","4453311.02","aufwand","CHF"
"312","","2015","6017746.52","aufwand","CHF"
"313","","2015","47733715.8","aufwand","CHF"
"314","","2015","32875268.17","aufwand","CHF"
"315","","2015","3808275.27","aufwand","CHF"
"316","","2015","3656010.01","aufwand","CHF"
"317","","2015","2752861.09","aufwand","CHF"
"318","","2015","1411986.11","aufwand","CHF"
"319","","2015","3087942.19","aufwand","CHF"
"320","","2015","","aufwand","CHF"
"331","","2015","","aufwand","CHF"
"337","","2015","30258421.72","aufwand","CHF"
"338","","2015","","aufwand","CHF"
"340","","2015","3622353.74","aufwand","CHF"
"341","","2015","","aufwand","CHF"
"342","","2015","13824","aufwand","CHF"
"343","","2015","2674706.49","aufwand","CHF"
"344","","2015","128819.82","aufwand","CHF"
"349","","2015","2164.05","aufwand","CHF"
"350","","2015","539981.52","aufwand","CHF"
"351","","2015","5227811.31","aufwand","CHF"
"352","","2015","","aufwand","CHF"
"3600","","2015","","aufwand","CHF"
"36010","","2015","","aufwand","CHF"
"36011","","2015","","aufwand","CHF"
"36012","","2015","","aufwand","CHF"
"36013","","2015","","aufwand","CHF"
"36014","","2015","","aufwand","CHF"
"36015","","2015","","aufwand","CHF"
"36016","","2015","","aufwand","CHF"
"36017","","2015","","aufwand","CHF"
"36018","","2015","","aufwand","CHF"
"36019","","2015","","aufwand","CHF"
"36021","","2015","","aufwand","CHF"
"36022","","2015","","aufwand","CHF"
"36023","","2015","","aufwand","CHF"
"36029","","2015","","aufwand","CHF"
"3603","","2015","","aufwand","CHF"
"3604","","2015","","aufwand","CHF"
"3610","","2015","","aufwand","CHF"
"3611","","2015","7884064.41","aufwand","CHF"
"3612","","2015","","aufwand","CHF"
"3613","","2015","","aufwand","CHF"
"3614","","2015","349596.86","aufwand","CHF"
"3620","","2015","","aufwand","CHF"
"36211","","2015","","aufwand","CHF"
"36212","","2015","","aufwand","CHF"
"36213","","2015","","aufwand","CHF"
"36214","","2015","885617","aufwand","CHF"
"36215","","2015","","aufwand","CHF"
"36216","","2015","","aufwand","CHF"
"36217","","2015","","aufwand","CHF"
"36219","","2015","","aufwand","CHF"
"36221","","2015","","aufwand","CHF"
"36222","","2015","","aufwand","CHF"
"36223","","2015","","aufwand","CHF"
"36224","","2015","","aufwand","CHF"
"36225","","2015","","aufwand","CHF"
"36226","","2015","","aufwand","CHF"
"36227","","2015","","aufwand","CHF"
"36228","","2015","","aufwand","CHF"
"3624","","2015","","aufwand","CHF"
"3629","","2015","","aufwand","CHF"
"3630","","2015","","aufwand","CHF"
"3631","","2015","23255076","aufwand","CHF"
"3632","","2015","","aufwand","CHF"
"3633","","2015","1252808.1","aufwand","CHF"
"3634","","2015","29141859.06","aufwand","CHF"
"3635","","2015","85008029","aufwand","CHF"
"3636","","2015","44043634.22","aufwand","CHF"
"3637","","2015","81529246.4","aufwand","CHF"
"3638","","2015","202904","aufwand","CHF"
"3639","","2015","1524384.85","aufwand","CHF"
"364","","2015","","aufwand","CHF"
"365","","2015","","aufwand","CHF"
"366","","2015","2484538.82","aufwand","CHF"
"369","","2015","","aufwand","CHF"
"380","","2015","","aufwand","CHF"
"381","","2015","28930.25","aufwand","CHF"
"383","","2015","6155768.47","aufwand","CHF"
"384","","2015","3081.75","aufwand","CHF"
"3860","","2015","","aufwand","CHF"
"3861","","2015","","aufwand","CHF"
"3862","","2015","","aufwand","CHF"
"3863","","2015","","aufwand","CHF"
"3864","","2015","","aufwand","CHF"
"3865","","2015","","aufwand","CHF"
"3866","","2015","","aufwand","CHF"
"3867","","2015","","aufwand","CHF"
"3868","","2015","","aufwand","CHF"
"387","","2015","","aufwand","CHF"
"389","","2015","173401.78","aufwand","CHF"
"4000","","2015","233211837.45","ertrag","CHF"
"4001","","2015","48574024.43","ertrag","CHF"
"4002","","2015","8316746.49","ertrag","CHF"
"4008","","2015","","ertrag","CHF"
"4009","","2015","","ertrag","CHF"
"4010","","2015","28842852.49","ertrag","CHF"
"4011","","2015","3066840.21","ertrag","CHF"
"4012","","2015","","ertrag","CHF"
"4019","","2015","","ertrag","CHF"
"4020","","2015","","ertrag","CHF"
"4021","","2015","","ertrag","CHF"
"4022","","2015","11404761.45","ertrag","CHF"
"4023","","2015","9936000.25","ertrag","CHF"
"4024","","2015","6493244","ertrag","CHF"
"4025","","2015","","ertrag","CHF"
"4030","","2015","20470335.88","ertrag","CHF"
"4031","","2015","","ertrag","CHF"
"4032","","2015","","ertrag","CHF"
"4033","","2015","377118","ertrag","CHF"
"4039","","2015","370934.7","ertrag","CHF"
"4040","","2015","","ertrag","CHF"
"4041","","2015","","ertrag","CHF"
"4042","","2015","","ertrag","CHF"
"4043","","2015","","ertrag","CHF"
"4044","","2015","","ertrag","CHF"
"4045","","2015","","ertrag","CHF"
"4046","","2015","","ertrag","CHF"
"4047","","2015","","ertrag","CHF"
"4049","","2015","","ertrag","CHF"
"4050","","2015","","ertrag","CHF"
"4051","","2015","","ertrag","CHF"
"4052","","2015","","ertrag","CHF"
"4053","","2015","","ertrag","CHF"
"4059","","2015","","ertrag","CHF"
"4060","","2015","","ertrag","CHF"
"4070","","2015","","ertrag","CHF"
"4071","","2015","","ertrag","CHF"
"4072","","2015","","ertrag","CHF"
"4079","","2015","","ertrag","CHF"
"410","","2015","153575.85","ertrag","CHF"
"411","","2015","8828815","ertrag","CHF"
"412","","2015","385612","ertrag","CHF"
"413","","2015","2827531","ertrag","CHF"
"420","","2015","3654403.61","ertrag","CHF"
"421","","2015","11732849.34","ertrag","CHF"
"422","","2015","4758880","ertrag","CHF"
"423","","2015","6097896.67","ertrag","CHF"
"424","","2015","21876920.53","ertrag","CHF"
"425","","2015","12242597.06","ertrag","CHF"
"426","","2015","14340025.61","ertrag","CHF"
"427","","2015","5033603.9","ertrag","CHF"
"429","","2015","332373.51","ertrag","CHF"
"430","","2015","2919842.01","ertrag","CHF"
"431","","2015","1078704.04","ertrag","CHF"
"432","","2015","","ertrag","CHF"
"439","","2015","1214663.85","ertrag","CHF"
"440","","2015","1285319.13","ertrag","CHF"
"441","","2015","510818","ertrag","CHF"
"442","","2015","86045.25","ertrag","CHF"
"443","","2015","4299700.85","ertrag","CHF"
"444","","2015","195246.42","ertrag","CHF"
"445","","2015","1391.55","ertrag","CHF"
"446","","2015","2211731.6","ertrag","CHF"
