"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","121475344.61","bilanz","ktn_gdn_ar","CHF","fs"
"101","","2020","103413658.61","bilanz","ktn_gdn_ar","CHF","fs"
"102","","2020","4234859.35","bilanz","ktn_gdn_ar","CHF","fs"
"104","","2020","28945944.21","bilanz","ktn_gdn_ar","CHF","fs"
"106","","2020","253883.4","bilanz","ktn_gdn_ar","CHF","fs"
"107","","2020","21529123.23","bilanz","ktn_gdn_ar","CHF","fs"
"108","","2020","131785911.58","bilanz","ktn_gdn_ar","CHF","fs"
"109","","2020","105658.98","bilanz","ktn_gdn_ar","CHF","fs"
"140","","2020","395653459.88","bilanz","ktn_gdn_ar","CHF","fs"
"141","","2020","","bilanz","ktn_gdn_ar","CHF","fs"
"142","","2020","5710528.34","bilanz","ktn_gdn_ar","CHF","fs"
"143","","2020","","bilanz","ktn_gdn_ar","CHF","fs"
"144","","2020","9498558.28","bilanz","ktn_gdn_ar","CHF","fs"
"145","","2020","41074276.23","bilanz","ktn_gdn_ar","CHF","fs"
"146","","2020","67882614.17","bilanz","ktn_gdn_ar","CHF","fs"
"147","","2020","","bilanz","ktn_gdn_ar","CHF","fs"
"148","","2020","-33312051.56","bilanz","ktn_gdn_ar","CHF","fs"
"200","","2020","115551762.11","bilanz","ktn_gdn_ar","CHF","fs"
"201","","2020","38615582.51","bilanz","ktn_gdn_ar","CHF","fs"
"204","","2020","41541834.86","bilanz","ktn_gdn_ar","CHF","fs"
"205","","2020","4670645.45","bilanz","ktn_gdn_ar","CHF","fs"
"206","","2020","281470963.75","bilanz","ktn_gdn_ar","CHF","fs"
"207","","2020","","bilanz","ktn_gdn_ar","CHF","fs"
"208","","2020","6135145.51","bilanz","ktn_gdn_ar","CHF","fs"
"209","","2020","16240725.34","bilanz","ktn_gdn_ar","CHF","fs"
"290","","2020","77091385.82","bilanz","ktn_gdn_ar","CHF","fs"
"292","","2020","1375641.29","bilanz","ktn_gdn_ar","CHF","fs"
"293","","2020","48098874.86","bilanz","ktn_gdn_ar","CHF","fs"
"294","","2020","","bilanz","ktn_gdn_ar","CHF","fs"
"295","","2020","33469237.82","bilanz","ktn_gdn_ar","CHF","fs"
"296","","2020","28722803.73","bilanz","ktn_gdn_ar","CHF","fs"
"298","","2020","","bilanz","ktn_gdn_ar","CHF","fs"
"299","","2020","205267166.26","bilanz","ktn_gdn_ar","CHF","fs"
"empty","","2020","","er","ktn_gdn_ar","CHF","fs"
"empty","","2020","","er","ktn_gdn_ar","CHF","fs"
"empty","","2020","","er","ktn_gdn_ar","CHF","fs"
"empty","","2020","","er","ktn_gdn_ar","CHF","fs"
"300","","2020","6634116","aufwand","ktn_gdn_ar","CHF","fs"
