"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","622191761.23","bilanz","ktn_gdn_bl","CHF","fs"
"101","","2016","1274299640.47","bilanz","ktn_gdn_bl","CHF","fs"
"102","","2016","63424495.38","bilanz","ktn_gdn_bl","CHF","fs"
"104","","2016","554237257.44","bilanz","ktn_gdn_bl","CHF","fs"
"106","","2016","5404658.72","bilanz","ktn_gdn_bl","CHF","fs"
"107","","2016","119919787.33","bilanz","ktn_gdn_bl","CHF","fs"
"108","","2016","972295735.64","bilanz","ktn_gdn_bl","CHF","fs"
"109","","2016","","bilanz","ktn_gdn_bl","CHF","fs"
"140","","2016","2433831527.61","bilanz","ktn_gdn_bl","CHF","fs"
"141","","2016","","bilanz","ktn_gdn_bl","CHF","fs"
"142","","2016","18701810.26","bilanz","ktn_gdn_bl","CHF","fs"
"143","","2016","","bilanz","ktn_gdn_bl","CHF","fs"
"144","","2016","329403665.92","bilanz","ktn_gdn_bl","CHF","fs"
"145","","2016","338159403.04","bilanz","ktn_gdn_bl","CHF","fs"
"146","","2016","189485533.41","bilanz","ktn_gdn_bl","CHF","fs"
"147","","2016","","bilanz","ktn_gdn_bl","CHF","fs"
"148","","2016","","bilanz","ktn_gdn_bl","CHF","fs"
"200","","2016","1578982410.92","bilanz","ktn_gdn_bl","CHF","fs"
"201","","2016","70491103.58","bilanz","ktn_gdn_bl","CHF","fs"
"204","","2016","254348159.81","bilanz","ktn_gdn_bl","CHF","fs"
"205","","2016","80125306.04","bilanz","ktn_gdn_bl","CHF","fs"
"206","","2016","3665988848.63","bilanz","ktn_gdn_bl","CHF","fs"
"207","","2016","","bilanz","ktn_gdn_bl","CHF","fs"
"208","","2016","494967567.49","bilanz","ktn_gdn_bl","CHF","fs"
"209","","2016","15556167.72","bilanz","ktn_gdn_bl","CHF","fs"
"290","","2016","481818224.92","bilanz","ktn_gdn_bl","CHF","fs"
"292","","2016","","bilanz","ktn_gdn_bl","CHF","fs"
"293","","2016","216008188.16","bilanz","ktn_gdn_bl","CHF","fs"
"294","","2016","","bilanz","ktn_gdn_bl","CHF","fs"
"295","","2016","","bilanz","ktn_gdn_bl","CHF","fs"
"296","","2016","220974116.85","bilanz","ktn_gdn_bl","CHF","fs"
"298","","2016","","bilanz","ktn_gdn_bl","CHF","fs"
"299","","2016","-157904817.67","bilanz","ktn_gdn_bl","CHF","fs"
"empty","","2016","","er","ktn_gdn_bl","CHF","fs"
"empty","","2016","","er","ktn_gdn_bl","CHF","fs"
"empty","","2016","","er","ktn_gdn_bl","CHF","fs"
"empty","","2016","","er","ktn_gdn_bl","CHF","fs"
"300","","2016","20577946.99","aufwand","ktn_gdn_bl","CHF","fs"
"301","","2016","483659480.86","aufwand","ktn_gdn_bl","CHF","fs"
"302","","2016","381763043.88","aufwand","ktn_gdn_bl","CHF","fs"
