"arten","funk","jahr","value","dim","unit"
"100","","2020","534344302.23","bilanz","CHF"
"101","","2020","1904966451.21","bilanz","CHF"
"102","","2020","69418059.86","bilanz","CHF"
"104","","2020","473423667.42","bilanz","CHF"
"106","","2020","8386292.65","bilanz","CHF"
"107","","2020","106774153.83","bilanz","CHF"
"108","","2020","1111249809.25","bilanz","CHF"
"109","","2020","","bilanz","CHF"
"140","","2020","2910786073.24","bilanz","CHF"
"141","","2020","","bilanz","CHF"
"142","","2020","27582969.56","bilanz","CHF"
"143","","2020","","bilanz","CHF"
"144","","2020","202108038.73","bilanz","CHF"
"145","","2020","443198632.59","bilanz","CHF"
"146","","2020","195641023.17","bilanz","CHF"
"147","","2020","","bilanz","CHF"
"148","","2020","","bilanz","CHF"
"200","","2020","1893335480.34","bilanz","CHF"
"201","","2020","152370504.26","bilanz","CHF"
"204","","2020","378486144.61","bilanz","CHF"
"205","","2020","55452286.18","bilanz","CHF"
"206","","2020","3537625451.6","bilanz","CHF"
"207","","2020","","bilanz","CHF"
"208","","2020","418860155.21","bilanz","CHF"
"209","","2020","57797582.1","bilanz","CHF"
"290","","2020","657315578.6","bilanz","CHF"
"292","","2020","359000","bilanz","CHF"
"293","","2020","396631934.4","bilanz","CHF"
"294","","2020","108372944.13","bilanz","CHF"
"295","","2020","","bilanz","CHF"
"296","","2020","-843882.75","bilanz","CHF"
"298","","2020","","bilanz","CHF"
"299","","2020","332116295.06","bilanz","CHF"
"300","","2020","20255991.21","aufwand","CHF"
"301","","2020","519055839.64","aufwand","CHF"
"302","","2020","420007303.24","aufwand","CHF"
"303","","2020","1551078.18","aufwand","CHF"
"304","","2020","13409574.08","aufwand","CHF"
"305","","2020","170205689.81","aufwand","CHF"
"306","","2020","149056","aufwand","CHF"
"309","","2020","7774623.66","aufwand","CHF"
"310","","2020","43822158.32","aufwand","CHF"
"311","","2020","35636036.82","aufwand","CHF"
"312","","2020","32159427.68","aufwand","CHF"
"313","","2020","228241415.53","aufwand","CHF"
"314","","2020","73370599.19","aufwand","CHF"
"315","","2020","28396288.75","aufwand","CHF"
"316","","2020","28691887.33","aufwand","CHF"
"317","","2020","7208893.58","aufwand","CHF"
"318","","2020","32172333.27","aufwand","CHF"
"319","","2020","7828534.74","aufwand","CHF"
"320","","2020","","aufwand","CHF"
"331","","2020","","aufwand","CHF"
"337","","2020","144294690.52","aufwand","CHF"
"338","","2020","16541800.58","aufwand","CHF"
"340","","2020","37564412.9","aufwand","CHF"
"341","","2020","4900745.04","aufwand","CHF"
"342","","2020","934381.83","aufwand","CHF"
"343","","2020","5419087.58","aufwand","CHF"
"344","","2020","3185591.09","aufwand","CHF"
"349","","2020","3434142.4","aufwand","CHF"
"350","","2020","897183","aufwand","CHF"
"351","","2020","22074450.1","aufwand","CHF"
"352","","2020","","aufwand","CHF"
"3600","","2020","","aufwand","CHF"
"36010","","2020","","aufwand","CHF"
"36011","","2020","","aufwand","CHF"
"36012","","2020","","aufwand","CHF"
"36013","","2020","","aufwand","CHF"
"36014","","2020","","aufwand","CHF"
"36015","","2020","","aufwand","CHF"
"36016","","2020","","aufwand","CHF"
"36017","","2020","","aufwand","CHF"
"36018","","2020","","aufwand","CHF"
"36019","","2020","","aufwand","CHF"
"36021","","2020","","aufwand","CHF"
"36022","","2020","","aufwand","CHF"
"36023","","2020","","aufwand","CHF"
"36029","","2020","","aufwand","CHF"
"3603","","2020","","aufwand","CHF"
"3604","","2020","","aufwand","CHF"
"3610","","2020","","aufwand","CHF"
"3611","","2020","1596417.45","aufwand","CHF"
"3612","","2020","","aufwand","CHF"
"3613","","2020","","aufwand","CHF"
"3614","","2020","450621710.4","aufwand","CHF"
"3620","","2020","","aufwand","CHF"
"36211","","2020","","aufwand","CHF"
"36212","","2020","","aufwand","CHF"
"36213","","2020","","aufwand","CHF"
"36214","","2020","3114068","aufwand","CHF"
"36215","","2020","","aufwand","CHF"
"36216","","2020","","aufwand","CHF"
"36217","","2020","","aufwand","CHF"
"36219","","2020","","aufwand","CHF"
"36221","","2020","","aufwand","CHF"
"36222","","2020","","aufwand","CHF"
"36223","","2020","","aufwand","CHF"
"36224","","2020","","aufwand","CHF"
"36225","","2020","","aufwand","CHF"
"36226","","2020","","aufwand","CHF"
"36227","","2020","","aufwand","CHF"
"36228","","2020","","aufwand","CHF"
"3624","","2020","","aufwand","CHF"
"3629","","2020","","aufwand","CHF"
"3630","","2020","","aufwand","CHF"
"3631","","2020","294898674.15","aufwand","CHF"
"3632","","2020","","aufwand","CHF"
"3633","","2020","5963694.8","aufwand","CHF"
"3634","","2020","88017612.58","aufwand","CHF"
"3635","","2020","71406280.98","aufwand","CHF"
"3636","","2020","392975447.5","aufwand","CHF"
"3637","","2020","495326692.18","aufwand","CHF"
"3638","","2020","1056395.74","aufwand","CHF"
"3639","","2020","7754488.83","aufwand","CHF"
"364","","2020","70000","aufwand","CHF"
"365","","2020","1.5e+07","aufwand","CHF"
"366","","2020","7902422.71","aufwand","CHF"
"369","","2020","","aufwand","CHF"
"380","","2020","-535940.49","aufwand","CHF"
"381","","2020","26846191.17","aufwand","CHF"
"383","","2020","","aufwand","CHF"
"384","","2020","67100.15","aufwand","CHF"
"3860","","2020","","aufwand","CHF"
"3861","","2020","","aufwand","CHF"
"3862","","2020","","aufwand","CHF"
"3863","","2020","","aufwand","CHF"
"3864","","2020","43249626","aufwand","CHF"
"3865","","2020","48766715.45","aufwand","CHF"
"3866","","2020","7138501.97","aufwand","CHF"
"3867","","2020","","aufwand","CHF"
"3868","","2020","","aufwand","CHF"
"387","","2020","","aufwand","CHF"
"389","","2020","66077394.43","aufwand","CHF"
"4000","","2020","1718956073.98","ertrag","CHF"
"4001","","2020","291850874.83","ertrag","CHF"
"4002","","2020","72080893.45","ertrag","CHF"
"4008","","2020","","ertrag","CHF"
"4009","","2020","","ertrag","CHF"
"4010","","2020","218516531.12","ertrag","CHF"
"4011","","2020","38448675.12","ertrag","CHF"
"4012","","2020","","ertrag","CHF"
"4019","","2020","","ertrag","CHF"
"4020","","2020","","ertrag","CHF"
"4021","","2020","","ertrag","CHF"
"4022","","2020","81981834","ertrag","CHF"
"4023","","2020","36743743.3","ertrag","CHF"
"4024","","2020","48928854.1","ertrag","CHF"
"4025","","2020","","ertrag","CHF"
"4030","","2020","97621349.41","ertrag","CHF"
"4031","","2020","","ertrag","CHF"
"4032","","2020","","ertrag","CHF"
"4033","","2020","1655706.6","ertrag","CHF"
"4039","","2020","424164.42","ertrag","CHF"
"4040","","2020","","ertrag","CHF"
"4041","","2020","","ertrag","CHF"
"4042","","2020","","ertrag","CHF"
"4043","","2020","","ertrag","CHF"
"4044","","2020","","ertrag","CHF"
"4045","","2020","","ertrag","CHF"
"4046","","2020","","ertrag","CHF"
"4047","","2020","","ertrag","CHF"
"4049","","2020","","ertrag","CHF"
"4050","","2020","","ertrag","CHF"
"4051","","2020","","ertrag","CHF"
"4052","","2020","","ertrag","CHF"
"4053","","2020","","ertrag","CHF"
"4059","","2020","","ertrag","CHF"
"4060","","2020","","ertrag","CHF"
"4070","","2020","","ertrag","CHF"
"4071","","2020","","ertrag","CHF"
"4072","","2020","","ertrag","CHF"
"4079","","2020","","ertrag","CHF"
"410","","2020","337812.75","ertrag","CHF"
"411","","2020","90068563","ertrag","CHF"
"412","","2020","12829971.83","ertrag","CHF"
"413","","2020","18292213","ertrag","CHF"
"420","","2020","13657739.74","ertrag","CHF"
"421","","2020","72221683.63","ertrag","CHF"
"422","","2020","94120.08","ertrag","CHF"
"423","","2020","7131312.39","ertrag","CHF"
"424","","2020","107578900.56","ertrag","CHF"
