"arten","funk","jahr","value","dim","unit"
"100","","2022","520885984.09","bilanz","CHF"
"101","","2022","162372857.57","bilanz","CHF"
"102","","2022","9926793.94","bilanz","CHF"
"104","","2022","709384374.81","bilanz","CHF"
"106","","2022","11289775.41","bilanz","CHF"
"107","","2022","1284329187.96","bilanz","CHF"
"108","","2022","916733045.41","bilanz","CHF"
"109","","2022","65904.51","bilanz","CHF"
"140","","2022","3943168771.28","bilanz","CHF"
"141","","2022","19576","bilanz","CHF"
"142","","2022","42021852.13","bilanz","CHF"
"143","","2022","1202852.1","bilanz","CHF"
"144","","2022","149649496.43","bilanz","CHF"
"145","","2022","253010246.11","bilanz","CHF"
"146","","2022","140371169.81","bilanz","CHF"
"147","","2022","","bilanz","CHF"
"148","","2022","","bilanz","CHF"
"200","","2022","231058087.94","bilanz","CHF"
"201","","2022","307752301.62","bilanz","CHF"
"204","","2022","333530917.16","bilanz","CHF"
"205","","2022","95338845.57","bilanz","CHF"
"206","","2022","2400791024.01","bilanz","CHF"
"207","","2022","","bilanz","CHF"
"208","","2022","496612117.01","bilanz","CHF"
"209","","2022","121502724.74","bilanz","CHF"
"290","","2022","763413990.66","bilanz","CHF"
"292","","2022","1149498.4","bilanz","CHF"
"293","","2022","238792974.96","bilanz","CHF"
"294","","2022","","bilanz","CHF"
"295","","2022","436243758.73","bilanz","CHF"
"296","","2022","23553340.3","bilanz","CHF"
"298","","2022","40823138.98","bilanz","CHF"
"299","","2022","2653869167.48","bilanz","CHF"
"300","","2022","36556507.21","aufwand","CHF"
"301","","2022","741822682.22","aufwand","CHF"
"302","","2022","674846236.9","aufwand","CHF"
"303","","2022","744141.03","aufwand","CHF"
"304","","2022","18006932.56","aufwand","CHF"
"305","","2022","297067082.96","aufwand","CHF"
"306","","2022","25398197.55","aufwand","CHF"
"309","","2022","11497618.16","aufwand","CHF"
"310","","2022","83958727.44","aufwand","CHF"
"311","","2022","50591840.95","aufwand","CHF"
"312","","2022","46046511.51","aufwand","CHF"
"313","","2022","326076879.76","aufwand","CHF"
"314","","2022","104171962.35","aufwand","CHF"
"315","","2022","43624693.22","aufwand","CHF"
"316","","2022","31214598.24","aufwand","CHF"
"317","","2022","22247731.99","aufwand","CHF"
"318","","2022","30629674.99","aufwand","CHF"
"319","","2022","61404306.77","aufwand","CHF"
"320","","2022","","aufwand","CHF"
"331","","2022","71994.55","aufwand","CHF"
"337","","2022","199524073.02","aufwand","CHF"
"338","","2022","1941500.91","aufwand","CHF"
"340","","2022","14879083.87","aufwand","CHF"
"341","","2022","75201.39","aufwand","CHF"
"342","","2022","12568.64","aufwand","CHF"
"343","","2022","5684817.99","aufwand","CHF"
"344","","2022","4152346.66","aufwand","CHF"
"349","","2022","10575919.73","aufwand","CHF"
"350","","2022","11176833.72","aufwand","CHF"
"351","","2022","273890046.14","aufwand","CHF"
"352","","2022","2097175.89","aufwand","CHF"
"3600","","2022","","aufwand","CHF"
"36010","","2022","","aufwand","CHF"
"36011","","2022","","aufwand","CHF"
"36012","","2022","","aufwand","CHF"
"36013","","2022","","aufwand","CHF"
"36014","","2022","","aufwand","CHF"
"36015","","2022","","aufwand","CHF"
"36016","","2022","","aufwand","CHF"
"36017","","2022","","aufwand","CHF"
"36018","","2022","","aufwand","CHF"
"36019","","2022","","aufwand","CHF"
"36021","","2022","","aufwand","CHF"
"36022","","2022","","aufwand","CHF"
"36023","","2022","","aufwand","CHF"
"36029","","2022","","aufwand","CHF"
"3603","","2022","","aufwand","CHF"
"3604","","2022","445169","aufwand","CHF"
"3610","","2022","","aufwand","CHF"
"3611","","2022","25984874","aufwand","CHF"
"3612","","2022","","aufwand","CHF"
"3613","","2022","","aufwand","CHF"
"3614","","2022","612190.97","aufwand","CHF"
"3620","","2022","","aufwand","CHF"
"36211","","2022","","aufwand","CHF"
"36212","","2022","","aufwand","CHF"
"36213","","2022","","aufwand","CHF"
"36214","","2022","2489726","aufwand","CHF"
"36215","","2022","","aufwand","CHF"
"36216","","2022","","aufwand","CHF"
"36217","","2022","","aufwand","CHF"
"36219","","2022","","aufwand","CHF"
"36221","","2022","","aufwand","CHF"
"36222","","2022","","aufwand","CHF"
"36223","","2022","","aufwand","CHF"
"36224","","2022","","aufwand","CHF"
"36225","","2022","","aufwand","CHF"
"36226","","2022","","aufwand","CHF"
"36227","","2022","","aufwand","CHF"
"36228","","2022","","aufwand","CHF"
"3624","","2022","","aufwand","CHF"
