"arten","funk","jahr","value","dim","unit"
"100","","2020","586969066.08","bilanz","CHF"
"101","","2020","2074421901.42","bilanz","CHF"
"102","","2020","48907291.23","bilanz","CHF"
"104","","2020","1553288206.05","bilanz","CHF"
"106","","2020","22233968.08","bilanz","CHF"
"107","","2020","1529255240.26","bilanz","CHF"
"108","","2020","6039484324.52","bilanz","CHF"
"109","","2020","21695724.74","bilanz","CHF"
"140","","2020","15397952568.73","bilanz","CHF"
"141","","2020","867769","bilanz","CHF"
"142","","2020","171946045.98","bilanz","CHF"
"143","","2020","","bilanz","CHF"
"144","","2020","823811673.85","bilanz","CHF"
"145","","2020","1813087727.46","bilanz","CHF"
"146","","2020","1531500345.04","bilanz","CHF"
"147","","2020","","bilanz","CHF"
"148","","2020","-96266948.88","bilanz","CHF"
"200","","2020","3578616184.33","bilanz","CHF"
"201","","2020","2428150861.42","bilanz","CHF"
"204","","2020","402905592.52","bilanz","CHF"
"205","","2020","375796482.59","bilanz","CHF"
"206","","2020","18482980834.43","bilanz","CHF"
"207","","2020","","bilanz","CHF"
"208","","2020","257307252.39","bilanz","CHF"
"209","","2020","385273298.94","bilanz","CHF"
"290","","2020","330729319.06","bilanz","CHF"
"292","","2020","","bilanz","CHF"
"293","","2020","3426142","bilanz","CHF"
"294","","2020","-3716289376.92","bilanz","CHF"
"295","","2020","743378","bilanz","CHF"
"296","","2020","33624036.79","bilanz","CHF"
"298","","2020","20114678.55","bilanz","CHF"
"299","","2020","8935776219.46","bilanz","CHF"
"300","","2020","60512638.16","aufwand","CHF"
"301","","2020","2307661516.95","aufwand","CHF"
"302","","2020","1217706065.27","aufwand","CHF"
"303","","2020","18491359.88","aufwand","CHF"
"304","","2020","72473619.59","aufwand","CHF"
"305","","2020","844052723.04","aufwand","CHF"
"306","","2020","19119523.55","aufwand","CHF"
"309","","2020","22278273.8","aufwand","CHF"
"310","","2020","120983849.63","aufwand","CHF"
"311","","2020","31557638.75","aufwand","CHF"
"312","","2020","77267280","aufwand","CHF"
"313","","2020","430045724.34","aufwand","CHF"
"314","","2020","200595545.45","aufwand","CHF"
"315","","2020","49258782.04","aufwand","CHF"
"316","","2020","99932623.1","aufwand","CHF"
"317","","2020","11016281.1","aufwand","CHF"
"318","","2020","150887877.72","aufwand","CHF"
"319","","2020","34072637.93","aufwand","CHF"
"320","","2020","","aufwand","CHF"
"331","","2020","","aufwand","CHF"
"337","","2020","626231089.2","aufwand","CHF"
"338","","2020","639880.44","aufwand","CHF"
"340","","2020","257549214.78","aufwand","CHF"
"341","","2020","30264736.28","aufwand","CHF"
"342","","2020","2081816.4","aufwand","CHF"
"343","","2020","59941075.47","aufwand","CHF"
"344","","2020","47792429.08","aufwand","CHF"
"349","","2020","4076723.94","aufwand","CHF"
"350","","2020","21490520.78","aufwand","CHF"
"351","","2020","","aufwand","CHF"
"352","","2020","2127245","aufwand","CHF"
"3600","","2020","","aufwand","CHF"
"36010","","2020","","aufwand","CHF"
"36011","","2020","","aufwand","CHF"
"36012","","2020","","aufwand","CHF"
"36013","","2020","","aufwand","CHF"
"36014","","2020","","aufwand","CHF"
"36015","","2020","","aufwand","CHF"
"36016","","2020","","aufwand","CHF"
"36017","","2020","","aufwand","CHF"
"36018","","2020","","aufwand","CHF"
"36019","","2020","","aufwand","CHF"
"36021","","2020","","aufwand","CHF"
"36022","","2020","","aufwand","CHF"
"36023","","2020","","aufwand","CHF"
"36029","","2020","","aufwand","CHF"
"3603","","2020","","aufwand","CHF"
"3604","","2020","","aufwand","CHF"
"3610","","2020","","aufwand","CHF"
"3611","","2020","26294416.42","aufwand","CHF"
"3612","","2020","","aufwand","CHF"
"3613","","2020","","aufwand","CHF"
"3614","","2020","","aufwand","CHF"
"3620","","2020","","aufwand","CHF"
"36211","","2020","378880482","aufwand","CHF"
"36212","","2020","","aufwand","CHF"
"36213","","2020","","aufwand","CHF"
"36214","","2020","4945140","aufwand","CHF"
"36215","","2020","","aufwand","CHF"
"36216","","2020","","aufwand","CHF"
"36217","","2020","","aufwand","CHF"
"36219","","2020","","aufwand","CHF"
"36221","","2020","","aufwand","CHF"
"36222","","2020","","aufwand","CHF"
"36223","","2020","","aufwand","CHF"
"36224","","2020","","aufwand","CHF"
"36225","","2020","","aufwand","CHF"
"36226","","2020","","aufwand","CHF"
"36227","","2020","","aufwand","CHF"
"36228","","2020","","aufwand","CHF"
"3624","","2020","","aufwand","CHF"
"3629","","2020","","aufwand","CHF"
"3630","","2020","1e+06","aufwand","CHF"
"3631","","2020","135081845.36","aufwand","CHF"
"3632","","2020","","aufwand","CHF"
"3633","","2020","14600353.6","aufwand","CHF"
"3634","","2020","1494708500","aufwand","CHF"
"3635","","2020","49144979.2","aufwand","CHF"
"3636","","2020","1050120387.51","aufwand","CHF"
"3637","","2020","1814401588.96","aufwand","CHF"
"3638","","2020","356573672.2","aufwand","CHF"
"3639","","2020","49878825.9","aufwand","CHF"
"364","","2020","4978386.4","aufwand","CHF"
"365","","2020","400905","aufwand","CHF"
"366","","2020","138215804.32","aufwand","CHF"
"369","","2020","2943731.9","aufwand","CHF"
"380","","2020","3697503.39999962","aufwand","CHF"
"381","","2020","15543888","aufwand","CHF"
"383","","2020","22824401.68","aufwand","CHF"
"384","","2020","93521","aufwand","CHF"
"3860","","2020","","aufwand","CHF"
"3861","","2020","","aufwand","CHF"
"3862","","2020","","aufwand","CHF"
"3863","","2020","","aufwand","CHF"
"3864","","2020","212637089","aufwand","CHF"
"3865","","2020","86688821.16","aufwand","CHF"
"3866","","2020","47842057","aufwand","CHF"
