"arten","funk","jahr","value","dim","unit"
"100","","2017","40501596.9","bilanz","CHF"
"101","","2017","152587262.47","bilanz","CHF"
"102","","2017","5e+06","bilanz","CHF"
"104","","2017","4686423.94","bilanz","CHF"
"106","","2017","638332.9","bilanz","CHF"
"107","","2017","291007872.4","bilanz","CHF"
"108","","2017","119715692.94","bilanz","CHF"
"109","","2017","","bilanz","CHF"
"140","","2017","134213880.77","bilanz","CHF"
"141","","2017","","bilanz","CHF"
"142","","2017","5000603.87","bilanz","CHF"
"143","","2017","","bilanz","CHF"
"144","","2017","23698488.02","bilanz","CHF"
"145","","2017","164920823.56","bilanz","CHF"
"146","","2017","88613030.58","bilanz","CHF"
"147","","2017","","bilanz","CHF"
"148","","2017","-62899068.84","bilanz","CHF"
"200","","2017","109963834.62","bilanz","CHF"
"201","","2017","5.6e+07","bilanz","CHF"
"204","","2017","11022292.64","bilanz","CHF"
"205","","2017","3215808.05","bilanz","CHF"
"206","","2017","130703183.64","bilanz","CHF"
"207","","2017","","bilanz","CHF"
"208","","2017","4175126.2","bilanz","CHF"
"209","","2017","30526714.15","bilanz","CHF"
"290","","2017","146421790.04","bilanz","CHF"
"292","","2017","","bilanz","CHF"
"293","","2017","202094.3","bilanz","CHF"
"294","","2017","34345598.89","bilanz","CHF"
"295","","2017","84704370.81","bilanz","CHF"
"296","","2017","179278257.01","bilanz","CHF"
"298","","2017","","bilanz","CHF"
"299","","2017","177125869.16","bilanz","CHF"
"300","","2017","2886910.3","aufwand","CHF"
"301","","2017","77746276.16","aufwand","CHF"
"302","","2017","50276073.67","aufwand","CHF"
"303","","2017","1820","aufwand","CHF"
"304","","2017","78157.45","aufwand","CHF"
"305","","2017","24022974.44","aufwand","CHF"
"306","","2017","741014","aufwand","CHF"
"309","","2017","1929544.68","aufwand","CHF"
"310","","2017","7115243.7","aufwand","CHF"
"311","","2017","4031653.52","aufwand","CHF"
"312","","2017","4652975.96","aufwand","CHF"
"313","","2017","37558018.89","aufwand","CHF"
"314","","2017","13709717.65","aufwand","CHF"
"315","","2017","4103390.23","aufwand","CHF"
"316","","2017","2444369.16","aufwand","CHF"
"317","","2017","1479883.23","aufwand","CHF"
"318","","2017","2220146.12","aufwand","CHF"
"319","","2017","484285.27","aufwand","CHF"
"320","","2017","","aufwand","CHF"
"331","","2017","","aufwand","CHF"
"337","","2017","15515636.79","aufwand","CHF"
"338","","2017","","aufwand","CHF"
"340","","2017","793789.4","aufwand","CHF"
"341","","2017","","aufwand","CHF"
"342","","2017","32871.67","aufwand","CHF"
"343","","2017","1797297.27","aufwand","CHF"
"344","","2017","2611565","aufwand","CHF"
"349","","2017","6944.5","aufwand","CHF"
"350","","2017","722034.67","aufwand","CHF"
"351","","2017","3700529.07","aufwand","CHF"
"352","","2017","87058.25","aufwand","CHF"
"3600","","2017","","aufwand","CHF"
"36010","","2017","","aufwand","CHF"
"36011","","2017","","aufwand","CHF"
"36012","","2017","","aufwand","CHF"
"36013","","2017","","aufwand","CHF"
"36014","","2017","","aufwand","CHF"
"36015","","2017","","aufwand","CHF"
"36016","","2017","","aufwand","CHF"
"36017","","2017","","aufwand","CHF"
"36018","","2017","","aufwand","CHF"
"36019","","2017","","aufwand","CHF"
"36021","","2017","","aufwand","CHF"
"36022","","2017","","aufwand","CHF"
"36023","","2017","","aufwand","CHF"
"36029","","2017","","aufwand","CHF"
"3603","","2017","","aufwand","CHF"
"3604","","2017","","aufwand","CHF"
"3610","","2017","","aufwand","CHF"
"3611","","2017","2694516.05","aufwand","CHF"
"3612","","2017","","aufwand","CHF"
"3613","","2017","","aufwand","CHF"
"3614","","2017","76597","aufwand","CHF"
"3620","","2017","","aufwand","CHF"
"36211","","2017","","aufwand","CHF"
"36212","","2017","","aufwand","CHF"
"36213","","2017","","aufwand","CHF"
"36214","","2017","572130","aufwand","CHF"
"36215","","2017","","aufwand","CHF"
"36216","","2017","","aufwand","CHF"
"36217","","2017","","aufwand","CHF"
"36219","","2017","","aufwand","CHF"
"36221","","2017","","aufwand","CHF"
"36222","","2017","","aufwand","CHF"
"36223","","2017","","aufwand","CHF"
"36224","","2017","","aufwand","CHF"
"36225","","2017","","aufwand","CHF"
"36226","","2017","","aufwand","CHF"
"36227","","2017","","aufwand","CHF"
"36228","","2017","","aufwand","CHF"
"3624","","2017","","aufwand","CHF"
"3629","","2017","","aufwand","CHF"
"3630","","2017","","aufwand","CHF"
"3631","","2017","23509459.17","aufwand","CHF"
"3632","","2017","","aufwand","CHF"
"3633","","2017","859473.1","aufwand","CHF"
"3634","","2017","66427050.06","aufwand","CHF"
"3635","","2017","45115483.25","aufwand","CHF"
"3636","","2017","33668461.94","aufwand","CHF"
"3637","","2017","39638699.37","aufwand","CHF"
"3638","","2017","","aufwand","CHF"
"3639","","2017","1569271.6","aufwand","CHF"
"364","","2017","3447800","aufwand","CHF"
"365","","2017","1985491.62","aufwand","CHF"
"366","","2017","9007696.26","aufwand","CHF"
"369","","2017","","aufwand","CHF"
"380","","2017","","aufwand","CHF"
"381","","2017","","aufwand","CHF"
"383","","2017","7655288.4","aufwand","CHF"
"384","","2017","","aufwand","CHF"
"3860","","2017","","aufwand","CHF"
"3861","","2017","","aufwand","CHF"
"3862","","2017","","aufwand","CHF"
"3863","","2017","","aufwand","CHF"
"3864","","2017","","aufwand","CHF"
"3865","","2017","","aufwand","CHF"
"3866","","2017","","aufwand","CHF"
"3867","","2017","","aufwand","CHF"
"3868","","2017","","aufwand","CHF"
"387","","2017","14155200.85","aufwand","CHF"
"389","","2017","11578634.07","aufwand","CHF"
"4000","","2017","138982134.29","ertrag","CHF"
"4001","","2017","23808344.2","ertrag","CHF"
"4002","","2017","8694857.7","ertrag","CHF"
"4008","","2017","","ertrag","CHF"
"4009","","2017","","ertrag","CHF"
"4010","","2017","21690230.2","ertrag","CHF"
"4011","","2017","6015297.45","ertrag","CHF"
"4012","","2017","","ertrag","CHF"
"4019","","2017","","ertrag","CHF"
"4020","","2017","","ertrag","CHF"
"4021","","2017","","ertrag","CHF"
"4022","","2017","3408393.26","ertrag","CHF"
"4023","","2017","","ertrag","CHF"
"4024","","2017","1610923.4","ertrag","CHF"
"4025","","2017","","ertrag","CHF"
"4030","","2017","11602099.1","ertrag","CHF"
"4031","","2017","155892","ertrag","CHF"
"4032","","2017","","ertrag","CHF"
"4033","","2017","546150","ertrag","CHF"
"4039","","2017","909162.36","ertrag","CHF"
"4040","","2017","","ertrag","CHF"
"4041","","2017","","ertrag","CHF"
"4042","","2017","","ertrag","CHF"
"4043","","2017","","ertrag","CHF"
"4044","","2017","","ertrag","CHF"
"4045","","2017","","ertrag","CHF"
"4046","","2017","","ertrag","CHF"
"4047","","2017","","ertrag","CHF"
"4049","","2017","","ertrag","CHF"
"4050","","2017","","ertrag","CHF"
"4051","","2017","","ertrag","CHF"
"4052","","2017","","ertrag","CHF"
"4053","","2017","","ertrag","CHF"
"4059","","2017","","ertrag","CHF"
"4060","","2017","","ertrag","CHF"
"4070","","2017","","ertrag","CHF"
"4071","","2017","","ertrag","CHF"
"4072","","2017","","ertrag","CHF"
"4079","","2017","","ertrag","CHF"
"410","","2017","455190.9","ertrag","CHF"
"411","","2017","5556822","ertrag","CHF"
"412","","2017","10465735.63","ertrag","CHF"
"413","","2017","2473380","ertrag","CHF"
"420","","2017","2624782","ertrag","CHF"
"421","","2017","12955418.53","ertrag","CHF"
"422","","2017","","ertrag","CHF"
"423","","2017","446963.7","ertrag","CHF"
"424","","2017","18926116.37","ertrag","CHF"
"425","","2017","3689480.61","ertrag","CHF"
"426","","2017","20343827.67","ertrag","CHF"
"427","","2017","2262882.06","ertrag","CHF"
"429","","2017","223539.39","ertrag","CHF"
"430","","2017","","ertrag","CHF"
"431","","2017","576292.25","ertrag","CHF"
"432","","2017","-40213.65","ertrag","CHF"
"439","","2017","225470.25","ertrag","CHF"
"440","","2017","6099230.42","ertrag","CHF"
"441","","2017","173085","ertrag","CHF"
"442","","2017","1893940","ertrag","CHF"
"443","","2017","4147738.09","ertrag","CHF"
"444","","2017","27879574.07","ertrag","CHF"
"445","","2017","90534.3","ertrag","CHF"
"446","","2017","10749156.21","ertrag","CHF"
"447","","2017","1992867.91","ertrag","CHF"
"448","","2017","","ertrag","CHF"
"449","","2017","130355.34","ertrag","CHF"
"450","","2017","679759.95","ertrag","CHF"
"451","","2017","14346323.12","ertrag","CHF"
"452","","2017","","ertrag","CHF"
"46000","","2017","9897391","ertrag","CHF"
"46001","","2017","4555119.01","ertrag","CHF"
"46002","","2017","134424","ertrag","CHF"
"46003","","2017","119827","ertrag","CHF"
"46004","","2017","","ertrag","CHF"
"46005","","2017","2727170.58","ertrag","CHF"
"46006","","2017","","ertrag","CHF"
"46007","","2017","8994","ertrag","CHF"
"46008","","2017","4078575.5","ertrag","CHF"
"46009","","2017","3140","ertrag","CHF"
"46010","","2017","","ertrag","CHF"
"46011","","2017","","ertrag","CHF"
"46012","","2017","","ertrag","CHF"
"46019","","2017","","ertrag","CHF"
"4603","","2017","","ertrag","CHF"
"4604","","2017","","ertrag","CHF"
"4610","","2017","9711944.5","ertrag","CHF"
"4611","","2017","2630051.85","ertrag","CHF"
"4612","","2017","","ertrag","CHF"
