"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2019","70990321.22","bilanz","ktn_gdn_gl","CHF","fs"
"101","","2019","150642217.26","bilanz","ktn_gdn_gl","CHF","fs"
"102","","2019","3030000","bilanz","ktn_gdn_gl","CHF","fs"
"104","","2019","4790566.77","bilanz","ktn_gdn_gl","CHF","fs"
"106","","2019","430666.15","bilanz","ktn_gdn_gl","CHF","fs"
"107","","2019","295368832.12","bilanz","ktn_gdn_gl","CHF","fs"
"108","","2019","123441071.35","bilanz","ktn_gdn_gl","CHF","fs"
"109","","2019","","bilanz","ktn_gdn_gl","CHF","fs"
"140","","2019","187657432.07","bilanz","ktn_gdn_gl","CHF","fs"
"141","","2019","","bilanz","ktn_gdn_gl","CHF","fs"
"142","","2019","7729806.24","bilanz","ktn_gdn_gl","CHF","fs"
"143","","2019","","bilanz","ktn_gdn_gl","CHF","fs"
"144","","2019","22687883.42","bilanz","ktn_gdn_gl","CHF","fs"
"145","","2019","154669386.1","bilanz","ktn_gdn_gl","CHF","fs"
"146","","2019","98110922.8","bilanz","ktn_gdn_gl","CHF","fs"
"147","","2019","","bilanz","ktn_gdn_gl","CHF","fs"
"148","","2019","-143545753.06","bilanz","ktn_gdn_gl","CHF","fs"
"200","","2019","130670763.93","bilanz","ktn_gdn_gl","CHF","fs"
"201","","2019","3.1e+07","bilanz","ktn_gdn_gl","CHF","fs"
"204","","2019","13268731.23","bilanz","ktn_gdn_gl","CHF","fs"
"205","","2019","3776207.35","bilanz","ktn_gdn_gl","CHF","fs"
"206","","2019","170425642.34","bilanz","ktn_gdn_gl","CHF","fs"
"207","","2019","","bilanz","ktn_gdn_gl","CHF","fs"
"208","","2019","1035965.95","bilanz","ktn_gdn_gl","CHF","fs"
"209","","2019","27088338.46","bilanz","ktn_gdn_gl","CHF","fs"
"290","","2019","118587232.62","bilanz","ktn_gdn_gl","CHF","fs"
"292","","2019","","bilanz","ktn_gdn_gl","CHF","fs"
"293","","2019","105245.25","bilanz","ktn_gdn_gl","CHF","fs"
"294","","2019","32008598.89","bilanz","ktn_gdn_gl","CHF","fs"
"295","","2019","74185008.35","bilanz","ktn_gdn_gl","CHF","fs"
"296","","2019","192312541.59","bilanz","ktn_gdn_gl","CHF","fs"
"298","","2019","","bilanz","ktn_gdn_gl","CHF","fs"
"299","","2019","181539076.48","bilanz","ktn_gdn_gl","CHF","fs"
"empty","","2019","","er","ktn_gdn_gl","CHF","fs"
"empty","","2019","","er","ktn_gdn_gl","CHF","fs"
"empty","","2019","","er","ktn_gdn_gl","CHF","fs"
"empty","","2019","","er","ktn_gdn_gl","CHF","fs"
"300","","2019","2951387.35","aufwand","ktn_gdn_gl","CHF","fs"
"301","","2019","80643304.78","aufwand","ktn_gdn_gl","CHF","fs"
"302","","2019","51556930.4","aufwand","ktn_gdn_gl","CHF","fs"
"303","","2019","59602.5","aufwand","ktn_gdn_gl","CHF","fs"
"304","","2019","82702.15","aufwand","ktn_gdn_gl","CHF","fs"
"305","","2019","25113769.72","aufwand","ktn_gdn_gl","CHF","fs"
"306","","2019","663230.67","aufwand","ktn_gdn_gl","CHF","fs"
"309","","2019","2092119.28","aufwand","ktn_gdn_gl","CHF","fs"
"310","","2019","6582450.08","aufwand","ktn_gdn_gl","CHF","fs"
"311","","2019","3740654.08","aufwand","ktn_gdn_gl","CHF","fs"
"312","","2019","5165024.02","aufwand","ktn_gdn_gl","CHF","fs"
"313","","2019","41065799","aufwand","ktn_gdn_gl","CHF","fs"
"314","","2019","14401915.25","aufwand","ktn_gdn_gl","CHF","fs"
"315","","2019","4097590.7","aufwand","ktn_gdn_gl","CHF","fs"
"316","","2019","2459426.03","aufwand","ktn_gdn_gl","CHF","fs"
"317","","2019","1626680.38","aufwand","ktn_gdn_gl","CHF","fs"
"318","","2019","1925997.6","aufwand","ktn_gdn_gl","CHF","fs"
"319","","2019","1205468.23","aufwand","ktn_gdn_gl","CHF","fs"
"320","","2019","","aufwand","ktn_gdn_gl","CHF","fs"
"331","","2019","","aufwand","ktn_gdn_gl","CHF","fs"
"337","","2019","16828455.04","aufwand","ktn_gdn_gl","CHF","fs"
"338","","2019","","aufwand","ktn_gdn_gl","CHF","fs"
"340","","2019","498090","aufwand","ktn_gdn_gl","CHF","fs"
"341","","2019","","aufwand","ktn_gdn_gl","CHF","fs"
