"arten","funk","jahr","value","dim","unit"
"100","","2018","548812617.7","bilanz","CHF"
"101","","2018","1047908382.63","bilanz","CHF"
"102","","2018","500107896.69","bilanz","CHF"
"104","","2018","280826576.83","bilanz","CHF"
"106","","2018","12015882.53","bilanz","CHF"
"107","","2018","1830036485.43","bilanz","CHF"
"108","","2018","1234172651.42","bilanz","CHF"
"109","","2018","2542163.85","bilanz","CHF"
"140","","2018","1876983053.61","bilanz","CHF"
"141","","2018","","bilanz","CHF"
"142","","2018","43752784.12","bilanz","CHF"
"143","","2018","1","bilanz","CHF"
"144","","2018","293532156.63","bilanz","CHF"
"145","","2018","454538247.51","bilanz","CHF"
"146","","2018","44042985.03","bilanz","CHF"
"147","","2018","","bilanz","CHF"
"148","","2018","-26568996.51","bilanz","CHF"
"200","","2018","623396703.11","bilanz","CHF"
"201","","2018","320585877.75","bilanz","CHF"
"204","","2018","306816899.17","bilanz","CHF"
"205","","2018","19189314.02","bilanz","CHF"
"206","","2018","1305113669.21","bilanz","CHF"
"207","","2018","","bilanz","CHF"
"208","","2018","57331415.8","bilanz","CHF"
"209","","2018","144236877.91","bilanz","CHF"
"290","","2018","830146628.55","bilanz","CHF"
"292","","2018","","bilanz","CHF"
"293","","2018","297088093.16","bilanz","CHF"
"294","","2018","","bilanz","CHF"
"295","","2018","583324036.77","bilanz","CHF"
"296","","2018","456735870.75","bilanz","CHF"
"298","","2018","","bilanz","CHF"
"299","","2018","3198737502.27","bilanz","CHF"
"300","","2018","26859041.58","aufwand","CHF"
"301","","2018","528887800.58","aufwand","CHF"
"302","","2018","261422533.33","aufwand","CHF"
"303","","2018","1786391.07","aufwand","CHF"
"304","","2018","2059671.94","aufwand","CHF"
"305","","2018","137842977.11","aufwand","CHF"
"306","","2018","3509321.25","aufwand","CHF"
"309","","2018","12122596.55","aufwand","CHF"
"310","","2018","76122965.49","aufwand","CHF"
"311","","2018","36384880.39","aufwand","CHF"
"312","","2018","41496423.34","aufwand","CHF"
"313","","2018","275035472.05","aufwand","CHF"
"314","","2018","207438482.95","aufwand","CHF"
"315","","2018","34221888.78","aufwand","CHF"
"316","","2018","27511684.61","aufwand","CHF"
"317","","2018","12686104.99","aufwand","CHF"
"318","","2018","12410933.3","aufwand","CHF"
"319","","2018","16667428.35","aufwand","CHF"
"320","","2018","","aufwand","CHF"
"331","","2018","","aufwand","CHF"
"337","","2018","207285735.24","aufwand","CHF"
"338","","2018","19893366.24","aufwand","CHF"
"340","","2018","10636279.35","aufwand","CHF"
"341","","2018","1693561.66","aufwand","CHF"
"342","","2018","624239.22","aufwand","CHF"
"343","","2018","9927978.33","aufwand","CHF"
"344","","2018","18035461.4","aufwand","CHF"
"349","","2018","1979664.31","aufwand","CHF"
"350","","2018","2117375.94","aufwand","CHF"
"351","","2018","24020364.06","aufwand","CHF"
"352","","2018","683361.95","aufwand","CHF"
"3600","","2018","","aufwand","CHF"
"36010","","2018","","aufwand","CHF"
"36011","","2018","","aufwand","CHF"
"36012","","2018","","aufwand","CHF"
"36013","","2018","","aufwand","CHF"
"36014","","2018","","aufwand","CHF"
"36015","","2018","","aufwand","CHF"
"36016","","2018","","aufwand","CHF"
"36017","","2018","","aufwand","CHF"
"36018","","2018","","aufwand","CHF"
"36019","","2018","","aufwand","CHF"
"36021","","2018","","aufwand","CHF"
"36022","","2018","","aufwand","CHF"
"36023","","2018","","aufwand","CHF"
"36029","","2018","","aufwand","CHF"
"3603","","2018","","aufwand","CHF"
"3604","","2018","","aufwand","CHF"
"3610","","2018","","aufwand","CHF"
"3611","","2018","","aufwand","CHF"
"3612","","2018","","aufwand","CHF"
"3613","","2018","","aufwand","CHF"
"3614","","2018","2609012.87","aufwand","CHF"
"3620","","2018","","aufwand","CHF"
"36211","","2018","","aufwand","CHF"
"36212","","2018","","aufwand","CHF"
"36213","","2018","","aufwand","CHF"
"36214","","2018","2588864","aufwand","CHF"
"36215","","2018","","aufwand","CHF"
"36216","","2018","","aufwand","CHF"
"36217","","2018","","aufwand","CHF"
"36219","","2018","","aufwand","CHF"
"36221","","2018","","aufwand","CHF"
"36222","","2018","","aufwand","CHF"
"36223","","2018","","aufwand","CHF"
"36224","","2018","","aufwand","CHF"
"36225","","2018","","aufwand","CHF"
"36226","","2018","","aufwand","CHF"
"36227","","2018","","aufwand","CHF"
"36228","","2018","","aufwand","CHF"
"3624","","2018","","aufwand","CHF"
"3629","","2018","","aufwand","CHF"
"3630","","2018","","aufwand","CHF"
"3631","","2018","53597299.15","aufwand","CHF"
"3632","","2018","","aufwand","CHF"
"3633","","2018","3827665.7","aufwand","CHF"
"3634","","2018","417103349.42","aufwand","CHF"
"3635","","2018","305803471.99","aufwand","CHF"
"3636","","2018","259231443.21","aufwand","CHF"
"3637","","2018","272522452.41","aufwand","CHF"
"3638","","2018","207870.08","aufwand","CHF"
"3639","","2018","7931830","aufwand","CHF"
"364","","2018","1897708.34","aufwand","CHF"
"365","","2018","1925207.66","aufwand","CHF"
"366","","2018","119343790.88","aufwand","CHF"
"369","","2018","24318.25","aufwand","CHF"
"380","","2018","276560.95","aufwand","CHF"
"381","","2018","272603.47","aufwand","CHF"
"383","","2018","7524279.84","aufwand","CHF"
