"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","558166131.12","bilanz","ktn_gdn_gr","CHF","fs"
"101","","2020","1004729424.46","bilanz","ktn_gdn_gr","CHF","fs"
"102","","2020","741761424.05","bilanz","ktn_gdn_gr","CHF","fs"
"104","","2020","280475851.88","bilanz","ktn_gdn_gr","CHF","fs"
"106","","2020","11741363.07","bilanz","ktn_gdn_gr","CHF","fs"
"107","","2020","1721905573.03","bilanz","ktn_gdn_gr","CHF","fs"
"108","","2020","1289209488.88","bilanz","ktn_gdn_gr","CHF","fs"
"109","","2020","2854142.71","bilanz","ktn_gdn_gr","CHF","fs"
"140","","2020","2186885285.28","bilanz","ktn_gdn_gr","CHF","fs"
"141","","2020","","bilanz","ktn_gdn_gr","CHF","fs"
"142","","2020","44813969.93","bilanz","ktn_gdn_gr","CHF","fs"
"143","","2020","1","bilanz","ktn_gdn_gr","CHF","fs"
"144","","2020","284104422.44","bilanz","ktn_gdn_gr","CHF","fs"
"145","","2020","457057854.96","bilanz","ktn_gdn_gr","CHF","fs"
"146","","2020","69356598.77","bilanz","ktn_gdn_gr","CHF","fs"
"147","","2020","","bilanz","ktn_gdn_gr","CHF","fs"
"148","","2020","-30655745.06","bilanz","ktn_gdn_gr","CHF","fs"
"200","","2020","577024971.74","bilanz","ktn_gdn_gr","CHF","fs"
"201","","2020","399610297.73","bilanz","ktn_gdn_gr","CHF","fs"
"204","","2020","324953709.88","bilanz","ktn_gdn_gr","CHF","fs"
"205","","2020","30638034.17","bilanz","ktn_gdn_gr","CHF","fs"
"206","","2020","1279391546.52","bilanz","ktn_gdn_gr","CHF","fs"
"207","","2020","","bilanz","ktn_gdn_gr","CHF","fs"
"208","","2020","57895628.13","bilanz","ktn_gdn_gr","CHF","fs"
"209","","2020","97819945.69","bilanz","ktn_gdn_gr","CHF","fs"
"290","","2020","868920564.6","bilanz","ktn_gdn_gr","CHF","fs"
"292","","2020","","bilanz","ktn_gdn_gr","CHF","fs"
"293","","2020","362936264.93","bilanz","ktn_gdn_gr","CHF","fs"
"294","","2020","","bilanz","ktn_gdn_gr","CHF","fs"
"295","","2020","","bilanz","ktn_gdn_gr","CHF","fs"
"296","","2020","7592646.55","bilanz","ktn_gdn_gr","CHF","fs"
"298","","2020","-6827345.1","bilanz","ktn_gdn_gr","CHF","fs"
"299","","2020","4622449521.68","bilanz","ktn_gdn_gr","CHF","fs"
"empty","","2020","","er","ktn_gdn_gr","CHF","fs"
"empty","","2020","","er","ktn_gdn_gr","CHF","fs"
"empty","","2020","","er","ktn_gdn_gr","CHF","fs"
"empty","","2020","","er","ktn_gdn_gr","CHF","fs"
"300","","2020","26365820.58","aufwand","ktn_gdn_gr","CHF","fs"
"301","","2020","557156555.29","aufwand","ktn_gdn_gr","CHF","fs"
"302","","2020","270668967.89","aufwand","ktn_gdn_gr","CHF","fs"
