"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2019","105626489.46","bilanz","ktn_gdn_ju","CHF","fs"
"101","","2019","328327265.92","bilanz","ktn_gdn_ju","CHF","fs"
"102","","2019","86031.63","bilanz","ktn_gdn_ju","CHF","fs"
"104","","2019","82811295.38","bilanz","ktn_gdn_ju","CHF","fs"
"106","","2019","369575.19","bilanz","ktn_gdn_ju","CHF","fs"
"107","","2019","34678320.5","bilanz","ktn_gdn_ju","CHF","fs"
"108","","2019","92799155.45","bilanz","ktn_gdn_ju","CHF","fs"
"109","","2019","49040223.13","bilanz","ktn_gdn_ju","CHF","fs"
"140","","2019","734898322.43","bilanz","ktn_gdn_ju","CHF","fs"
"141","","2019","3624.35","bilanz","ktn_gdn_ju","CHF","fs"
"142","","2019","986714.14","bilanz","ktn_gdn_ju","CHF","fs"
"143","","2019","747333","bilanz","ktn_gdn_ju","CHF","fs"
"144","","2019","100502860.35","bilanz","ktn_gdn_ju","CHF","fs"
"145","","2019","27646570","bilanz","ktn_gdn_ju","CHF","fs"
"146","","2019","83174271.07","bilanz","ktn_gdn_ju","CHF","fs"
"147","","2019","","bilanz","ktn_gdn_ju","CHF","fs"
"148","","2019","","bilanz","ktn_gdn_ju","CHF","fs"
"200","","2019","194576835.66","bilanz","ktn_gdn_ju","CHF","fs"
"201","","2019","213162246.22","bilanz","ktn_gdn_ju","CHF","fs"
"204","","2019","69240600.37","bilanz","ktn_gdn_ju","CHF","fs"
"205","","2019","2395287.8","bilanz","ktn_gdn_ju","CHF","fs"
"206","","2019","807835353.61","bilanz","ktn_gdn_ju","CHF","fs"
"207","","2019","","bilanz","ktn_gdn_ju","CHF","fs"
"208","","2019","87684136.84","bilanz","ktn_gdn_ju","CHF","fs"
"209","","2019","82514505.76","bilanz","ktn_gdn_ju","CHF","fs"
"290","","2019","13239111.42","bilanz","ktn_gdn_ju","CHF","fs"
"292","","2019","","bilanz","ktn_gdn_ju","CHF","fs"
"293","","2019","","bilanz","ktn_gdn_ju","CHF","fs"
"294","","2019","30500000","bilanz","ktn_gdn_ju","CHF","fs"
"295","","2019","","bilanz","ktn_gdn_ju","CHF","fs"
"296","","2019","","bilanz","ktn_gdn_ju","CHF","fs"
"298","","2019","","bilanz","ktn_gdn_ju","CHF","fs"
"299","","2019","140549974.32","bilanz","ktn_gdn_ju","CHF","fs"
"empty","","2019","","er","ktn_gdn_ju","CHF","fs"
"empty","","2019","","er","ktn_gdn_ju","CHF","fs"
"empty","","2019","","er","ktn_gdn_ju","CHF","fs"
"empty","","2019","","er","ktn_gdn_ju","CHF","fs"
"300","","2019","8976567.8","aufwand","ktn_gdn_ju","CHF","fs"
"301","","2019","155157224","aufwand","ktn_gdn_ju","CHF","fs"
"302","","2019","111033662.79","aufwand","ktn_gdn_ju","CHF","fs"
"303","","2019","560134.95","aufwand","ktn_gdn_ju","CHF","fs"
"304","","2019","1168497.71","aufwand","ktn_gdn_ju","CHF","fs"
"305","","2019","56179219.6","aufwand","ktn_gdn_ju","CHF","fs"
"306","","2019","1709146.6","aufwand","ktn_gdn_ju","CHF","fs"
"309","","2019","1550356.8","aufwand","ktn_gdn_ju","CHF","fs"
"310","","2019","13568413.48","aufwand","ktn_gdn_ju","CHF","fs"
