"arten","funk","jahr","value","dim","unit"
"100","","2020","162953249.67","bilanz","CHF"
"101","","2020","343537675.72","bilanz","CHF"
"102","","2020","779532.07","bilanz","CHF"
"104","","2020","79016147.87","bilanz","CHF"
"106","","2020","1198477.3","bilanz","CHF"
"107","","2020","38333254.81","bilanz","CHF"
"108","","2020","103306339.22","bilanz","CHF"
"109","","2020","246482.7","bilanz","CHF"
"140","","2020","751347972.52","bilanz","CHF"
"141","","2020","","bilanz","CHF"
"142","","2020","6074764.44","bilanz","CHF"
"143","","2020","","bilanz","CHF"
"144","","2020","102152014.91","bilanz","CHF"
"145","","2020","34928431.39","bilanz","CHF"
"146","","2020","80773065.37","bilanz","CHF"
"147","","2020","","bilanz","CHF"
"148","","2020","","bilanz","CHF"
"200","","2020","198180441.82","bilanz","CHF"
"201","","2020","212779569.32","bilanz","CHF"
"204","","2020","84274456.76","bilanz","CHF"
"205","","2020","15441169.7","bilanz","CHF"
"206","","2020","822073681.15","bilanz","CHF"
"207","","2020","","bilanz","CHF"
"208","","2020","51289020.39","bilanz","CHF"
"209","","2020","22679912.73","bilanz","CHF"
"290","","2020","95944650.82","bilanz","CHF"
"292","","2020","2250516.5","bilanz","CHF"
"293","","2020","5258969.91","bilanz","CHF"
"294","","2020","60866141.87","bilanz","CHF"
"295","","2020","-123661.28","bilanz","CHF"
"296","","2020","16482931.33","bilanz","CHF"
"298","","2020","146786.6","bilanz","CHF"
"299","","2020","117102820.37","bilanz","CHF"
"300","","2020","8695264.38","aufwand","CHF"
"301","","2020","154547738.27","aufwand","CHF"
"302","","2020","113057009.62","aufwand","CHF"
"303","","2020","608838.65","aufwand","CHF"
"304","","2020","674971.2","aufwand","CHF"
"305","","2020","54640736.38","aufwand","CHF"
"306","","2020","1912869.05","aufwand","CHF"
"309","","2020","1455983.43","aufwand","CHF"
"310","","2020","13721057.84","aufwand","CHF"
"311","","2020","4029369.79","aufwand","CHF"
"312","","2020","14490825.01","aufwand","CHF"
"313","","2020","64637844.37","aufwand","CHF"
"314","","2020","20773253.59","aufwand","CHF"
"315","","2020","9746801.23","aufwand","CHF"
"316","","2020","8448571.76","aufwand","CHF"
"317","","2020","2951380.33","aufwand","CHF"
"318","","2020","8371922.49","aufwand","CHF"
"319","","2020","3482475.21","aufwand","CHF"
"320","","2020","","aufwand","CHF"
"331","","2020","","aufwand","CHF"
"337","","2020","38294778.57","aufwand","CHF"
"338","","2020","877317.85","aufwand","CHF"
"340","","2020","12008232.22","aufwand","CHF"
"341","","2020","269937.7","aufwand","CHF"
"342","","2020","7567.95","aufwand","CHF"
"343","","2020","1685065.77","aufwand","CHF"
"344","","2020","644225.6","aufwand","CHF"
"349","","2020","510571.62","aufwand","CHF"
"350","","2020","169900.59","aufwand","CHF"
"351","","2020","20296899.1","aufwand","CHF"
"352","","2020","95000","aufwand","CHF"
"3600","","2020","","aufwand","CHF"
"36010","","2020","","aufwand","CHF"
"36011","","2020","","aufwand","CHF"
"36012","","2020","","aufwand","CHF"
"36013","","2020","","aufwand","CHF"
"36014","","2020","","aufwand","CHF"
"36015","","2020","","aufwand","CHF"
"36016","","2020","","aufwand","CHF"
"36017","","2020","","aufwand","CHF"
"36018","","2020","","aufwand","CHF"
"36019","","2020","","aufwand","CHF"
"36021","","2020","","aufwand","CHF"
"36022","","2020","","aufwand","CHF"
"36023","","2020","","aufwand","CHF"
"36029","","2020","","aufwand","CHF"
"3603","","2020","","aufwand","CHF"
"3604","","2020","","aufwand","CHF"
"3610","","2020","","aufwand","CHF"
"3611","","2020","4744537.45","aufwand","CHF"
"3612","","2020","","aufwand","CHF"
"3613","","2020","","aufwand","CHF"
"3614","","2020","5692012.5","aufwand","CHF"
"3620","","2020","","aufwand","CHF"
"36211","","2020","","aufwand","CHF"
"36212","","2020","","aufwand","CHF"
"36213","","2020","","aufwand","CHF"
"36214","","2020","817857","aufwand","CHF"
"36215","","2020","","aufwand","CHF"
"36216","","2020","","aufwand","CHF"
"36217","","2020","","aufwand","CHF"
"36219","","2020","","aufwand","CHF"
"36221","","2020","","aufwand","CHF"
"36222","","2020","","aufwand","CHF"
"36223","","2020","","aufwand","CHF"
"36224","","2020","","aufwand","CHF"
"36225","","2020","","aufwand","CHF"
"36226","","2020","","aufwand","CHF"
"36227","","2020","","aufwand","CHF"
"36228","","2020","","aufwand","CHF"
"3624","","2020","","aufwand","CHF"
"3629","","2020","","aufwand","CHF"
"3630","","2020","","aufwand","CHF"
"3631","","2020","35128077.92","aufwand","CHF"
"3632","","2020","","aufwand","CHF"
"3633","","2020","2323892.1","aufwand","CHF"
"3634","","2020","121644754.42","aufwand","CHF"
"3635","","2020","120365236.25","aufwand","CHF"
"3636","","2020","115667230.98","aufwand","CHF"
"3637","","2020","138647916.32","aufwand","CHF"
"3638","","2020","278500","aufwand","CHF"
"3639","","2020","4706316.4","aufwand","CHF"
"364","","2020","28473.1","aufwand","CHF"
"365","","2020","","aufwand","CHF"
"366","","2020","13536078.77","aufwand","CHF"
"369","","2020","26972.6","aufwand","CHF"
"380","","2020","1140407.4","aufwand","CHF"
"381","","2020","1238662.41","aufwand","CHF"
"383","","2020","","aufwand","CHF"
"384","","2020","12097.82","aufwand","CHF"
"3860","","2020","","aufwand","CHF"
"3861","","2020","","aufwand","CHF"
"3862","","2020","","aufwand","CHF"
"3863","","2020","","aufwand","CHF"
"3864","","2020","13200000","aufwand","CHF"
"3865","","2020","14675728.2","aufwand","CHF"
"3866","","2020","4373027.15","aufwand","CHF"
"3867","","2020","","aufwand","CHF"
"3868","","2020","","aufwand","CHF"
"387","","2020","","aufwand","CHF"
"389","","2020","4205810.57","aufwand","CHF"
"4000","","2020","320008132.95","ertrag","CHF"
"4001","","2020","29803948.95","ertrag","CHF"
"4002","","2020","36317751.87","ertrag","CHF"
"4008","","2020","","ertrag","CHF"
"4009","","2020","9344459.69","ertrag","CHF"
"4010","","2020","61193888.6","ertrag","CHF"
"4011","","2020","12703299.4","ertrag","CHF"
"4012","","2020","","ertrag","CHF"
"4019","","2020","","ertrag","CHF"
"4020","","2020","","ertrag","CHF"
"4021","","2020","11840000","ertrag","CHF"
"4022","","2020","10780984.8","ertrag","CHF"
"4023","","2020","11319550.8","ertrag","CHF"
"4024","","2020","4724974.5","ertrag","CHF"
"4025","","2020","1506891.4","ertrag","CHF"
"4030","","2020","31163022.01","ertrag","CHF"
"4031","","2020","3709","ertrag","CHF"
"4032","","2020","","ertrag","CHF"
"4033","","2020","336537.4","ertrag","CHF"
"4039","","2020","172615.75","ertrag","CHF"
"4040","","2020","","ertrag","CHF"
"4041","","2020","","ertrag","CHF"
"4042","","2020","","ertrag","CHF"
"4043","","2020","","ertrag","CHF"
"4044","","2020","","ertrag","CHF"
"4045","","2020","","ertrag","CHF"
"4046","","2020","","ertrag","CHF"
"4047","","2020","","ertrag","CHF"
"4049","","2020","","ertrag","CHF"
"4050","","2020","","ertrag","CHF"
"4051","","2020","","ertrag","CHF"
"4052","","2020","","ertrag","CHF"
"4053","","2020","","ertrag","CHF"
"4059","","2020","","ertrag","CHF"
"4060","","2020","","ertrag","CHF"
"4070","","2020","","ertrag","CHF"
"4071","","2020","","ertrag","CHF"
"4072","","2020","","ertrag","CHF"
"4079","","2020","","ertrag","CHF"
"410","","2020","748879.06","ertrag","CHF"
"411","","2020","22974448","ertrag","CHF"
"412","","2020","3560224.87","ertrag","CHF"
"413","","2020","6797041.35","ertrag","CHF"
"420","","2020","3350278.36","ertrag","CHF"
"421","","2020","22774041.55","ertrag","CHF"
"422","","2020","1410922.95","ertrag","CHF"
"423","","2020","2386631.1","ertrag","CHF"
"424","","2020","40703175.97","ertrag","CHF"
"425","","2020","5146909.45","ertrag","CHF"
"426","","2020","35735819.19","ertrag","CHF"
"427","","2020","5471638.03","ertrag","CHF"
"429","","2020","11409.3","ertrag","CHF"
"430","","2020","170812.6","ertrag","CHF"
"431","","2020","","ertrag","CHF"
"432","","2020","4776.65","ertrag","CHF"
"439","","2020","344145.65","ertrag","CHF"
"440","","2020","5517863.99","ertrag","CHF"
"441","","2020","1184396.28","ertrag","CHF"
"442","","2020","587344.63","ertrag","CHF"
"443","","2020","4002102.32","ertrag","CHF"
"444","","2020","1150140.4","ertrag","CHF"
"445","","2020","173578","ertrag","CHF"
"446","","2020","6594219.28","ertrag","CHF"
"447","","2020","6938148.83","ertrag","CHF"
"448","","2020","","ertrag","CHF"
"449","","2020","89315.77","ertrag","CHF"
"450","","2020","284335.1","ertrag","CHF"
"451","","2020","11939230.73","ertrag","CHF"
"452","","2020","77536.65","ertrag","CHF"
"46000","","2020","21643950.82","ertrag","CHF"
"46001","","2020","2773860","ertrag","CHF"
"46002","","2020","466930.55","ertrag","CHF"
"46003","","2020","230388","ertrag","CHF"
"46004","","2020","","ertrag","CHF"
"46005","","2020","4428139","ertrag","CHF"
"46006","","2020","","ertrag","CHF"
"46007","","2020","","ertrag","CHF"
"46008","","2020","7101653","ertrag","CHF"
"46009","","2020","-27380","ertrag","CHF"
"46010","","2020","","ertrag","CHF"
"46011","","2020","","ertrag","CHF"
"46012","","2020","","ertrag","CHF"
