"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","682958552.21","bilanz","ktn_gdn_lu","CHF","fs"
"101","","2017","1063345294.08","bilanz","ktn_gdn_lu","CHF","fs"
"102","","2017","107888848.27","bilanz","ktn_gdn_lu","CHF","fs"
"104","","2017","483843521.51","bilanz","ktn_gdn_lu","CHF","fs"
"106","","2017","4098425.83","bilanz","ktn_gdn_lu","CHF","fs"
"107","","2017","765813829.11","bilanz","ktn_gdn_lu","CHF","fs"
"108","","2017","457072668.02","bilanz","ktn_gdn_lu","CHF","fs"
"109","","2017","605099.28","bilanz","ktn_gdn_lu","CHF","fs"
"140","","2017","4922148190.44","bilanz","ktn_gdn_lu","CHF","fs"
"141","","2017","","bilanz","ktn_gdn_lu","CHF","fs"
"142","","2017","45626637.17","bilanz","ktn_gdn_lu","CHF","fs"
"143","","2017","162829890.1","bilanz","ktn_gdn_lu","CHF","fs"
"144","","2017","331294965.29","bilanz","ktn_gdn_lu","CHF","fs"
"145","","2017","676929275","bilanz","ktn_gdn_lu","CHF","fs"
"146","","2017","476762701.29","bilanz","ktn_gdn_lu","CHF","fs"
"147","","2017","","bilanz","ktn_gdn_lu","CHF","fs"
"148","","2017","","bilanz","ktn_gdn_lu","CHF","fs"
"200","","2017","1382692409.25","bilanz","ktn_gdn_lu","CHF","fs"
"201","","2017","166037311.61","bilanz","ktn_gdn_lu","CHF","fs"
"204","","2017","242951451.37","bilanz","ktn_gdn_lu","CHF","fs"
"205","","2017","36181004.39","bilanz","ktn_gdn_lu","CHF","fs"
"206","","2017","3194782516.65","bilanz","ktn_gdn_lu","CHF","fs"
"207","","2017","","bilanz","ktn_gdn_lu","CHF","fs"
"208","","2017","99346280","bilanz","ktn_gdn_lu","CHF","fs"
"209","","2017","578211377.49","bilanz","ktn_gdn_lu","CHF","fs"
"290","","2017","67908576.22","bilanz","ktn_gdn_lu","CHF","fs"
"292","","2017","","bilanz","ktn_gdn_lu","CHF","fs"
"293","","2017","248623073.94","bilanz","ktn_gdn_lu","CHF","fs"
"294","","2017","","bilanz","ktn_gdn_lu","CHF","fs"
"295","","2017","2522846961.19","bilanz","ktn_gdn_lu","CHF","fs"
"296","","2017","579190310.86","bilanz","ktn_gdn_lu","CHF","fs"
"298","","2017","","bilanz","ktn_gdn_lu","CHF","fs"
"299","","2017","1062446624.63","bilanz","ktn_gdn_lu","CHF","fs"
"empty","","2017","","er","ktn_gdn_lu","CHF","fs"
"empty","","2017","","er","ktn_gdn_lu","CHF","fs"
"empty","","2017","","er","ktn_gdn_lu","CHF","fs"
"empty","","2017","","er","ktn_gdn_lu","CHF","fs"
"300","","2017","50073673.76","aufwand","ktn_gdn_lu","CHF","fs"
"301","","2017","668149989.1","aufwand","ktn_gdn_lu","CHF","fs"
"302","","2017","633333005.05","aufwand","ktn_gdn_lu","CHF","fs"
"303","","2017","945318.35","aufwand","ktn_gdn_lu","CHF","fs"
"304","","2017","2320695.85","aufwand","ktn_gdn_lu","CHF","fs"
"305","","2017","242980420.94","aufwand","ktn_gdn_lu","CHF","fs"
"306","","2017","6812791.87","aufwand","ktn_gdn_lu","CHF","fs"
"309","","2017","20249720.27","aufwand","ktn_gdn_lu","CHF","fs"
"310","","2017","58664014.72","aufwand","ktn_gdn_lu","CHF","fs"
"311","","2017","33215228.5","aufwand","ktn_gdn_lu","CHF","fs"
"312","","2017","37865986.1","aufwand","ktn_gdn_lu","CHF","fs"
"313","","2017","186376150.28","aufwand","ktn_gdn_lu","CHF","fs"
"314","","2017","85637706.14","aufwand","ktn_gdn_lu","CHF","fs"
"315","","2017","36045194.23","aufwand","ktn_gdn_lu","CHF","fs"
"316","","2017","73497592.25","aufwand","ktn_gdn_lu","CHF","fs"
"317","","2017","11012361.11","aufwand","ktn_gdn_lu","CHF","fs"
"318","","2017","35848014","aufwand","ktn_gdn_lu","CHF","fs"
"319","","2017","11396955.9","aufwand","ktn_gdn_lu","CHF","fs"
"320","","2017","","aufwand","ktn_gdn_lu","CHF","fs"
"331","","2017","","aufwand","ktn_gdn_lu","CHF","fs"
"337","","2017","214511219.9","aufwand","ktn_gdn_lu","CHF","fs"
"338","","2017","83697032.6","aufwand","ktn_gdn_lu","CHF","fs"
"340","","2017","42138867.3","aufwand","ktn_gdn_lu","CHF","fs"
"341","","2017","406117.32","aufwand","ktn_gdn_lu","CHF","fs"
