"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","180552696.4","bilanz","ktn_gdn_ne","CHF","fs"
"101","","2016","624224675.45","bilanz","ktn_gdn_ne","CHF","fs"
"102","","2016","20000.5","bilanz","ktn_gdn_ne","CHF","fs"
"104","","2016","241262472.03","bilanz","ktn_gdn_ne","CHF","fs"
"106","","2016","7992020.71","bilanz","ktn_gdn_ne","CHF","fs"
"107","","2016","165474875.86","bilanz","ktn_gdn_ne","CHF","fs"
"108","","2016","617513330.04","bilanz","ktn_gdn_ne","CHF","fs"
"109","","2016","1627496.67","bilanz","ktn_gdn_ne","CHF","fs"
"140","","2016","2292461699.16","bilanz","ktn_gdn_ne","CHF","fs"
"141","","2016","208462.9","bilanz","ktn_gdn_ne","CHF","fs"
"142","","2016","8055574.07","bilanz","ktn_gdn_ne","CHF","fs"
"143","","2016","2858535.74","bilanz","ktn_gdn_ne","CHF","fs"
"144","","2016","104072547.13","bilanz","ktn_gdn_ne","CHF","fs"
"145","","2016","125414362.55","bilanz","ktn_gdn_ne","CHF","fs"
"146","","2016","41156958.73","bilanz","ktn_gdn_ne","CHF","fs"
"147","","2016","","bilanz","ktn_gdn_ne","CHF","fs"
"148","","2016","","bilanz","ktn_gdn_ne","CHF","fs"
"200","","2016","292949783.19","bilanz","ktn_gdn_ne","CHF","fs"
"201","","2016","422970815.99","bilanz","ktn_gdn_ne","CHF","fs"
"204","","2016","241963139.25","bilanz","ktn_gdn_ne","CHF","fs"
"205","","2016","10786418.05","bilanz","ktn_gdn_ne","CHF","fs"
"206","","2016","2437428637.55","bilanz","ktn_gdn_ne","CHF","fs"
"207","","2016","","bilanz","ktn_gdn_ne","CHF","fs"
"208","","2016","412997730.98","bilanz","ktn_gdn_ne","CHF","fs"
"209","","2016","48022116.14","bilanz","ktn_gdn_ne","CHF","fs"
"290","","2016","70846558.23","bilanz","ktn_gdn_ne","CHF","fs"
"292","","2016","4421626.71","bilanz","ktn_gdn_ne","CHF","fs"
"293","","2016","150553981.46","bilanz","ktn_gdn_ne","CHF","fs"
"294","","2016","168617662.13","bilanz","ktn_gdn_ne","CHF","fs"
"295","","2016","406654380","bilanz","ktn_gdn_ne","CHF","fs"
"296","","2016","79398662.21","bilanz","ktn_gdn_ne","CHF","fs"
"298","","2016","7374729.81","bilanz","ktn_gdn_ne","CHF","fs"
"299","","2016","-342090533.76","bilanz","ktn_gdn_ne","CHF","fs"
"empty","","2016","","er","ktn_gdn_ne","CHF","fs"
"empty","","2016","","er","ktn_gdn_ne","CHF","fs"
"empty","","2016","","er","ktn_gdn_ne","CHF","fs"
"empty","","2016","","er","ktn_gdn_ne","CHF","fs"
"300","","2016","19537948.23","aufwand","ktn_gdn_ne","CHF","fs"
"301","","2016","448199691.44","aufwand","ktn_gdn_ne","CHF","fs"
"302","","2016","347177183.51","aufwand","ktn_gdn_ne","CHF","fs"
"303","","2016","3190120.04","aufwand","ktn_gdn_ne","CHF","fs"
"304","","2016","5115427.9","aufwand","ktn_gdn_ne","CHF","fs"
"305","","2016","178326071.8","aufwand","ktn_gdn_ne","CHF","fs"
"306","","2016","4444010.55","aufwand","ktn_gdn_ne","CHF","fs"
"309","","2016","6368347.89","aufwand","ktn_gdn_ne","CHF","fs"
"310","","2016","45845300.23","aufwand","ktn_gdn_ne","CHF","fs"
"311","","2016","19398386.47","aufwand","ktn_gdn_ne","CHF","fs"
"312","","2016","35529577.48","aufwand","ktn_gdn_ne","CHF","fs"
"313","","2016","155938011.55","aufwand","ktn_gdn_ne","CHF","fs"
"314","","2016","43153790.45","aufwand","ktn_gdn_ne","CHF","fs"
"315","","2016","17883643.87","aufwand","ktn_gdn_ne","CHF","fs"
"316","","2016","42759952.82","aufwand","ktn_gdn_ne","CHF","fs"
"317","","2016","10831179.3","aufwand","ktn_gdn_ne","CHF","fs"
"318","","2016","35888418.77","aufwand","ktn_gdn_ne","CHF","fs"
