"arten","funk","jahr","value","dim","unit"
"100","","2018","268031806.92","bilanz","CHF"
"101","","2018","751154633.91","bilanz","CHF"
"102","","2018","5139701","bilanz","CHF"
"104","","2018","344071980.13","bilanz","CHF"
"106","","2018","8149056.86","bilanz","CHF"
"107","","2018","164073633","bilanz","CHF"
"108","","2018","792302113.88","bilanz","CHF"
"109","","2018","78948.37","bilanz","CHF"
"140","","2018","3461878438.22","bilanz","CHF"
"141","","2018","60462.9","bilanz","CHF"
"142","","2018","17006521.59","bilanz","CHF"
"143","","2018","11541","bilanz","CHF"
"144","","2018","132479334.33","bilanz","CHF"
"145","","2018","256110362.94","bilanz","CHF"
"146","","2018","186248979.14","bilanz","CHF"
"147","","2018","","bilanz","CHF"
"148","","2018","","bilanz","CHF"
"200","","2018","592406946.62","bilanz","CHF"
"201","","2018","590947675.78","bilanz","CHF"
"204","","2018","278394882.79","bilanz","CHF"
"205","","2018","110154049.81","bilanz","CHF"
"206","","2018","2512513214.44","bilanz","CHF"
"207","","2018","","bilanz","CHF"
"208","","2018","204194923.34","bilanz","CHF"
"209","","2018","33308096.76","bilanz","CHF"
"290","","2018","188009388.11","bilanz","CHF"
"292","","2018","207875.85","bilanz","CHF"
"293","","2018","82898891.69","bilanz","CHF"
"294","","2018","199961692.78","bilanz","CHF"
"295","","2018","1353468328.17","bilanz","CHF"
"296","","2018","262720684.17","bilanz","CHF"
"298","","2018","7375687.37","bilanz","CHF"
"299","","2018","-29764823.49","bilanz","CHF"
"300","","2018","16653281.99","aufwand","CHF"
"301","","2018","461559490.41","aufwand","CHF"
"302","","2018","322601331.03","aufwand","CHF"
"303","","2018","11469226.78","aufwand","CHF"
"304","","2018","11787811.1","aufwand","CHF"
"305","","2018","176424343.94","aufwand","CHF"
"306","","2018","3226047.62","aufwand","CHF"
"309","","2018","4981960.39","aufwand","CHF"
"310","","2018","47215743.14","aufwand","CHF"
"311","","2018","17069366.87","aufwand","CHF"
"312","","2018","35140062.06","aufwand","CHF"
"313","","2018","150272197.75","aufwand","CHF"
"314","","2018","44861612.75","aufwand","CHF"
"315","","2018","19813432.14","aufwand","CHF"
"316","","2018","42288538.31","aufwand","CHF"
"317","","2018","10611506.23","aufwand","CHF"
"318","","2018","35648896.7","aufwand","CHF"
"319","","2018","12830828.71","aufwand","CHF"
"320","","2018","","aufwand","CHF"
"331","","2018","","aufwand","CHF"
"337","","2018","131384906.41","aufwand","CHF"
"338","","2018","2699981.53","aufwand","CHF"
"340","","2018","47016183.4","aufwand","CHF"
"341","","2018","1182663","aufwand","CHF"
"342","","2018","571516.45","aufwand","CHF"
"343","","2018","12362155.93","aufwand","CHF"
"344","","2018","399757.09","aufwand","CHF"
"349","","2018","266726.59","aufwand","CHF"
"350","","2018","2374379.35","aufwand","CHF"
"351","","2018","20964805","aufwand","CHF"
"352","","2018","79857.33","aufwand","CHF"
"3600","","2018","","aufwand","CHF"
"36010","","2018","","aufwand","CHF"
"36011","","2018","","aufwand","CHF"
"36012","","2018","","aufwand","CHF"
"36013","","2018","","aufwand","CHF"
"36014","","2018","","aufwand","CHF"
"36015","","2018","","aufwand","CHF"
"36016","","2018","","aufwand","CHF"
"36017","","2018","","aufwand","CHF"
