"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2015","155198753","bilanz","ktn_gdn_nw","CHF","fs"
"101","","2015","114701957.48","bilanz","ktn_gdn_nw","CHF","fs"
"102","","2015","36090533.4","bilanz","ktn_gdn_nw","CHF","fs"
"104","","2015","23642396.79","bilanz","ktn_gdn_nw","CHF","fs"
"106","","2015","134460.85","bilanz","ktn_gdn_nw","CHF","fs"
"107","","2015","55340225.35","bilanz","ktn_gdn_nw","CHF","fs"
"108","","2015","34905869","bilanz","ktn_gdn_nw","CHF","fs"
"109","","2015","","bilanz","ktn_gdn_nw","CHF","fs"
"140","","2015","336069096.33","bilanz","ktn_gdn_nw","CHF","fs"
"141","","2015","1","bilanz","ktn_gdn_nw","CHF","fs"
"142","","2015","2753876.53","bilanz","ktn_gdn_nw","CHF","fs"
"143","","2015","","bilanz","ktn_gdn_nw","CHF","fs"
"144","","2015","23329719.8","bilanz","ktn_gdn_nw","CHF","fs"
"145","","2015","120246004","bilanz","ktn_gdn_nw","CHF","fs"
"146","","2015","106386902.55","bilanz","ktn_gdn_nw","CHF","fs"
"147","","2015","","bilanz","ktn_gdn_nw","CHF","fs"
"148","","2015","","bilanz","ktn_gdn_nw","CHF","fs"
"200","","2015","113401672.9","bilanz","ktn_gdn_nw","CHF","fs"
"201","","2015","1204478.06","bilanz","ktn_gdn_nw","CHF","fs"
"204","","2015","23227538.84","bilanz","ktn_gdn_nw","CHF","fs"
"205","","2015","1057521.07","bilanz","ktn_gdn_nw","CHF","fs"
"206","","2015","320478644.52","bilanz","ktn_gdn_nw","CHF","fs"
"207","","2015","","bilanz","ktn_gdn_nw","CHF","fs"
"208","","2015","13939461.85","bilanz","ktn_gdn_nw","CHF","fs"
"209","","2015","3251164.89","bilanz","ktn_gdn_nw","CHF","fs"
"290","","2015","56699512.5","bilanz","ktn_gdn_nw","CHF","fs"
"292","","2015","","bilanz","ktn_gdn_nw","CHF","fs"
"293","","2015","31688383.55","bilanz","ktn_gdn_nw","CHF","fs"
"294","","2015","333113187.63","bilanz","ktn_gdn_nw","CHF","fs"
"295","","2015","","bilanz","ktn_gdn_nw","CHF","fs"
"296","","2015","14799441.4","bilanz","ktn_gdn_nw","CHF","fs"
"298","","2015","4433604.66","bilanz","ktn_gdn_nw","CHF","fs"
"299","","2015","91505184.21","bilanz","ktn_gdn_nw","CHF","fs"
"empty","","2015","","er","ktn_gdn_nw","CHF","fs"
"empty","","2015","","er","ktn_gdn_nw","CHF","fs"
"empty","","2015","","er","ktn_gdn_nw","CHF","fs"
"empty","","2015","","er","ktn_gdn_nw","CHF","fs"
"300","","2015","5974677.5","aufwand","ktn_gdn_nw","CHF","fs"
"301","","2015","69027251.91","aufwand","ktn_gdn_nw","CHF","fs"
"302","","2015","57387822.91","aufwand","ktn_gdn_nw","CHF","fs"
"303","","2015","409133.95","aufwand","ktn_gdn_nw","CHF","fs"
"304","","2015","1067465.54","aufwand","ktn_gdn_nw","CHF","fs"
"305","","2015","21599371.81","aufwand","ktn_gdn_nw","CHF","fs"
"306","","2015","825197.8","aufwand","ktn_gdn_nw","CHF","fs"
"309","","2015","2305734.87","aufwand","ktn_gdn_nw","CHF","fs"
"310","","2015","6351048.25","aufwand","ktn_gdn_nw","CHF","fs"
"311","","2015","3709946.69","aufwand","ktn_gdn_nw","CHF","fs"
"312","","2015","4352830.43","aufwand","ktn_gdn_nw","CHF","fs"
"313","","2015","28332847.21","aufwand","ktn_gdn_nw","CHF","fs"
"314","","2015","11713716.2","aufwand","ktn_gdn_nw","CHF","fs"
"315","","2015","2631212.65","aufwand","ktn_gdn_nw","CHF","fs"
"316","","2015","3976009.57","aufwand","ktn_gdn_nw","CHF","fs"
"317","","2015","1947918.95","aufwand","ktn_gdn_nw","CHF","fs"
"318","","2015","276886.76","aufwand","ktn_gdn_nw","CHF","fs"
"319","","2015","2115623.89","aufwand","ktn_gdn_nw","CHF","fs"
"320","","2015","","aufwand","ktn_gdn_nw","CHF","fs"
"331","","2015","","aufwand","ktn_gdn_nw","CHF","fs"
"337","","2015","27249375.16","aufwand","ktn_gdn_nw","CHF","fs"
"338","","2015","2982771.39","aufwand","ktn_gdn_nw","CHF","fs"
"340","","2015","4410721.61","aufwand","ktn_gdn_nw","CHF","fs"
"341","","2015","","aufwand","ktn_gdn_nw","CHF","fs"
"342","","2015","4166.65","aufwand","ktn_gdn_nw","CHF","fs"
"343","","2015","442495.62","aufwand","ktn_gdn_nw","CHF","fs"
"344","","2015","32771","aufwand","ktn_gdn_nw","CHF","fs"
"349","","2015","198799.49","aufwand","ktn_gdn_nw","CHF","fs"
"350","","2015","219527.71","aufwand","ktn_gdn_nw","CHF","fs"
"351","","2015","4454691.04","aufwand","ktn_gdn_nw","CHF","fs"
"352","","2015","","aufwand","ktn_gdn_nw","CHF","fs"
"3600","","2015","","aufwand","ktn_gdn_nw","CHF","fs"
"36010","","2015","","aufwand","ktn_gdn_nw","CHF","fs"
"36011","","2015","","aufwand","ktn_gdn_nw","CHF","fs"
"36012","","2015","","aufwand","ktn_gdn_nw","CHF","fs"
"36013","","2015","","aufwand","ktn_gdn_nw","CHF","fs"
"36014","","2015","","aufwand","ktn_gdn_nw","CHF","fs"
"36015","","2015","","aufwand","ktn_gdn_nw","CHF","fs"
"36016","","2015","","aufwand","ktn_gdn_nw","CHF","fs"
