"arten","funk","jahr","value","dim","unit"
"100","","2022","189111900.79","bilanz","CHF"
"101","","2022","181635438.07","bilanz","CHF"
"102","","2022","28112422.71","bilanz","CHF"
"104","","2022","13816835.68","bilanz","CHF"
"106","","2022","2992396.06","bilanz","CHF"
"107","","2022","44067991.85","bilanz","CHF"
"108","","2022","36676311.75","bilanz","CHF"
"109","","2022","","bilanz","CHF"
"140","","2022","426211060.5","bilanz","CHF"
"141","","2022","1","bilanz","CHF"
"142","","2022","3254121.66","bilanz","CHF"
"143","","2022","","bilanz","CHF"
"144","","2022","32787946","bilanz","CHF"
"145","","2022","123882137.61","bilanz","CHF"
"146","","2022","95066433.98","bilanz","CHF"
"147","","2022","","bilanz","CHF"
"148","","2022","","bilanz","CHF"
"200","","2022","241995835.35","bilanz","CHF"
"201","","2022","10995896.5","bilanz","CHF"
"204","","2022","12772048.38","bilanz","CHF"
"205","","2022","883618.94","bilanz","CHF"
"206","","2022","261572378.72","bilanz","CHF"
"207","","2022","","bilanz","CHF"
"208","","2022","9235422.4","bilanz","CHF"
"209","","2022","1703491.5","bilanz","CHF"
"290","","2022","68680743.98","bilanz","CHF"
"292","","2022","","bilanz","CHF"
"293","","2022","31819000","bilanz","CHF"
"294","","2022","381946095.19","bilanz","CHF"
"295","","2022","","bilanz","CHF"
"296","","2022","11972153.1","bilanz","CHF"
"298","","2022","","bilanz","CHF"
"299","","2022","144038313.6","bilanz","CHF"
"300","","2022","5990082.4","aufwand","CHF"
"301","","2022","77817493.96","aufwand","CHF"
"302","","2022","58370225.38","aufwand","CHF"
"303","","2022","532811.5","aufwand","CHF"
"304","","2022","1398450.69","aufwand","CHF"
"305","","2022","25134985.96","aufwand","CHF"
"306","","2022","214066","aufwand","CHF"
"309","","2022","2720137.21","aufwand","CHF"
"310","","2022","6859274.6","aufwand","CHF"
"311","","2022","4509207.45","aufwand","CHF"
"312","","2022","3958303.36","aufwand","CHF"
"313","","2022","32406755.91","aufwand","CHF"
"314","","2022","14777890.53","aufwand","CHF"
"315","","2022","4724313.92","aufwand","CHF"
"316","","2022","4483357.88","aufwand","CHF"
"317","","2022","1855297.92","aufwand","CHF"
"318","","2022","3390992.28","aufwand","CHF"
"319","","2022","3296419.75","aufwand","CHF"
"320","","2022","","aufwand","CHF"
"331","","2022","","aufwand","CHF"
"337","","2022","37316563.95","aufwand","CHF"
"338","","2022","3781199.75","aufwand","CHF"
"340","","2022","2382036.93","aufwand","CHF"
"341","","2022","32500.93","aufwand","CHF"
"342","","2022","45000","aufwand","CHF"
"343","","2022","616279.79","aufwand","CHF"
"344","","2022","118209.75","aufwand","CHF"
"349","","2022","235600.42","aufwand","CHF"
"350","","2022","177986.21","aufwand","CHF"
"351","","2022","5129595.71","aufwand","CHF"
"352","","2022","","aufwand","CHF"
"3600","","2022","","aufwand","CHF"
"36010","","2022","","aufwand","CHF"
"36011","","2022","","aufwand","CHF"
"36012","","2022","","aufwand","CHF"
"36013","","2022","","aufwand","CHF"
"36014","","2022","","aufwand","CHF"
"36015","","2022","","aufwand","CHF"
"36016","","2022","","aufwand","CHF"
"36017","","2022","","aufwand","CHF"
"36018","","2022","","aufwand","CHF"
"36019","","2022","","aufwand","CHF"
"36021","","2022","","aufwand","CHF"
"36022","","2022","","aufwand","CHF"
"36023","","2022","","aufwand","CHF"
"36029","","2022","","aufwand","CHF"
"3603","","2022","","aufwand","CHF"
"3604","","2022","","aufwand","CHF"
"3610","","2022","","aufwand","CHF"
"3611","","2022","9318589.6","aufwand","CHF"
"3612","","2022","","aufwand","CHF"
"3613","","2022","","aufwand","CHF"
"3614","","2022","","aufwand","CHF"
"3620","","2022","","aufwand","CHF"
"36211","","2022","40049604","aufwand","CHF"
"36212","","2022","","aufwand","CHF"
"36213","","2022","","aufwand","CHF"
"36214","","2022","387310","aufwand","CHF"
"36215","","2022","","aufwand","CHF"
"36216","","2022","","aufwand","CHF"
