"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","87013421.98","bilanz","ktn_gdn_ow","CHF","fs"
"101","","2020","196112579.99","bilanz","ktn_gdn_ow","CHF","fs"
"102","","2020","6657081","bilanz","ktn_gdn_ow","CHF","fs"
"104","","2020","16658429.35","bilanz","ktn_gdn_ow","CHF","fs"
"106","","2020","301848.51","bilanz","ktn_gdn_ow","CHF","fs"
"107","","2020","31760332.05","bilanz","ktn_gdn_ow","CHF","fs"
"108","","2020","24069177.28","bilanz","ktn_gdn_ow","CHF","fs"
"109","","2020","","bilanz","ktn_gdn_ow","CHF","fs"
"140","","2020","133492467.93","bilanz","ktn_gdn_ow","CHF","fs"
"141","","2020","51974.84","bilanz","ktn_gdn_ow","CHF","fs"
"142","","2020","1648796.9","bilanz","ktn_gdn_ow","CHF","fs"
"143","","2020","","bilanz","ktn_gdn_ow","CHF","fs"
"144","","2020","14500149.75","bilanz","ktn_gdn_ow","CHF","fs"
"145","","2020","28193261","bilanz","ktn_gdn_ow","CHF","fs"
"146","","2020","27669937.77","bilanz","ktn_gdn_ow","CHF","fs"
"147","","2020","","bilanz","ktn_gdn_ow","CHF","fs"
"148","","2020","-12834430.79","bilanz","ktn_gdn_ow","CHF","fs"
"200","","2020","96959906.93","bilanz","ktn_gdn_ow","CHF","fs"
"201","","2020","80143264.45","bilanz","ktn_gdn_ow","CHF","fs"
"204","","2020","20381986.43","bilanz","ktn_gdn_ow","CHF","fs"
"205","","2020","3390934.97","bilanz","ktn_gdn_ow","CHF","fs"
"206","","2020","91833627.95","bilanz","ktn_gdn_ow","CHF","fs"
"207","","2020","","bilanz","ktn_gdn_ow","CHF","fs"
"208","","2020","8870076.55","bilanz","ktn_gdn_ow","CHF","fs"
"209","","2020","38081689.42","bilanz","ktn_gdn_ow","CHF","fs"
"290","","2020","29056373.17","bilanz","ktn_gdn_ow","CHF","fs"
"292","","2020","","bilanz","ktn_gdn_ow","CHF","fs"
"293","","2020","33833906.61","bilanz","ktn_gdn_ow","CHF","fs"
"294","","2020","7.8e+07","bilanz","ktn_gdn_ow","CHF","fs"
"295","","2020","","bilanz","ktn_gdn_ow","CHF","fs"
"296","","2020","186800","bilanz","ktn_gdn_ow","CHF","fs"
"298","","2020","","bilanz","ktn_gdn_ow","CHF","fs"
"299","","2020","74556461.08","bilanz","ktn_gdn_ow","CHF","fs"
"empty","","2020","","er","ktn_gdn_ow","CHF","fs"
"empty","","2020","","er","ktn_gdn_ow","CHF","fs"
"empty","","2020","","er","ktn_gdn_ow","CHF","fs"
"empty","","2020","","er","ktn_gdn_ow","CHF","fs"
"300","","2020","3454451.6","aufwand","ktn_gdn_ow","CHF","fs"
"301","","2020","62228001.82","aufwand","ktn_gdn_ow","CHF","fs"
"302","","2020","49626874","aufwand","ktn_gdn_ow","CHF","fs"
"303","","2020","83523","aufwand","ktn_gdn_ow","CHF","fs"
"304","","2020","1772965.05","aufwand","ktn_gdn_ow","CHF","fs"
"305","","2020","19366140.84","aufwand","ktn_gdn_ow","CHF","fs"
"306","","2020","335801.45","aufwand","ktn_gdn_ow","CHF","fs"
"309","","2020","1557651.18","aufwand","ktn_gdn_ow","CHF","fs"
"310","","2020","6860257.02","aufwand","ktn_gdn_ow","CHF","fs"
"311","","2020","3761508.79","aufwand","ktn_gdn_ow","CHF","fs"
"312","","2020","3597911.71","aufwand","ktn_gdn_ow","CHF","fs"
"313","","2020","27006536.32","aufwand","ktn_gdn_ow","CHF","fs"
"314","","2020","23738850.71","aufwand","ktn_gdn_ow","CHF","fs"
"315","","2020","2609575.72","aufwand","ktn_gdn_ow","CHF","fs"
"316","","2020","2331508.44","aufwand","ktn_gdn_ow","CHF","fs"
"317","","2020","1357089.86","aufwand","ktn_gdn_ow","CHF","fs"
"318","","2020","1787247.63","aufwand","ktn_gdn_ow","CHF","fs"
"319","","2020","389146.6","aufwand","ktn_gdn_ow","CHF","fs"
"320","","2020","","aufwand","ktn_gdn_ow","CHF","fs"
"331","","2020","","aufwand","ktn_gdn_ow","CHF","fs"
"337","","2020","10557398.61","aufwand","ktn_gdn_ow","CHF","fs"
"338","","2020","","aufwand","ktn_gdn_ow","CHF","fs"
"340","","2020","943737.08","aufwand","ktn_gdn_ow","CHF","fs"
"341","","2020","5449.35","aufwand","ktn_gdn_ow","CHF","fs"
"342","","2020","10238.3","aufwand","ktn_gdn_ow","CHF","fs"
"343","","2020","121181.57","aufwand","ktn_gdn_ow","CHF","fs"
"344","","2020","2571194.5","aufwand","ktn_gdn_ow","CHF","fs"
"349","","2020","105688.6","aufwand","ktn_gdn_ow","CHF","fs"
"350","","2020","8745585.14","aufwand","ktn_gdn_ow","CHF","fs"
"351","","2020","5532851.2","aufwand","ktn_gdn_ow","CHF","fs"
"352","","2020","70000","aufwand","ktn_gdn_ow","CHF","fs"
"3600","","2020","","aufwand","ktn_gdn_ow","CHF","fs"
"36010","","2020","","aufwand","ktn_gdn_ow","CHF","fs"
"36011","","2020","","aufwand","ktn_gdn_ow","CHF","fs"
"36012","","2020","","aufwand","ktn_gdn_ow","CHF","fs"
"36013","","2020","","aufwand","ktn_gdn_ow","CHF","fs"
"36014","","2020","","aufwand","ktn_gdn_ow","CHF","fs"
"36015","","2020","","aufwand","ktn_gdn_ow","CHF","fs"
"36016","","2020","","aufwand","ktn_gdn_ow","CHF","fs"
"36017","","2020","","aufwand","ktn_gdn_ow","CHF","fs"
"36018","","2020","","aufwand","ktn_gdn_ow","CHF","fs"
