"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","1716107997.74","bilanz","ktn_gdn_sg","CHF","fs"
"101","","2017","1526622964.97","bilanz","ktn_gdn_sg","CHF","fs"
"102","","2017","63936975.86","bilanz","ktn_gdn_sg","CHF","fs"
"104","","2017","282407897.14","bilanz","ktn_gdn_sg","CHF","fs"
"106","","2017","19392023.8","bilanz","ktn_gdn_sg","CHF","fs"
"107","","2017","418925528.95","bilanz","ktn_gdn_sg","CHF","fs"
"108","","2017","1254201987.12","bilanz","ktn_gdn_sg","CHF","fs"
"109","","2017","40014847.45","bilanz","ktn_gdn_sg","CHF","fs"
"140","","2017","1662414825.54","bilanz","ktn_gdn_sg","CHF","fs"
"141","","2017","","bilanz","ktn_gdn_sg","CHF","fs"
"142","","2017","30381027.19","bilanz","ktn_gdn_sg","CHF","fs"
"143","","2017","200713952.93","bilanz","ktn_gdn_sg","CHF","fs"
"144","","2017","452862807.54","bilanz","ktn_gdn_sg","CHF","fs"
"145","","2017","669732864","bilanz","ktn_gdn_sg","CHF","fs"
"146","","2017","76183581.76","bilanz","ktn_gdn_sg","CHF","fs"
"147","","2017","","bilanz","ktn_gdn_sg","CHF","fs"
"148","","2017","","bilanz","ktn_gdn_sg","CHF","fs"
"200","","2017","1166569161.63","bilanz","ktn_gdn_sg","CHF","fs"
"201","","2017","188518733.26","bilanz","ktn_gdn_sg","CHF","fs"
"204","","2017","481834531.02","bilanz","ktn_gdn_sg","CHF","fs"
"205","","2017","142607864.96","bilanz","ktn_gdn_sg","CHF","fs"
"206","","2017","3394570342.69","bilanz","ktn_gdn_sg","CHF","fs"
"207","","2017","","bilanz","ktn_gdn_sg","CHF","fs"
"208","","2017","264909956.66","bilanz","ktn_gdn_sg","CHF","fs"
"209","","2017","484277284.32","bilanz","ktn_gdn_sg","CHF","fs"
"290","","2017","444145572.96","bilanz","ktn_gdn_sg","CHF","fs"
"292","","2017","987619.57","bilanz","ktn_gdn_sg","CHF","fs"
"293","","2017","314072395.02","bilanz","ktn_gdn_sg","CHF","fs"
"294","","2017","15484922.83","bilanz","ktn_gdn_sg","CHF","fs"
"295","","2017","","bilanz","ktn_gdn_sg","CHF","fs"
"296","","2017","","bilanz","ktn_gdn_sg","CHF","fs"
"298","","2017","264379500","bilanz","ktn_gdn_sg","CHF","fs"
"299","","2017","1251541397.07","bilanz","ktn_gdn_sg","CHF","fs"
"empty","","2017","","er","ktn_gdn_sg","CHF","fs"
"empty","","2017","","er","ktn_gdn_sg","CHF","fs"
"empty","","2017","","er","ktn_gdn_sg","CHF","fs"
"empty","","2017","","er","ktn_gdn_sg","CHF","fs"
"300","","2017","42410188.82","aufwand","ktn_gdn_sg","CHF","fs"
"301","","2017","917190126.03","aufwand","ktn_gdn_sg","CHF","fs"
"302","","2017","846789702.59","aufwand","ktn_gdn_sg","CHF","fs"
"303","","2017","13261389.88","aufwand","ktn_gdn_sg","CHF","fs"
"304","","2017","8674901.51","aufwand","ktn_gdn_sg","CHF","fs"
"305","","2017","307447785.27","aufwand","ktn_gdn_sg","CHF","fs"
"306","","2017","9759691.39","aufwand","ktn_gdn_sg","CHF","fs"
"309","","2017","26614426.72","aufwand","ktn_gdn_sg","CHF","fs"
"310","","2017","112989355.61","aufwand","ktn_gdn_sg","CHF","fs"
"311","","2017","57820568.92","aufwand","ktn_gdn_sg","CHF","fs"
"312","","2017","47140913.6","aufwand","ktn_gdn_sg","CHF","fs"
"313","","2017","394545872.74","aufwand","ktn_gdn_sg","CHF","fs"
"314","","2017","219475710.99","aufwand","ktn_gdn_sg","CHF","fs"
"315","","2017","37227290.74","aufwand","ktn_gdn_sg","CHF","fs"
"316","","2017","66608203.5","aufwand","ktn_gdn_sg","CHF","fs"
"317","","2017","50856656.14","aufwand","ktn_gdn_sg","CHF","fs"
"318","","2017","38504712.74","aufwand","ktn_gdn_sg","CHF","fs"
"319","","2017","69494054.57","aufwand","ktn_gdn_sg","CHF","fs"
"320","","2017","","aufwand","ktn_gdn_sg","CHF","fs"
"331","","2017","","aufwand","ktn_gdn_sg","CHF","fs"
"337","","2017","312254931.31","aufwand","ktn_gdn_sg","CHF","fs"
"338","","2017","28110961.94","aufwand","ktn_gdn_sg","CHF","fs"
"340","","2017","56883695.91","aufwand","ktn_gdn_sg","CHF","fs"
"341","","2017","19165.58","aufwand","ktn_gdn_sg","CHF","fs"
"342","","2017","1263169.99","aufwand","ktn_gdn_sg","CHF","fs"
