"arten","funk","jahr","value","dim","unit"
"100","","2022","998474880.58","bilanz","CHF"
"101","","2022","1621622860.59","bilanz","CHF"
"102","","2022","475786503.4","bilanz","CHF"
"104","","2022","282659678.68","bilanz","CHF"
"106","","2022","17664375.95","bilanz","CHF"
"107","","2022","1173465282.56","bilanz","CHF"
"108","","2022","1847043062.79","bilanz","CHF"
"109","","2022","28610.24","bilanz","CHF"
"140","","2022","3052085707.81","bilanz","CHF"
"141","","2022","","bilanz","CHF"
"142","","2022","52409316.02","bilanz","CHF"
"143","","2022","280179422.6","bilanz","CHF"
"144","","2022","775180855.44","bilanz","CHF"
"145","","2022","373718229.31","bilanz","CHF"
"146","","2022","130851645.08","bilanz","CHF"
"147","","2022","","bilanz","CHF"
"148","","2022","","bilanz","CHF"
"200","","2022","1326807253.66","bilanz","CHF"
"201","","2022","395851661.01","bilanz","CHF"
"204","","2022","615106665.05","bilanz","CHF"
"205","","2022","159961724.02","bilanz","CHF"
"206","","2022","3043645707.5","bilanz","CHF"
"207","","2022","","bilanz","CHF"
"208","","2022","296387782.94","bilanz","CHF"
"209","","2022","62644027.04","bilanz","CHF"
"290","","2022","1087371825.98","bilanz","CHF"
"292","","2022","1734576.44","bilanz","CHF"
"293","","2022","270918715.77","bilanz","CHF"
"294","","2022","794455371.17","bilanz","CHF"
"295","","2022","485980521.17","bilanz","CHF"
"296","","2022","","bilanz","CHF"
"298","","2022","124293900","bilanz","CHF"
"299","","2022","2416010699.3","bilanz","CHF"
"300","","2022","46786525.61","aufwand","CHF"
"301","","2022","990925382.05","aufwand","CHF"
"302","","2022","877522740.69","aufwand","CHF"
"303","","2022","13923406.82","aufwand","CHF"
"304","","2022","28427428.45","aufwand","CHF"
"305","","2022","355775565.4","aufwand","CHF"
"306","","2022","966711.11","aufwand","CHF"
"309","","2022","30978144.8","aufwand","CHF"
"310","","2022","115728102.54","aufwand","CHF"
"311","","2022","65323070.5","aufwand","CHF"
"312","","2022","58908622.89","aufwand","CHF"
"313","","2022","463193109.76","aufwand","CHF"
"314","","2022","226027290.35","aufwand","CHF"
"315","","2022","44810805.15","aufwand","CHF"
"316","","2022","73470135.72","aufwand","CHF"
"317","","2022","45191584.35","aufwand","CHF"
"318","","2022","37361180.93","aufwand","CHF"
"319","","2022","78429989.06","aufwand","CHF"
"320","","2022","","aufwand","CHF"
"331","","2022","","aufwand","CHF"
"337","","2022","339097341.73","aufwand","CHF"
"338","","2022","1165131.04","aufwand","CHF"
"340","","2022","28958491.27","aufwand","CHF"
"341","","2022","2494384.34","aufwand","CHF"
"342","","2022","238027.46","aufwand","CHF"
"343","","2022","17814451.74","aufwand","CHF"
"344","","2022","44625354.78","aufwand","CHF"
"349","","2022","372713.94","aufwand","CHF"
"350","","2022","19634242.13","aufwand","CHF"
"351","","2022","46166842.83","aufwand","CHF"
"352","","2022","7444.37","aufwand","CHF"
"3600","","2022","","aufwand","CHF"
"36010","","2022","","aufwand","CHF"
"36011","","2022","","aufwand","CHF"
"36012","","2022","","aufwand","CHF"
"36013","","2022","","aufwand","CHF"
"36014","","2022","","aufwand","CHF"
"36015","","2022","","aufwand","CHF"
"36016","","2022","","aufwand","CHF"
"36017","","2022","","aufwand","CHF"
"36018","","2022","","aufwand","CHF"
"36019","","2022","","aufwand","CHF"
"36021","","2022","","aufwand","CHF"
"36022","","2022","","aufwand","CHF"
"36023","","2022","","aufwand","CHF"
"36029","","2022","","aufwand","CHF"
"3603","","2022","","aufwand","CHF"
"3604","","2022","","aufwand","CHF"
"3610","","2022","","aufwand","CHF"
"3611","","2022","6974866.84","aufwand","CHF"
"3612","","2022","","aufwand","CHF"
"3613","","2022","","aufwand","CHF"
"3614","","2022","9174730.64","aufwand","CHF"
"3620","","2022","","aufwand","CHF"
"36211","","2022","","aufwand","CHF"
"36212","","2022","","aufwand","CHF"
"36213","","2022","","aufwand","CHF"
"36214","","2022","4707539","aufwand","CHF"
"36215","","2022","","aufwand","CHF"
"36216","","2022","","aufwand","CHF"
"36217","","2022","","aufwand","CHF"
"36219","","2022","","aufwand","CHF"
"36221","","2022","","aufwand","CHF"
"36222","","2022","","aufwand","CHF"
"36223","","2022","","aufwand","CHF"
"36224","","2022","","aufwand","CHF"
"36225","","2022","","aufwand","CHF"
"36226","","2022","","aufwand","CHF"
"36227","","2022","","aufwand","CHF"
"36228","","2022","","aufwand","CHF"
"3624","","2022","","aufwand","CHF"
"3629","","2022","","aufwand","CHF"
"3630","","2022","","aufwand","CHF"
"3631","","2022","168964499.3","aufwand","CHF"
"3632","","2022","","aufwand","CHF"
"3633","","2022","12304384.5","aufwand","CHF"
"3634","","2022","760354056.38","aufwand","CHF"
"3635","","2022","300952375.75","aufwand","CHF"
"3636","","2022","660104424.09","aufwand","CHF"
"3637","","2022","832759514.4","aufwand","CHF"
"3638","","2022","1543542.58","aufwand","CHF"
"3639","","2022","12284735.51","aufwand","CHF"
"364","","2022","126050000","aufwand","CHF"
"365","","2022","3300","aufwand","CHF"
"366","","2022","11089769.12","aufwand","CHF"
"369","","2022","1421437.67","aufwand","CHF"
"380","","2022","987917.09","aufwand","CHF"
"381","","2022","16554164.81","aufwand","CHF"
"383","","2022","","aufwand","CHF"
"384","","2022","","aufwand","CHF"
"3860","","2022","","aufwand","CHF"
"3861","","2022","","aufwand","CHF"
"3862","","2022","","aufwand","CHF"
"3863","","2022","","aufwand","CHF"
"3864","","2022","-7150000","aufwand","CHF"
"3865","","2022","8253684.7","aufwand","CHF"
"3866","","2022","-658491.97","aufwand","CHF"
"3867","","2022","11338753.3","aufwand","CHF"
"3868","","2022","30000","aufwand","CHF"
"387","","2022","","aufwand","CHF"
"389","","2022","137898797.67","aufwand","CHF"
"4000","","2022","2260032510.69","ertrag","CHF"
"4001","","2022","398829266.59","ertrag","CHF"
"4002","","2022","204382187.14","ertrag","CHF"
"4008","","2022","","ertrag","CHF"
"4009","","2022","","ertrag","CHF"
"4010","","2022","434076988.94","ertrag","CHF"
"4011","","2022","22846157.31","ertrag","CHF"
"4012","","2022","","ertrag","CHF"
"4019","","2022","","ertrag","CHF"
"4020","","2022","","ertrag","CHF"
"4021","","2022","101883000","ertrag","CHF"
"4022","","2022","287464282.7","ertrag","CHF"
"4023","","2022","67218000","ertrag","CHF"
"4024","","2022","76856751.3","ertrag","CHF"
"4025","","2022","1834901.31","ertrag","CHF"
"4030","","2022","175906469.05","ertrag","CHF"
"4031","","2022","2633736.1","ertrag","CHF"
"4032","","2022","","ertrag","CHF"
"4033","","2022","3411000","ertrag","CHF"
"4039","","2022","","ertrag","CHF"
"4040","","2022","","ertrag","CHF"
"4041","","2022","","ertrag","CHF"
"4042","","2022","","ertrag","CHF"
"4043","","2022","","ertrag","CHF"
"4044","","2022","","ertrag","CHF"
"4045","","2022","","ertrag","CHF"
"4046","","2022","","ertrag","CHF"
"4047","","2022","","ertrag","CHF"
"4049","","2022","","ertrag","CHF"
"4050","","2022","","ertrag","CHF"
"4051","","2022","","ertrag","CHF"
"4052","","2022","","ertrag","CHF"
"4053","","2022","","ertrag","CHF"
"4059","","2022","","ertrag","CHF"
"4060","","2022","","ertrag","CHF"
"4070","","2022","","ertrag","CHF"
"4071","","2022","","ertrag","CHF"
"4072","","2022","","ertrag","CHF"
"4079","","2022","","ertrag","CHF"
"410","","2022","2289537.9","ertrag","CHF"
"411","","2022","237373984","ertrag","CHF"
"412","","2022","9979663.41","ertrag","CHF"
"413","","2022","33541843.1","ertrag","CHF"
"420","","2022","45020355.44","ertrag","CHF"
"421","","2022","163497580.93","ertrag","CHF"
"422","","2022","27416548.5","ertrag","CHF"
"423","","2022","105954342.65","ertrag","CHF"
"424","","2022","261372921.45","ertrag","CHF"
"425","","2022","31744381.15","ertrag","CHF"
"426","","2022","257203809.86","ertrag","CHF"
"427","","2022","47951561.41","ertrag","CHF"
"429","","2022","6881561.59","ertrag","CHF"
"430","","2022","18796068.73","ertrag","CHF"
"431","","2022","22521712.2","ertrag","CHF"
"432","","2022","","ertrag","CHF"
"439","","2022","4749641.14","ertrag","CHF"
"440","","2022","14863717.12","ertrag","CHF"
"441","","2022","25891897.77","ertrag","CHF"
"442","","2022","856943.6","ertrag","CHF"
"443","","2022","51356776.35","ertrag","CHF"
"444","","2022","71304243.78","ertrag","CHF"
"445","","2022","8790647.08","ertrag","CHF"
"446","","2022","119098366.08","ertrag","CHF"
