"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","274686854.58","bilanz","ktn_gdn_sh","CHF","fs"
"101","","2021","275619281.26","bilanz","ktn_gdn_sh","CHF","fs"
"102","","2021","33247838.64","bilanz","ktn_gdn_sh","CHF","fs"
"104","","2021","91030518.89","bilanz","ktn_gdn_sh","CHF","fs"
"106","","2021","1215829.07","bilanz","ktn_gdn_sh","CHF","fs"
"107","","2021","474485398.6","bilanz","ktn_gdn_sh","CHF","fs"
"108","","2021","490206228.4","bilanz","ktn_gdn_sh","CHF","fs"
"109","","2021","","bilanz","ktn_gdn_sh","CHF","fs"
"140","","2021","447022702.4","bilanz","ktn_gdn_sh","CHF","fs"
"141","","2021","","bilanz","ktn_gdn_sh","CHF","fs"
"142","","2021","7461075.38","bilanz","ktn_gdn_sh","CHF","fs"
"143","","2021","","bilanz","ktn_gdn_sh","CHF","fs"
"144","","2021","74609986.95","bilanz","ktn_gdn_sh","CHF","fs"
"145","","2021","172750245.78","bilanz","ktn_gdn_sh","CHF","fs"
"146","","2021","65070470.6","bilanz","ktn_gdn_sh","CHF","fs"
"147","","2021","","bilanz","ktn_gdn_sh","CHF","fs"
"148","","2021","","bilanz","ktn_gdn_sh","CHF","fs"
"200","","2021","318977231.6","bilanz","ktn_gdn_sh","CHF","fs"
"201","","2021","89398255.33","bilanz","ktn_gdn_sh","CHF","fs"
"204","","2021","149223944.41","bilanz","ktn_gdn_sh","CHF","fs"
"205","","2021","11210995.17","bilanz","ktn_gdn_sh","CHF","fs"
"206","","2021","354792000","bilanz","ktn_gdn_sh","CHF","fs"
"207","","2021","","bilanz","ktn_gdn_sh","CHF","fs"
"208","","2021","33023726.3","bilanz","ktn_gdn_sh","CHF","fs"
"209","","2021","32530663.6","bilanz","ktn_gdn_sh","CHF","fs"
"290","","2021","177364672.68","bilanz","ktn_gdn_sh","CHF","fs"
"292","","2021","","bilanz","ktn_gdn_sh","CHF","fs"
"293","","2021","9153561.89","bilanz","ktn_gdn_sh","CHF","fs"
"294","","2021","360584030.59","bilanz","ktn_gdn_sh","CHF","fs"
"295","","2021","6633473","bilanz","ktn_gdn_sh","CHF","fs"
"296","","2021","410008098.67","bilanz","ktn_gdn_sh","CHF","fs"
"298","","2021","","bilanz","ktn_gdn_sh","CHF","fs"
"299","","2021","454505777.31","bilanz","ktn_gdn_sh","CHF","fs"
"empty","","2021","","er","ktn_gdn_sh","CHF","fs"
"empty","","2021","","er","ktn_gdn_sh","CHF","fs"
"empty","","2021","","er","ktn_gdn_sh","CHF","fs"
"empty","","2021","","er","ktn_gdn_sh","CHF","fs"
"300","","2021","10582915.8","aufwand","ktn_gdn_sh","CHF","fs"
"301","","2021","171053640.14","aufwand","ktn_gdn_sh","CHF","fs"
"302","","2021","110766692.95","aufwand","ktn_gdn_sh","CHF","fs"
"303","","2021","12518.9","aufwand","ktn_gdn_sh","CHF","fs"
"304","","2021","2721680.1","aufwand","ktn_gdn_sh","CHF","fs"
"305","","2021","62176357.55","aufwand","ktn_gdn_sh","CHF","fs"
"306","","2021","2517494.55","aufwand","ktn_gdn_sh","CHF","fs"
"309","","2021","4423688.2","aufwand","ktn_gdn_sh","CHF","fs"
"310","","2021","21404602.25","aufwand","ktn_gdn_sh","CHF","fs"
"311","","2021","9372911.7","aufwand","ktn_gdn_sh","CHF","fs"
"312","","2021","9998326.89","aufwand","ktn_gdn_sh","CHF","fs"
"313","","2021","68023684.72","aufwand","ktn_gdn_sh","CHF","fs"
"314","","2021","25943196.98","aufwand","ktn_gdn_sh","CHF","fs"
"315","","2021","9280598.58999999","aufwand","ktn_gdn_sh","CHF","fs"
"316","","2021","6972227.16","aufwand","ktn_gdn_sh","CHF","fs"
"317","","2021","1990426.02","aufwand","ktn_gdn_sh","CHF","fs"
"318","","2021","6647202.65","aufwand","ktn_gdn_sh","CHF","fs"
"319","","2021","3857261.51","aufwand","ktn_gdn_sh","CHF","fs"
"320","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"331","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"337","","2021","41395204.67","aufwand","ktn_gdn_sh","CHF","fs"
"338","","2021","58328.05","aufwand","ktn_gdn_sh","CHF","fs"
"340","","2021","3730641.59","aufwand","ktn_gdn_sh","CHF","fs"
"341","","2021","30407.37","aufwand","ktn_gdn_sh","CHF","fs"
"342","","2021","239133.13","aufwand","ktn_gdn_sh","CHF","fs"
"343","","2021","5542299.82","aufwand","ktn_gdn_sh","CHF","fs"
"344","","2021","1778416.45","aufwand","ktn_gdn_sh","CHF","fs"
"349","","2021","1240530.73","aufwand","ktn_gdn_sh","CHF","fs"
"350","","2021","2084102.91","aufwand","ktn_gdn_sh","CHF","fs"
"351","","2021","16688884.74","aufwand","ktn_gdn_sh","CHF","fs"
"352","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"3600","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36010","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36011","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36012","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36013","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36014","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36015","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36016","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36017","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36018","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36019","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36021","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36022","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36023","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36029","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"3603","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"3604","","2021","314320","aufwand","ktn_gdn_sh","CHF","fs"
"3610","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"3611","","2021","11580871.65","aufwand","ktn_gdn_sh","CHF","fs"
"3612","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"3613","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"3614","","2021","2839170.2","aufwand","ktn_gdn_sh","CHF","fs"
"3620","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36211","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36212","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36213","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36214","","2021","828469","aufwand","ktn_gdn_sh","CHF","fs"
"36215","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36216","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36217","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36219","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36221","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36222","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36223","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36224","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36225","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36226","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36227","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"36228","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"3624","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"3629","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"3630","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"3631","","2021","24133922.14","aufwand","ktn_gdn_sh","CHF","fs"
"3632","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"3633","","2021","2089354.3","aufwand","ktn_gdn_sh","CHF","fs"
"3634","","2021","157540184.54","aufwand","ktn_gdn_sh","CHF","fs"
"3635","","2021","39290024.08","aufwand","ktn_gdn_sh","CHF","fs"
"3636","","2021","99965272.77","aufwand","ktn_gdn_sh","CHF","fs"
"3637","","2021","161582240.4","aufwand","ktn_gdn_sh","CHF","fs"
"3638","","2021","2803485.15","aufwand","ktn_gdn_sh","CHF","fs"
"3639","","2021","2680741","aufwand","ktn_gdn_sh","CHF","fs"
"364","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
"365","","2021","594875","aufwand","ktn_gdn_sh","CHF","fs"
"366","","2021","9398434.05","aufwand","ktn_gdn_sh","CHF","fs"
"369","","2021","","aufwand","ktn_gdn_sh","CHF","fs"
