"arten","funk","jahr","value","dim","unit"
"100","","2017","429231119.56","bilanz","CHF"
"101","","2017","853451954.5","bilanz","CHF"
"102","","2017","20682888.64","bilanz","CHF"
"104","","2017","224216028.05","bilanz","CHF"
"106","","2017","4610597.54","bilanz","CHF"
"107","","2017","254721550.78","bilanz","CHF"
"108","","2017","489728557.85","bilanz","CHF"
"109","","2017","128211.49","bilanz","CHF"
"140","","2017","2139110089.7","bilanz","CHF"
"141","","2017","","bilanz","CHF"
"142","","2017","9659434.69","bilanz","CHF"
"143","","2017","","bilanz","CHF"
"144","","2017","121592479.8","bilanz","CHF"
"145","","2017","242170821.55","bilanz","CHF"
"146","","2017","76813447.29","bilanz","CHF"
"147","","2017","","bilanz","CHF"
"148","","2017","-7570988.57","bilanz","CHF"
"200","","2017","384542385.94","bilanz","CHF"
"201","","2017","248883594.31","bilanz","CHF"
"204","","2017","207789315.6","bilanz","CHF"
"205","","2017","278436.13","bilanz","CHF"
"206","","2017","2809879804.12","bilanz","CHF"
"207","","2017","","bilanz","CHF"
"208","","2017","29403396.44","bilanz","CHF"
"209","","2017","158480594.77","bilanz","CHF"
"290","","2017","905888538.27","bilanz","CHF"
"292","","2017","73592434.21","bilanz","CHF"
"293","","2017","63966726.2","bilanz","CHF"
"294","","2017","","bilanz","CHF"
"295","","2017","8175867.45","bilanz","CHF"
"296","","2017","145179260.84","bilanz","CHF"
"298","","2017","","bilanz","CHF"
"299","","2017","-177514161.38","bilanz","CHF"
"300","","2017","26711279.39","aufwand","CHF"
"301","","2017","448680954.34","aufwand","CHF"
"302","","2017","345534822.67","aufwand","CHF"
"303","","2017","571009.52","aufwand","CHF"
"304","","2017","1209399.68","aufwand","CHF"
"305","","2017","158752191.88","aufwand","CHF"
"306","","2017","5917407.1","aufwand","CHF"
"309","","2017","10209641.51","aufwand","CHF"
"310","","2017","41182416.97","aufwand","CHF"
"311","","2017","20788071.19","aufwand","CHF"
"312","","2017","24403135.85","aufwand","CHF"
"313","","2017","183012464.43","aufwand","CHF"
"314","","2017","64285528.34","aufwand","CHF"
"315","","2017","23615925.75","aufwand","CHF"
"316","","2017","28190214.15","aufwand","CHF"
"317","","2017","12675625.68","aufwand","CHF"
"318","","2017","42590462.93","aufwand","CHF"
"319","","2017","10175515.62","aufwand","CHF"
"320","","2017","","aufwand","CHF"
"331","","2017","","aufwand","CHF"
"337","","2017","115454080.73","aufwand","CHF"
"338","","2017","862852.71","aufwand","CHF"
"340","","2017","28310581.87","aufwand","CHF"
"341","","2017","430048.3","aufwand","CHF"
"342","","2017","252309.72","aufwand","CHF"
"343","","2017","4959271.9","aufwand","CHF"
"344","","2017","28012996.2","aufwand","CHF"
"349","","2017","5832323.82","aufwand","CHF"
"350","","2017","1126694.56","aufwand","CHF"
"351","","2017","34311503.38","aufwand","CHF"
"352","","2017","","aufwand","CHF"
"3600","","2017","","aufwand","CHF"
"36010","","2017","","aufwand","CHF"
"36011","","2017","","aufwand","CHF"
"36012","","2017","","aufwand","CHF"
"36013","","2017","","aufwand","CHF"
"36014","","2017","","aufwand","CHF"
"36015","","2017","","aufwand","CHF"
"36016","","2017","","aufwand","CHF"
"36017","","2017","","aufwand","CHF"
"36018","","2017","","aufwand","CHF"
"36019","","2017","","aufwand","CHF"
"36021","","2017","","aufwand","CHF"
"36022","","2017","","aufwand","CHF"
"36023","","2017","","aufwand","CHF"
"36029","","2017","","aufwand","CHF"
"3603","","2017","","aufwand","CHF"
"3604","","2017","","aufwand","CHF"
"3610","","2017","","aufwand","CHF"
"3611","","2017","26708302.63","aufwand","CHF"
"3612","","2017","","aufwand","CHF"
"3613","","2017","","aufwand","CHF"
"3614","","2017","","aufwand","CHF"
"3620","","2017","","aufwand","CHF"
"36211","","2017","","aufwand","CHF"
"36212","","2017","","aufwand","CHF"
"36213","","2017","","aufwand","CHF"
"36214","","2017","3621638","aufwand","CHF"
"36215","","2017","","aufwand","CHF"
"36216","","2017","","aufwand","CHF"
