"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2022","475847350.56","bilanz","ktn_gdn_so","CHF","fs"
"101","","2022","992277436.09","bilanz","ktn_gdn_so","CHF","fs"
"102","","2022","70850056","bilanz","ktn_gdn_so","CHF","fs"
"104","","2022","231526392.35","bilanz","ktn_gdn_so","CHF","fs"
"106","","2022","4903896.18","bilanz","ktn_gdn_so","CHF","fs"
"107","","2022","205781284.14","bilanz","ktn_gdn_so","CHF","fs"
"108","","2022","612450864.41","bilanz","ktn_gdn_so","CHF","fs"
"109","","2022","278666.79","bilanz","ktn_gdn_so","CHF","fs"
"140","","2022","2326788113.28","bilanz","ktn_gdn_so","CHF","fs"
"141","","2022","","bilanz","ktn_gdn_so","CHF","fs"
"142","","2022","17946384.49","bilanz","ktn_gdn_so","CHF","fs"
"143","","2022","","bilanz","ktn_gdn_so","CHF","fs"
"144","","2022","129363993.29","bilanz","ktn_gdn_so","CHF","fs"
"145","","2022","437036109.76","bilanz","ktn_gdn_so","CHF","fs"
"146","","2022","79346507.67","bilanz","ktn_gdn_so","CHF","fs"
"147","","2022","","bilanz","ktn_gdn_so","CHF","fs"
"148","","2022","","bilanz","ktn_gdn_so","CHF","fs"
"200","","2022","509718883.78","bilanz","ktn_gdn_so","CHF","fs"
"201","","2022","240651647.67","bilanz","ktn_gdn_so","CHF","fs"
"204","","2022","259956113.08","bilanz","ktn_gdn_so","CHF","fs"
"205","","2022","557250.65","bilanz","ktn_gdn_so","CHF","fs"
"206","","2022","2318089668.5","bilanz","ktn_gdn_so","CHF","fs"
"207","","2022","","bilanz","ktn_gdn_so","CHF","fs"
"208","","2022","26407710.5","bilanz","ktn_gdn_so","CHF","fs"
"209","","2022","167105696.35","bilanz","ktn_gdn_so","CHF","fs"
"290","","2022","398216979.11","bilanz","ktn_gdn_so","CHF","fs"
"292","","2022","795831739.77","bilanz","ktn_gdn_so","CHF","fs"
"293","","2022","163569107.8","bilanz","ktn_gdn_so","CHF","fs"
"294","","2022","14822669.42","bilanz","ktn_gdn_so","CHF","fs"
"295","","2022","25182899.76","bilanz","ktn_gdn_so","CHF","fs"
"296","","2022","87408224.13","bilanz","ktn_gdn_so","CHF","fs"
"298","","2022","1","bilanz","ktn_gdn_so","CHF","fs"
"299","","2022","576878463.49","bilanz","ktn_gdn_so","CHF","fs"
"empty","","2022","","er","ktn_gdn_so","CHF","fs"
"empty","","2022","","er","ktn_gdn_so","CHF","fs"
"empty","","2022","","er","ktn_gdn_so","CHF","fs"
"empty","","2022","","er","ktn_gdn_so","CHF","fs"
"300","","2022","27254109.83","aufwand","ktn_gdn_so","CHF","fs"
"301","","2022","487309712.25","aufwand","ktn_gdn_so","CHF","fs"
"302","","2022","373445469.92","aufwand","ktn_gdn_so","CHF","fs"
"303","","2022","2379538.8","aufwand","ktn_gdn_so","CHF","fs"
"304","","2022","1330786.92","aufwand","ktn_gdn_so","CHF","fs"
"305","","2022","175505693.3","aufwand","ktn_gdn_so","CHF","fs"
"306","","2022","3885586.67","aufwand","ktn_gdn_so","CHF","fs"
"309","","2022","11592243.15","aufwand","ktn_gdn_so","CHF","fs"
"310","","2022","44587683.11","aufwand","ktn_gdn_so","CHF","fs"
"311","","2022","24380774.25","aufwand","ktn_gdn_so","CHF","fs"
"312","","2022","30597682.52","aufwand","ktn_gdn_so","CHF","fs"
"313","","2022","243428032.01","aufwand","ktn_gdn_so","CHF","fs"
"314","","2022","71319146.83","aufwand","ktn_gdn_so","CHF","fs"
"315","","2022","27093779.54","aufwand","ktn_gdn_so","CHF","fs"
"316","","2022","30279108.61","aufwand","ktn_gdn_so","CHF","fs"
"317","","2022","12947570.39","aufwand","ktn_gdn_so","CHF","fs"
"318","","2022","30853135.63","aufwand","ktn_gdn_so","CHF","fs"
"319","","2022","12942488.67","aufwand","ktn_gdn_so","CHF","fs"
"320","","2022","","aufwand","ktn_gdn_so","CHF","fs"
"331","","2022","","aufwand","ktn_gdn_so","CHF","fs"
"337","","2022","133171844.38","aufwand","ktn_gdn_so","CHF","fs"
