"arten","funk","jahr","value","dim","unit"
"100","","2018","342522791.2","bilanz","CHF"
"101","","2018","764334917.65","bilanz","CHF"
"102","","2018","","bilanz","CHF"
"104","","2018","36030929.55","bilanz","CHF"
"106","","2018","794196.74","bilanz","CHF"
"107","","2018","29083587.5","bilanz","CHF"
"108","","2018","139857057.94","bilanz","CHF"
"109","","2018","34324571.87","bilanz","CHF"
"140","","2018","623447755.84","bilanz","CHF"
"141","","2018","321246.71","bilanz","CHF"
"142","","2018","","bilanz","CHF"
"143","","2018","34935008.23","bilanz","CHF"
"144","","2018","93273157.45","bilanz","CHF"
"145","","2018","53261813","bilanz","CHF"
"146","","2018","69071086.45","bilanz","CHF"
"147","","2018","","bilanz","CHF"
"148","","2018","","bilanz","CHF"
"200","","2018","297725626.98","bilanz","CHF"
"201","","2018","37929186.62","bilanz","CHF"
"204","","2018","98824843.23","bilanz","CHF"
"205","","2018","6421394.85","bilanz","CHF"
"206","","2018","692841083.2","bilanz","CHF"
"207","","2018","","bilanz","CHF"
"208","","2018","66185533.45","bilanz","CHF"
"209","","2018","138274644.61","bilanz","CHF"
"290","","2018","173855027.31","bilanz","CHF"
"292","","2018","","bilanz","CHF"
"293","","2018","","bilanz","CHF"
"294","","2018","","bilanz","CHF"
"295","","2018","","bilanz","CHF"
"296","","2018","","bilanz","CHF"
"298","","2018","","bilanz","CHF"
"299","","2018","709200779.88","bilanz","CHF"
"300","","2018","11297741.3","aufwand","CHF"
"301","","2018","235833309.79","aufwand","CHF"
"302","","2018","204994403.09","aufwand","CHF"
"303","","2018","2108433.98","aufwand","CHF"
"304","","2018","4280093.25","aufwand","CHF"
"305","","2018","85854566.5099999","aufwand","CHF"
"306","","2018","3095401.2","aufwand","CHF"
"309","","2018","7000074.01","aufwand","CHF"
"310","","2018","17944557.99","aufwand","CHF"
"311","","2018","16194239.71","aufwand","CHF"
"312","","2018","11423898.46","aufwand","CHF"
"313","","2018","95608221.59","aufwand","CHF"
"314","","2018","56568169.8","aufwand","CHF"
"315","","2018","23210821.32","aufwand","CHF"
"316","","2018","15989116.04","aufwand","CHF"
"317","","2018","7400989.58","aufwand","CHF"
"318","","2018","8507756.85","aufwand","CHF"
"319","","2018","6414000.4","aufwand","CHF"
"320","","2018","","aufwand","CHF"
