"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","246863820.33","bilanz","ktn_gdn_sz","CHF","fs"
"101","","2020","1080984133.75","bilanz","ktn_gdn_sz","CHF","fs"
"102","","2020","250000","bilanz","ktn_gdn_sz","CHF","fs"
"104","","2020","28789099.36","bilanz","ktn_gdn_sz","CHF","fs"
"106","","2020","695327.67","bilanz","ktn_gdn_sz","CHF","fs"
"107","","2020","40227061.18","bilanz","ktn_gdn_sz","CHF","fs"
"108","","2020","151396232.09","bilanz","ktn_gdn_sz","CHF","fs"
"109","","2020","20968405.15","bilanz","ktn_gdn_sz","CHF","fs"
"140","","2020","694775897.78","bilanz","ktn_gdn_sz","CHF","fs"
"141","","2020","305253.94","bilanz","ktn_gdn_sz","CHF","fs"
"142","","2020","","bilanz","ktn_gdn_sz","CHF","fs"
"143","","2020","31773968.34","bilanz","ktn_gdn_sz","CHF","fs"
"144","","2020","96501363.45","bilanz","ktn_gdn_sz","CHF","fs"
"145","","2020","53261814","bilanz","ktn_gdn_sz","CHF","fs"
"146","","2020","62430379.51","bilanz","ktn_gdn_sz","CHF","fs"
"147","","2020","","bilanz","ktn_gdn_sz","CHF","fs"
"148","","2020","","bilanz","ktn_gdn_sz","CHF","fs"
"200","","2020","332976720.35","bilanz","ktn_gdn_sz","CHF","fs"
"201","","2020","58742127.48","bilanz","ktn_gdn_sz","CHF","fs"
"204","","2020","74951274.89","bilanz","ktn_gdn_sz","CHF","fs"
"205","","2020","28096663.38","bilanz","ktn_gdn_sz","CHF","fs"
"206","","2020","705104345.75","bilanz","ktn_gdn_sz","CHF","fs"
"207","","2020","","bilanz","ktn_gdn_sz","CHF","fs"
"208","","2020","44135147.05","bilanz","ktn_gdn_sz","CHF","fs"
"209","","2020","135098433.16","bilanz","ktn_gdn_sz","CHF","fs"
"290","","2020","208078468.07","bilanz","ktn_gdn_sz","CHF","fs"
"292","","2020","","bilanz","ktn_gdn_sz","CHF","fs"
"293","","2020","","bilanz","ktn_gdn_sz","CHF","fs"
"294","","2020","","bilanz","ktn_gdn_sz","CHF","fs"
"295","","2020","","bilanz","ktn_gdn_sz","CHF","fs"
"296","","2020","","bilanz","ktn_gdn_sz","CHF","fs"
"298","","2020","","bilanz","ktn_gdn_sz","CHF","fs"
"299","","2020","922039576.42","bilanz","ktn_gdn_sz","CHF","fs"
"empty","","2020","","er","ktn_gdn_sz","CHF","fs"
"empty","","2020","","er","ktn_gdn_sz","CHF","fs"
"empty","","2020","","er","ktn_gdn_sz","CHF","fs"
"empty","","2020","","er","ktn_gdn_sz","CHF","fs"
"300","","2020","11816328.23","aufwand","ktn_gdn_sz","CHF","fs"
"301","","2020","247149849.63","aufwand","ktn_gdn_sz","CHF","fs"
"302","","2020","205403886.98","aufwand","ktn_gdn_sz","CHF","fs"
"303","","2020","2098278.9","aufwand","ktn_gdn_sz","CHF","fs"
"304","","2020","4275828.21","aufwand","ktn_gdn_sz","CHF","fs"
"305","","2020","84779671","aufwand","ktn_gdn_sz","CHF","fs"
"306","","2020","2801206.6","aufwand","ktn_gdn_sz","CHF","fs"
"309","","2020","6036691.1","aufwand","ktn_gdn_sz","CHF","fs"
"310","","2020","18694414.25","aufwand","ktn_gdn_sz","CHF","fs"
"311","","2020","19146911.67","aufwand","ktn_gdn_sz","CHF","fs"
"312","","2020","11744358.77","aufwand","ktn_gdn_sz","CHF","fs"
"313","","2020","97565343.77","aufwand","ktn_gdn_sz","CHF","fs"
"314","","2020","69145079.75","aufwand","ktn_gdn_sz","CHF","fs"
"315","","2020","25375277.29","aufwand","ktn_gdn_sz","CHF","fs"
"316","","2020","15540837.31","aufwand","ktn_gdn_sz","CHF","fs"
"317","","2020","5488446.6","aufwand","ktn_gdn_sz","CHF","fs"
"318","","2020","6260925.27","aufwand","ktn_gdn_sz","CHF","fs"
"319","","2020","6318697.78","aufwand","ktn_gdn_sz","CHF","fs"
"320","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"331","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"337","","2020","85303140.03","aufwand","ktn_gdn_sz","CHF","fs"
"338","","2020","4385048.91","aufwand","ktn_gdn_sz","CHF","fs"
"340","","2020","5342442.74","aufwand","ktn_gdn_sz","CHF","fs"
"341","","2020","34461.47","aufwand","ktn_gdn_sz","CHF","fs"
"342","","2020","250308.16","aufwand","ktn_gdn_sz","CHF","fs"
"343","","2020","478987.27","aufwand","ktn_gdn_sz","CHF","fs"
"344","","2020","8967940.69","aufwand","ktn_gdn_sz","CHF","fs"
"349","","2020","2747553.72","aufwand","ktn_gdn_sz","CHF","fs"
"350","","2020","11524761.75","aufwand","ktn_gdn_sz","CHF","fs"
"351","","2020","7749818.6","aufwand","ktn_gdn_sz","CHF","fs"
"352","","2020","4891643.38","aufwand","ktn_gdn_sz","CHF","fs"
"3600","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36010","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36011","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36012","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36013","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36014","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36015","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36016","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36017","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36018","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36019","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36021","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36022","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36023","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36029","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3603","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3604","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3610","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3611","","2020","11841439.4","aufwand","ktn_gdn_sz","CHF","fs"
"3612","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3613","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3614","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3620","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36211","","2020","225364244","aufwand","ktn_gdn_sz","CHF","fs"
"36212","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36213","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36214","","2020","1548279","aufwand","ktn_gdn_sz","CHF","fs"
"36215","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36216","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36217","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36219","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36221","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36222","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36223","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36224","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36225","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36226","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36227","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"36228","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3624","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3629","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3630","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3631","","2020","46919278.53","aufwand","ktn_gdn_sz","CHF","fs"
"3632","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3633","","2020","2634120.4","aufwand","ktn_gdn_sz","CHF","fs"
"3634","","2020","58568814.48","aufwand","ktn_gdn_sz","CHF","fs"
"3635","","2020","263143913.6","aufwand","ktn_gdn_sz","CHF","fs"
"3636","","2020","125180428.88","aufwand","ktn_gdn_sz","CHF","fs"
"3637","","2020","207621232.08","aufwand","ktn_gdn_sz","CHF","fs"
"3638","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3639","","2020","4701703","aufwand","ktn_gdn_sz","CHF","fs"
"364","","2020","1188000","aufwand","ktn_gdn_sz","CHF","fs"
"365","","2020","5299","aufwand","ktn_gdn_sz","CHF","fs"
"366","","2020","1387042.1","aufwand","ktn_gdn_sz","CHF","fs"
"369","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"380","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"381","","2020","1100000","aufwand","ktn_gdn_sz","CHF","fs"
"383","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"384","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3860","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3861","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3862","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3863","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3864","","2020","5200000","aufwand","ktn_gdn_sz","CHF","fs"
"3865","","2020","1e+07","aufwand","ktn_gdn_sz","CHF","fs"
"3866","","2020","10512249","aufwand","ktn_gdn_sz","CHF","fs"
"3867","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"3868","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"387","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"389","","2020","","aufwand","ktn_gdn_sz","CHF","fs"
"4000","","2020","790906793.27","ertrag","ktn_gdn_sz","CHF","fs"
"4001","","2020","207967242.8","ertrag","ktn_gdn_sz","CHF","fs"
"4002","","2020","32195133.45","ertrag","ktn_gdn_sz","CHF","fs"
"4008","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4009","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4010","","2020","77701081.35","ertrag","ktn_gdn_sz","CHF","fs"
"4011","","2020","6869380.71","ertrag","ktn_gdn_sz","CHF","fs"
"4012","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4019","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4020","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4021","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4022","","2020","91732747.14","ertrag","ktn_gdn_sz","CHF","fs"
"4023","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4024","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4025","","2020","4281612.19","ertrag","ktn_gdn_sz","CHF","fs"
"4030","","2020","45373898.95","ertrag","ktn_gdn_sz","CHF","fs"
"4031","","2020","2800829.95","ertrag","ktn_gdn_sz","CHF","fs"
"4032","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4033","","2020","765784.55","ertrag","ktn_gdn_sz","CHF","fs"
"4039","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4040","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4041","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4042","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4043","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4044","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4045","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4046","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4047","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4049","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4050","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4051","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4052","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4053","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4059","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4060","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4070","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4071","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4072","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"4079","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"410","","2020","1142581.55","ertrag","ktn_gdn_sz","CHF","fs"
"411","","2020","49558185","ertrag","ktn_gdn_sz","CHF","fs"
"412","","2020","10285786.06","ertrag","ktn_gdn_sz","CHF","fs"
"413","","2020","9363838","ertrag","ktn_gdn_sz","CHF","fs"
"420","","2020","10513931.75","ertrag","ktn_gdn_sz","CHF","fs"
"421","","2020","52428444.27","ertrag","ktn_gdn_sz","CHF","fs"
"422","","2020","440787.89","ertrag","ktn_gdn_sz","CHF","fs"
"423","","2020","11709898.06","ertrag","ktn_gdn_sz","CHF","fs"
"424","","2020","45504961.11","ertrag","ktn_gdn_sz","CHF","fs"
"425","","2020","2848000.2","ertrag","ktn_gdn_sz","CHF","fs"
"426","","2020","53874741","ertrag","ktn_gdn_sz","CHF","fs"
"427","","2020","10655547.14","ertrag","ktn_gdn_sz","CHF","fs"
"429","","2020","30828.53","ertrag","ktn_gdn_sz","CHF","fs"
"430","","2020","1637250.46","ertrag","ktn_gdn_sz","CHF","fs"
"431","","2020","75030.7","ertrag","ktn_gdn_sz","CHF","fs"
"432","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"439","","2020","2247935.46","ertrag","ktn_gdn_sz","CHF","fs"
"440","","2020","2171007.6","ertrag","ktn_gdn_sz","CHF","fs"
"441","","2020","421107","ertrag","ktn_gdn_sz","CHF","fs"
"442","","2020","5.2","ertrag","ktn_gdn_sz","CHF","fs"
"443","","2020","3903551.15","ertrag","ktn_gdn_sz","CHF","fs"
"444","","2020","2026900","ertrag","ktn_gdn_sz","CHF","fs"
"445","","2020","3830","ertrag","ktn_gdn_sz","CHF","fs"
"446","","2020","53457644.73","ertrag","ktn_gdn_sz","CHF","fs"
"447","","2020","11277114.64","ertrag","ktn_gdn_sz","CHF","fs"
"448","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"449","","2020","5777.8","ertrag","ktn_gdn_sz","CHF","fs"
"450","","2020","4369591","ertrag","ktn_gdn_sz","CHF","fs"
"451","","2020","","ertrag","ktn_gdn_sz","CHF","fs"
"452","","2020","11497330.32","ertrag","ktn_gdn_sz","CHF","fs"
"46000","","2020","171159438.71","ertrag","ktn_gdn_sz","CHF","fs"
"46001","","2020","6049540","ertrag","ktn_gdn_sz","CHF","fs"
"46002","","2020","898652.62","ertrag","ktn_gdn_sz","CHF","fs"
