"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2022","474038542.9","bilanz","ktn_gdn_tg","CHF","fs"
"101","","2022","705054938.25","bilanz","ktn_gdn_tg","CHF","fs"
"102","","2022","204885709.15","bilanz","ktn_gdn_tg","CHF","fs"
"104","","2022","125047273.29","bilanz","ktn_gdn_tg","CHF","fs"
"106","","2022","3738890.3","bilanz","ktn_gdn_tg","CHF","fs"
"107","","2022","255326907.35","bilanz","ktn_gdn_tg","CHF","fs"
"108","","2022","640352952.31","bilanz","ktn_gdn_tg","CHF","fs"
"109","","2022","124338.67","bilanz","ktn_gdn_tg","CHF","fs"
"140","","2022","1909260523.75","bilanz","ktn_gdn_tg","CHF","fs"
"141","","2022","4500","bilanz","ktn_gdn_tg","CHF","fs"
"142","","2022","22132456.73","bilanz","ktn_gdn_tg","CHF","fs"
"143","","2022","","bilanz","ktn_gdn_tg","CHF","fs"
"144","","2022","213660098.08","bilanz","ktn_gdn_tg","CHF","fs"
"145","","2022","597194227.4","bilanz","ktn_gdn_tg","CHF","fs"
"146","","2022","72912021.73","bilanz","ktn_gdn_tg","CHF","fs"
"147","","2022","","bilanz","ktn_gdn_tg","CHF","fs"
"148","","2022","-22796653.92","bilanz","ktn_gdn_tg","CHF","fs"
"200","","2022","672176278.14","bilanz","ktn_gdn_tg","CHF","fs"
"201","","2022","116516746.46","bilanz","ktn_gdn_tg","CHF","fs"
"204","","2022","101716165.13","bilanz","ktn_gdn_tg","CHF","fs"
"205","","2022","94772692.16","bilanz","ktn_gdn_tg","CHF","fs"
"206","","2022","1359988598.23","bilanz","ktn_gdn_tg","CHF","fs"
"207","","2022","","bilanz","ktn_gdn_tg","CHF","fs"
"208","","2022","39953606.06","bilanz","ktn_gdn_tg","CHF","fs"
"209","","2022","432986928.49","bilanz","ktn_gdn_tg","CHF","fs"
"290","","2022","439872269.88","bilanz","ktn_gdn_tg","CHF","fs"
"292","","2022","12260461.71","bilanz","ktn_gdn_tg","CHF","fs"
"293","","2022","164471877.45","bilanz","ktn_gdn_tg","CHF","fs"
"294","","2022","3e+06","bilanz","ktn_gdn_tg","CHF","fs"
"295","","2022","","bilanz","ktn_gdn_tg","CHF","fs"
"296","","2022","134872744.37","bilanz","ktn_gdn_tg","CHF","fs"
"298","","2022","431691155.01","bilanz","ktn_gdn_tg","CHF","fs"
"299","","2022","1196657202.9","bilanz","ktn_gdn_tg","CHF","fs"
"empty","","2022","","er","ktn_gdn_tg","CHF","fs"
"empty","","2022","","er","ktn_gdn_tg","CHF","fs"
"empty","","2022","","er","ktn_gdn_tg","CHF","fs"
"empty","","2022","","er","ktn_gdn_tg","CHF","fs"
"300","","2022","33282680.29","aufwand","ktn_gdn_tg","CHF","fs"
"301","","2022","487049460.35","aufwand","ktn_gdn_tg","CHF","fs"
"302","","2022","401819905.65","aufwand","ktn_gdn_tg","CHF","fs"
"303","","2022","3379167.65","aufwand","ktn_gdn_tg","CHF","fs"
"304","","2022","5359505.65","aufwand","ktn_gdn_tg","CHF","fs"
"305","","2022","173562039.87","aufwand","ktn_gdn_tg","CHF","fs"
"306","","2022","2111108.38","aufwand","ktn_gdn_tg","CHF","fs"
"309","","2022","15498885.44","aufwand","ktn_gdn_tg","CHF","fs"
"310","","2022","117352582.45","aufwand","ktn_gdn_tg","CHF","fs"
"311","","2022","39356580.82","aufwand","ktn_gdn_tg","CHF","fs"
"312","","2022","61295772.8","aufwand","ktn_gdn_tg","CHF","fs"
"313","","2022","194825718.02","aufwand","ktn_gdn_tg","CHF","fs"
"314","","2022","113134682.54","aufwand","ktn_gdn_tg","CHF","fs"
"315","","2022","44883203.58","aufwand","ktn_gdn_tg","CHF","fs"
"316","","2022","38283879.23","aufwand","ktn_gdn_tg","CHF","fs"
"317","","2022","17735266.51","aufwand","ktn_gdn_tg","CHF","fs"
"318","","2022","8377277.58","aufwand","ktn_gdn_tg","CHF","fs"
"319","","2022","16300967.44","aufwand","ktn_gdn_tg","CHF","fs"
"320","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"331","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"337","","2022","123327086.87","aufwand","ktn_gdn_tg","CHF","fs"
"338","","2022","907422.26","aufwand","ktn_gdn_tg","CHF","fs"
"340","","2022","8348103.06","aufwand","ktn_gdn_tg","CHF","fs"
"341","","2022","10233.62","aufwand","ktn_gdn_tg","CHF","fs"
"342","","2022","1328734.1","aufwand","ktn_gdn_tg","CHF","fs"
"343","","2022","4342512.86","aufwand","ktn_gdn_tg","CHF","fs"
"344","","2022","7298002.98","aufwand","ktn_gdn_tg","CHF","fs"
"349","","2022","1221775.87","aufwand","ktn_gdn_tg","CHF","fs"
"350","","2022","28592462.77","aufwand","ktn_gdn_tg","CHF","fs"
"351","","2022","39554727.73","aufwand","ktn_gdn_tg","CHF","fs"
"352","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"3600","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36010","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36011","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36012","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36013","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36014","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36015","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36016","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36017","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36018","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36019","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36021","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36022","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36023","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36029","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"3603","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"3604","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"3610","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"3611","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"3612","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"3613","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"3614","","2022","90431.6","aufwand","ktn_gdn_tg","CHF","fs"
"3620","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36211","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36212","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36213","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36214","","2022","2387782","aufwand","ktn_gdn_tg","CHF","fs"
"36215","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36216","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36217","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36219","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36221","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36222","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36223","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36224","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36225","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36226","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36227","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"36228","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"3624","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"3629","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"3630","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"3631","","2022","71087309.61","aufwand","ktn_gdn_tg","CHF","fs"
"3632","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"3633","","2022","7581909","aufwand","ktn_gdn_tg","CHF","fs"
"3634","","2022","449119931.22","aufwand","ktn_gdn_tg","CHF","fs"
"3635","","2022","285596063.62","aufwand","ktn_gdn_tg","CHF","fs"
"3636","","2022","272680275.52","aufwand","ktn_gdn_tg","CHF","fs"
"3637","","2022","247655877.1","aufwand","ktn_gdn_tg","CHF","fs"
"3638","","2022","301180.2","aufwand","ktn_gdn_tg","CHF","fs"
"3639","","2022","7228915","aufwand","ktn_gdn_tg","CHF","fs"
"364","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"365","","2022","-2351.35","aufwand","ktn_gdn_tg","CHF","fs"
"366","","2022","4440157.83","aufwand","ktn_gdn_tg","CHF","fs"
"369","","2022","88885.09","aufwand","ktn_gdn_tg","CHF","fs"
"380","","2022","1422557.77","aufwand","ktn_gdn_tg","CHF","fs"
"381","","2022","9091022.45","aufwand","ktn_gdn_tg","CHF","fs"
"383","","2022","7610485.81","aufwand","ktn_gdn_tg","CHF","fs"
"384","","2022","506972.1","aufwand","ktn_gdn_tg","CHF","fs"
"3860","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"3861","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"3862","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"3863","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"3864","","2022","-1063235","aufwand","ktn_gdn_tg","CHF","fs"
"3865","","2022","5265835.73","aufwand","ktn_gdn_tg","CHF","fs"
"3866","","2022","1949773.22","aufwand","ktn_gdn_tg","CHF","fs"
"3867","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"3868","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"387","","2022","","aufwand","ktn_gdn_tg","CHF","fs"
"389","","2022","35762723.56","aufwand","ktn_gdn_tg","CHF","fs"
"4000","","2022","1264178851.12","ertrag","ktn_gdn_tg","CHF","fs"
"4001","","2022","163610983.46","ertrag","ktn_gdn_tg","CHF","fs"
"4002","","2022","44130729.9","ertrag","ktn_gdn_tg","CHF","fs"
"4008","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4009","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4010","","2022","149621730.94","ertrag","ktn_gdn_tg","CHF","fs"
"4011","","2022","11466411.43","ertrag","ktn_gdn_tg","CHF","fs"
"4012","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4019","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4020","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4021","","2022","33104291.9","ertrag","ktn_gdn_tg","CHF","fs"
"4022","","2022","111244986.8","ertrag","ktn_gdn_tg","CHF","fs"
"4023","","2022","34406915.71","ertrag","ktn_gdn_tg","CHF","fs"
"4024","","2022","28498594.61","ertrag","ktn_gdn_tg","CHF","fs"
"4025","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4030","","2022","66406954.59","ertrag","ktn_gdn_tg","CHF","fs"
"4031","","2022","3864455","ertrag","ktn_gdn_tg","CHF","fs"
"4032","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4033","","2022","2064511","ertrag","ktn_gdn_tg","CHF","fs"
"4039","","2022","141810.25","ertrag","ktn_gdn_tg","CHF","fs"
"4040","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4041","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4042","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4043","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4044","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4045","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4046","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4047","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4049","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4050","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4051","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4052","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4053","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4059","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4060","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4070","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4071","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4072","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4079","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"410","","2022","308057","ertrag","ktn_gdn_tg","CHF","fs"
"411","","2022","130225783","ertrag","ktn_gdn_tg","CHF","fs"
"412","","2022","2874346.08","ertrag","ktn_gdn_tg","CHF","fs"
"413","","2022","12219069","ertrag","ktn_gdn_tg","CHF","fs"
"420","","2022","21830104.22","ertrag","ktn_gdn_tg","CHF","fs"
"421","","2022","104869734.94","ertrag","ktn_gdn_tg","CHF","fs"
"422","","2022","5889080.45","ertrag","ktn_gdn_tg","CHF","fs"
"423","","2022","12575158.93","ertrag","ktn_gdn_tg","CHF","fs"
"424","","2022","186117626.07","ertrag","ktn_gdn_tg","CHF","fs"
"425","","2022","71642136.55","ertrag","ktn_gdn_tg","CHF","fs"
"426","","2022","107946996.71","ertrag","ktn_gdn_tg","CHF","fs"
"427","","2022","12833599.38","ertrag","ktn_gdn_tg","CHF","fs"
"429","","2022","3164800.87","ertrag","ktn_gdn_tg","CHF","fs"
"430","","2022","7119669.95","ertrag","ktn_gdn_tg","CHF","fs"
"431","","2022","168843.56","ertrag","ktn_gdn_tg","CHF","fs"
"432","","2022","500","ertrag","ktn_gdn_tg","CHF","fs"
"439","","2022","6064812.54","ertrag","ktn_gdn_tg","CHF","fs"
"440","","2022","2349216.23","ertrag","ktn_gdn_tg","CHF","fs"
"441","","2022","12001623.05","ertrag","ktn_gdn_tg","CHF","fs"
"442","","2022","669674.07","ertrag","ktn_gdn_tg","CHF","fs"
"443","","2022","10421084.67","ertrag","ktn_gdn_tg","CHF","fs"
"444","","2022","30114779.49","ertrag","ktn_gdn_tg","CHF","fs"
"445","","2022","269200.45","ertrag","ktn_gdn_tg","CHF","fs"
"446","","2022","77375462.59","ertrag","ktn_gdn_tg","CHF","fs"
"447","","2022","22287145.53","ertrag","ktn_gdn_tg","CHF","fs"
"448","","2022","365903.74","ertrag","ktn_gdn_tg","CHF","fs"
"449","","2022","70177.44","ertrag","ktn_gdn_tg","CHF","fs"
"450","","2022","26983810.29","ertrag","ktn_gdn_tg","CHF","fs"
"451","","2022","26433788.15","ertrag","ktn_gdn_tg","CHF","fs"
"452","","2022","5324739.47","ertrag","ktn_gdn_tg","CHF","fs"
"46000","","2022","105579996.09","ertrag","ktn_gdn_tg","CHF","fs"
"46001","","2022","13949122","ertrag","ktn_gdn_tg","CHF","fs"
"46002","","2022","1162450.33","ertrag","ktn_gdn_tg","CHF","fs"
"46003","","2022","906936","ertrag","ktn_gdn_tg","CHF","fs"
"46004","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"46005","","2022","10160120","ertrag","ktn_gdn_tg","CHF","fs"
"46006","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"46007","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"46008","","2022","13267979","ertrag","ktn_gdn_tg","CHF","fs"
"46009","","2022","11273","ertrag","ktn_gdn_tg","CHF","fs"
"46010","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"46011","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"46012","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"46019","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4603","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4604","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4610","","2022","25190222.53","ertrag","ktn_gdn_tg","CHF","fs"
"4611","","2022","1241961.5","ertrag","ktn_gdn_tg","CHF","fs"
"4612","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4613","","2022","15958592.17","ertrag","ktn_gdn_tg","CHF","fs"
"4614","","2022","1044359.72","ertrag","ktn_gdn_tg","CHF","fs"
"46201","","2022","136586249","ertrag","ktn_gdn_tg","CHF","fs"
"46202","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"46203","","2022","3159577","ertrag","ktn_gdn_tg","CHF","fs"
"46204","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"46209","","2022","10613795","ertrag","ktn_gdn_tg","CHF","fs"
"46211","","2022","91057499","ertrag","ktn_gdn_tg","CHF","fs"
"46212","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"46213","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"46214","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"46215","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"46216","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"46217","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"46225","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"46226","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"46227","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"46228","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4624","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4629","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4630","","2022","276935831.8","ertrag","ktn_gdn_tg","CHF","fs"
"4631","","2022","7949002.5","ertrag","ktn_gdn_tg","CHF","fs"
"4632","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4633","","2022","","ertrag","ktn_gdn_tg","CHF","fs"
"4634","","2022","4410374.88","ertrag","ktn_gdn_tg","CHF","fs"
"4635","","2022","389002.45","ertrag","ktn_gdn_tg","CHF","fs"
