"arten","funk","jahr","value","dim","unit"
"100","","2018","672833952.36","bilanz","CHF"
"101","","2018","1377408119.73","bilanz","CHF"
"102","","2018","42037356.82","bilanz","CHF"
"104","","2018","1316566661.81","bilanz","CHF"
"106","","2018","2055864.14","bilanz","CHF"
"107","","2018","147886657.02","bilanz","CHF"
"108","","2018","323028093.86","bilanz","CHF"
"109","","2018","441278242.7","bilanz","CHF"
"140","","2018","2426134201.97","bilanz","CHF"
"141","","2018","53873.8","bilanz","CHF"
"142","","2018","20767763.44","bilanz","CHF"
"143","","2018","439710900.16","bilanz","CHF"
"144","","2018","63001086","bilanz","CHF"
"145","","2018","627977589","bilanz","CHF"
"146","","2018","457824688.48","bilanz","CHF"
"147","","2018","","bilanz","CHF"
"148","","2018","","bilanz","CHF"
"200","","2018","739405770.42","bilanz","CHF"
"201","","2018","593012531.83","bilanz","CHF"
"204","","2018","984239892.91","bilanz","CHF"
"205","","2018","35289920","bilanz","CHF"
"206","","2018","5023946742.02","bilanz","CHF"
"207","","2018","","bilanz","CHF"
"208","","2018","240102890.52","bilanz","CHF"
"209","","2018","216994652.15","bilanz","CHF"
"290","","2018","980870.12","bilanz","CHF"
"292","","2018","9089254.49","bilanz","CHF"
"293","","2018","62346211.57","bilanz","CHF"
"294","","2018","","bilanz","CHF"
"295","","2018","","bilanz","CHF"
"296","","2018","","bilanz","CHF"
"298","","2018","1.1e+07","bilanz","CHF"
"299","","2018","442156315.26","bilanz","CHF"
"300","","2018","32519527.84","aufwand","CHF"
"301","","2018","839566746.97","aufwand","CHF"
"302","","2018","578809818.85","aufwand","CHF"
"303","","2018","1125450","aufwand","CHF"
"304","","2018","1796576.03","aufwand","CHF"
"305","","2018","306494113.95","aufwand","CHF"
"306","","2018","10256832.05","aufwand","CHF"
"309","","2018","9798656.41","aufwand","CHF"
"310","","2018","62621263.17","aufwand","CHF"
"311","","2018","33236564.39","aufwand","CHF"
"312","","2018","50508882.61","aufwand","CHF"
"313","","2018","317047023.68","aufwand","CHF"
"314","","2018","117834674.82","aufwand","CHF"
"315","","2018","41102937.11","aufwand","CHF"
"316","","2018","33962586.47","aufwand","CHF"
"317","","2018","14800724.31","aufwand","CHF"
"318","","2018","46177288.53","aufwand","CHF"
"319","","2018","20742907.04","aufwand","CHF"
"320","","2018","","aufwand","CHF"
"331","","2018","","aufwand","CHF"
"337","","2018","264494435.12","aufwand","CHF"
"338","","2018","47486157.03","aufwand","CHF"
"340","","2018","55109468.26","aufwand","CHF"
"341","","2018","1095064.29","aufwand","CHF"
"342","","2018","296800.55","aufwand","CHF"
"343","","2018","1385126.85","aufwand","CHF"
"344","","2018","3221974.78","aufwand","CHF"
"349","","2018","38978.2","aufwand","CHF"
"350","","2018","21177165.09","aufwand","CHF"
"351","","2018","290000","aufwand","CHF"
"352","","2018","16187019.34","aufwand","CHF"
"3600","","2018","","aufwand","CHF"
"36010","","2018","","aufwand","CHF"
"36011","","2018","","aufwand","CHF"
"36012","","2018","","aufwand","CHF"
"36013","","2018","","aufwand","CHF"
"36014","","2018","","aufwand","CHF"
"36015","","2018","","aufwand","CHF"
"36016","","2018","","aufwand","CHF"
"36017","","2018","","aufwand","CHF"
"36018","","2018","","aufwand","CHF"
"36019","","2018","","aufwand","CHF"
"36021","","2018","","aufwand","CHF"
"36022","","2018","","aufwand","CHF"
"36023","","2018","","aufwand","CHF"
"36029","","2018","","aufwand","CHF"
"3603","","2018","","aufwand","CHF"
"3604","","2018","10364","aufwand","CHF"
"3610","","2018","","aufwand","CHF"
"3611","","2018","1927800.8","aufwand","CHF"
