"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2019","608182500.24","bilanz","ktn_gdn_ti","CHF","fs"
"101","","2019","1431151719.6","bilanz","ktn_gdn_ti","CHF","fs"
"102","","2019","48382681.02","bilanz","ktn_gdn_ti","CHF","fs"
"104","","2019","1128758310.31","bilanz","ktn_gdn_ti","CHF","fs"
"106","","2019","2088753.49","bilanz","ktn_gdn_ti","CHF","fs"
"107","","2019","188282956.56","bilanz","ktn_gdn_ti","CHF","fs"
"108","","2019","332746176.51","bilanz","ktn_gdn_ti","CHF","fs"
"109","","2019","433566933.63","bilanz","ktn_gdn_ti","CHF","fs"
"140","","2019","2439529798.11","bilanz","ktn_gdn_ti","CHF","fs"
"141","","2019","52433.8","bilanz","ktn_gdn_ti","CHF","fs"
"142","","2019","22264077.44","bilanz","ktn_gdn_ti","CHF","fs"
"143","","2019","443226879.19","bilanz","ktn_gdn_ti","CHF","fs"
"144","","2019","58763243.65","bilanz","ktn_gdn_ti","CHF","fs"
"145","","2019","982861009.18","bilanz","ktn_gdn_ti","CHF","fs"
"146","","2019","491642891.13","bilanz","ktn_gdn_ti","CHF","fs"
"147","","2019","","bilanz","ktn_gdn_ti","CHF","fs"
"148","","2019","","bilanz","ktn_gdn_ti","CHF","fs"
"200","","2019","730281781.42","bilanz","ktn_gdn_ti","CHF","fs"
"201","","2019","542749271.74","bilanz","ktn_gdn_ti","CHF","fs"
"204","","2019","888381370.61","bilanz","ktn_gdn_ti","CHF","fs"
"205","","2019","36018378","bilanz","ktn_gdn_ti","CHF","fs"
"206","","2019","5025041576.48","bilanz","ktn_gdn_ti","CHF","fs"
"207","","2019","","bilanz","ktn_gdn_ti","CHF","fs"
"208","","2019","244351292.79","bilanz","ktn_gdn_ti","CHF","fs"
"209","","2019","216428584.74","bilanz","ktn_gdn_ti","CHF","fs"
"290","","2019","1123272.78","bilanz","ktn_gdn_ti","CHF","fs"
"292","","2019","10527903.78","bilanz","ktn_gdn_ti","CHF","fs"
"293","","2019","54690444.56","bilanz","ktn_gdn_ti","CHF","fs"
"294","","2019","","bilanz","ktn_gdn_ti","CHF","fs"
"295","","2019","","bilanz","ktn_gdn_ti","CHF","fs"
"296","","2019","","bilanz","ktn_gdn_ti","CHF","fs"
"298","","2019","1.1e+07","bilanz","ktn_gdn_ti","CHF","fs"
"299","","2019","850906486.96","bilanz","ktn_gdn_ti","CHF","fs"
"empty","","2019","","er","ktn_gdn_ti","CHF","fs"
"empty","","2019","","er","ktn_gdn_ti","CHF","fs"
"empty","","2019","","er","ktn_gdn_ti","CHF","fs"
"empty","","2019","","er","ktn_gdn_ti","CHF","fs"
"300","","2019","33144358.05","aufwand","ktn_gdn_ti","CHF","fs"
"301","","2019","856258114.23","aufwand","ktn_gdn_ti","CHF","fs"
"302","","2019","596408314.09","aufwand","ktn_gdn_ti","CHF","fs"
"303","","2019","1160937.75","aufwand","ktn_gdn_ti","CHF","fs"
"304","","2019","1642918.83","aufwand","ktn_gdn_ti","CHF","fs"
"305","","2019","308939928.84","aufwand","ktn_gdn_ti","CHF","fs"
"306","","2019","8957261.08","aufwand","ktn_gdn_ti","CHF","fs"
"309","","2019","9264726.2","aufwand","ktn_gdn_ti","CHF","fs"
"310","","2019","63407077.13","aufwand","ktn_gdn_ti","CHF","fs"
"311","","2019","35102406.27","aufwand","ktn_gdn_ti","CHF","fs"
"312","","2019","51587772.72","aufwand","ktn_gdn_ti","CHF","fs"
"313","","2019","310106201.68","aufwand","ktn_gdn_ti","CHF","fs"
"314","","2019","119337262.17","aufwand","ktn_gdn_ti","CHF","fs"
"315","","2019","39751990.5","aufwand","ktn_gdn_ti","CHF","fs"
"316","","2019","33657618.89","aufwand","ktn_gdn_ti","CHF","fs"
"317","","2019","15512068.95","aufwand","ktn_gdn_ti","CHF","fs"
"318","","2019","60388712.73","aufwand","ktn_gdn_ti","CHF","fs"
"319","","2019","22822278.26","aufwand","ktn_gdn_ti","CHF","fs"
"320","","2019","","aufwand","ktn_gdn_ti","CHF","fs"
"331","","2019","","aufwand","ktn_gdn_ti","CHF","fs"
"337","","2019","270679878.14","aufwand","ktn_gdn_ti","CHF","fs"
"338","","2019","39687339.35","aufwand","ktn_gdn_ti","CHF","fs"
"340","","2019","51826291.96","aufwand","ktn_gdn_ti","CHF","fs"
"341","","2019","1492668.34","aufwand","ktn_gdn_ti","CHF","fs"
"342","","2019","309477.66","aufwand","ktn_gdn_ti","CHF","fs"
"343","","2019","1854324.46","aufwand","ktn_gdn_ti","CHF","fs"
"344","","2019","4545839.79","aufwand","ktn_gdn_ti","CHF","fs"
"349","","2019","1891299.38","aufwand","ktn_gdn_ti","CHF","fs"
"350","","2019","21756332.1","aufwand","ktn_gdn_ti","CHF","fs"
"351","","2019","290000","aufwand","ktn_gdn_ti","CHF","fs"
"352","","2019","16005352.42","aufwand","ktn_gdn_ti","CHF","fs"
"3600","","2019","","aufwand","ktn_gdn_ti","CHF","fs"
"36010","","2019","","aufwand","ktn_gdn_ti","CHF","fs"
"36011","","2019","","aufwand","ktn_gdn_ti","CHF","fs"
"36012","","2019","","aufwand","ktn_gdn_ti","CHF","fs"
"36013","","2019","","aufwand","ktn_gdn_ti","CHF","fs"
"36014","","2019","","aufwand","ktn_gdn_ti","CHF","fs"
"36015","","2019","","aufwand","ktn_gdn_ti","CHF","fs"
"36016","","2019","","aufwand","ktn_gdn_ti","CHF","fs"
"36017","","2019","","aufwand","ktn_gdn_ti","CHF","fs"
"36018","","2019","","aufwand","ktn_gdn_ti","CHF","fs"
"36019","","2019","","aufwand","ktn_gdn_ti","CHF","fs"
