"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","62980943.76","bilanz","ktn_gdn_ur","CHF","fs"
"101","","2017","92744053.77","bilanz","ktn_gdn_ur","CHF","fs"
"102","","2017","15032040","bilanz","ktn_gdn_ur","CHF","fs"
"104","","2017","22887326.52","bilanz","ktn_gdn_ur","CHF","fs"
"106","","2017","1446264.05","bilanz","ktn_gdn_ur","CHF","fs"
"107","","2017","11007453.06","bilanz","ktn_gdn_ur","CHF","fs"
"108","","2017","49117235","bilanz","ktn_gdn_ur","CHF","fs"
"109","","2017","","bilanz","ktn_gdn_ur","CHF","fs"
"140","","2017","204915993.85","bilanz","ktn_gdn_ur","CHF","fs"
"141","","2017","","bilanz","ktn_gdn_ur","CHF","fs"
"142","","2017","1088898.75","bilanz","ktn_gdn_ur","CHF","fs"
"143","","2017","","bilanz","ktn_gdn_ur","CHF","fs"
"144","","2017","41365722.8","bilanz","ktn_gdn_ur","CHF","fs"
"145","","2017","62279100.5","bilanz","ktn_gdn_ur","CHF","fs"
"146","","2017","33100273.33","bilanz","ktn_gdn_ur","CHF","fs"
"147","","2017","","bilanz","ktn_gdn_ur","CHF","fs"
"148","","2017","","bilanz","ktn_gdn_ur","CHF","fs"
"200","","2017","76238733.34","bilanz","ktn_gdn_ur","CHF","fs"
"201","","2017","1633177.18","bilanz","ktn_gdn_ur","CHF","fs"
"204","","2017","15921804.52","bilanz","ktn_gdn_ur","CHF","fs"
"205","","2017","6397850.15","bilanz","ktn_gdn_ur","CHF","fs"
"206","","2017","147250373.45","bilanz","ktn_gdn_ur","CHF","fs"
"207","","2017","","bilanz","ktn_gdn_ur","CHF","fs"
"208","","2017","19632476.3","bilanz","ktn_gdn_ur","CHF","fs"
"209","","2017","6296717.41","bilanz","ktn_gdn_ur","CHF","fs"
"290","","2017","32347219.42","bilanz","ktn_gdn_ur","CHF","fs"
"292","","2017","","bilanz","ktn_gdn_ur","CHF","fs"
"293","","2017","13876314.6","bilanz","ktn_gdn_ur","CHF","fs"
"294","","2017","1146080","bilanz","ktn_gdn_ur","CHF","fs"
"295","","2017","","bilanz","ktn_gdn_ur","CHF","fs"
"296","","2017","32000","bilanz","ktn_gdn_ur","CHF","fs"
"298","","2017","","bilanz","ktn_gdn_ur","CHF","fs"
"299","","2017","277192559.02","bilanz","ktn_gdn_ur","CHF","fs"
"empty","","2017","","er","ktn_gdn_ur","CHF","fs"
"empty","","2017","","er","ktn_gdn_ur","CHF","fs"
"empty","","2017","","er","ktn_gdn_ur","CHF","fs"
"empty","","2017","","er","ktn_gdn_ur","CHF","fs"
"300","","2017","4532297.82","aufwand","ktn_gdn_ur","CHF","fs"
"301","","2017","84927577.48","aufwand","ktn_gdn_ur","CHF","fs"
"302","","2017","47174028.4","aufwand","ktn_gdn_ur","CHF","fs"
"303","","2017","122787","aufwand","ktn_gdn_ur","CHF","fs"
