"arten","funk","jahr","value","dim","unit"
"100","","2018","53183718.89","bilanz","CHF"
"101","","2018","88107170.41","bilanz","CHF"
"102","","2018","8025645.55","bilanz","CHF"
"104","","2018","21119686.17","bilanz","CHF"
"106","","2018","1140980.14","bilanz","CHF"
"107","","2018","12514183.68","bilanz","CHF"
"108","","2018","51255918.4","bilanz","CHF"
"109","","2018","","bilanz","CHF"
"140","","2018","224226262.22","bilanz","CHF"
"141","","2018","","bilanz","CHF"
"142","","2018","2140354.64","bilanz","CHF"
"143","","2018","","bilanz","CHF"
"144","","2018","53383956.75","bilanz","CHF"
"145","","2018","64116724.5","bilanz","CHF"
"146","","2018","34891391.08","bilanz","CHF"
"147","","2018","","bilanz","CHF"
"148","","2018","","bilanz","CHF"
"200","","2018","75940697.27","bilanz","CHF"
"201","","2018","1523040.75","bilanz","CHF"
"204","","2018","17853359.94","bilanz","CHF"
"205","","2018","5278913.4","bilanz","CHF"
"206","","2018","156349267","bilanz","CHF"
"207","","2018","","bilanz","CHF"
"208","","2018","17723361.35","bilanz","CHF"
"209","","2018","6373864.94","bilanz","CHF"
"290","","2018","33791697.38","bilanz","CHF"
"292","","2018","","bilanz","CHF"
"293","","2018","13798842.75","bilanz","CHF"
"294","","2018","1146080","bilanz","CHF"
"295","","2018","","bilanz","CHF"
"296","","2018","32000","bilanz","CHF"
"298","","2018","","bilanz","CHF"
"299","","2018","284294867.65","bilanz","CHF"
"300","","2018","4533955.1","aufwand","CHF"
"301","","2018","85458738.86","aufwand","CHF"
"302","","2018","47070466.3","aufwand","CHF"
"303","","2018","5000","aufwand","CHF"
"304","","2018","1549333.25","aufwand","CHF"
"305","","2018","27057887.16","aufwand","CHF"
"306","","2018","2171894.08","aufwand","CHF"
"309","","2018","1962318.54","aufwand","CHF"
"310","","2018","8280884.45","aufwand","CHF"
"311","","2018","5296912.11","aufwand","CHF"
"312","","2018","7683666.1","aufwand","CHF"
"313","","2018","35045775.69","aufwand","CHF"
"314","","2018","9759859.6","aufwand","CHF"
"315","","2018","6546952.41","aufwand","CHF"
"316","","2018","1473825.99","aufwand","CHF"
"317","","2018","1701765.14","aufwand","CHF"
"318","","2018","374201.87","aufwand","CHF"
"319","","2018","1449412.01","aufwand","CHF"
"320","","2018","","aufwand","CHF"
"331","","2018","","aufwand","CHF"
"337","","2018","15684504.08","aufwand","CHF"
"338","","2018","","aufwand","CHF"
"340","","2018","850214.48","aufwand","CHF"
"341","","2018","875451.54","aufwand","CHF"
"342","","2018","35318.36","aufwand","CHF"
"343","","2018","379652.44","aufwand","CHF"
"344","","2018","391021.45","aufwand","CHF"
"349","","2018","149292.02","aufwand","CHF"
"350","","2018","336125.65","aufwand","CHF"
"351","","2018","3717387.4","aufwand","CHF"
"352","","2018","","aufwand","CHF"
"3600","","2018","","aufwand","CHF"
"36010","","2018","","aufwand","CHF"
"36011","","2018","","aufwand","CHF"
"36012","","2018","","aufwand","CHF"
"36013","","2018","","aufwand","CHF"
"36014","","2018","","aufwand","CHF"
"36015","","2018","","aufwand","CHF"
"36016","","2018","","aufwand","CHF"
"36017","","2018","","aufwand","CHF"
"36018","","2018","","aufwand","CHF"
"36019","","2018","","aufwand","CHF"
"36021","","2018","","aufwand","CHF"
"36022","","2018","","aufwand","CHF"
"36023","","2018","","aufwand","CHF"
"36029","","2018","","aufwand","CHF"
"3603","","2018","","aufwand","CHF"
"3604","","2018","","aufwand","CHF"
"3610","","2018","","aufwand","CHF"
"3611","","2018","4875308.12","aufwand","CHF"
"3612","","2018","","aufwand","CHF"
"3613","","2018","","aufwand","CHF"
"3614","","2018","387520","aufwand","CHF"
"3620","","2018","","aufwand","CHF"
"36211","","2018","","aufwand","CHF"
"36212","","2018","","aufwand","CHF"
"36213","","2018","","aufwand","CHF"
"36214","","2018","475311","aufwand","CHF"
"36215","","2018","","aufwand","CHF"
"36216","","2018","","aufwand","CHF"
"36217","","2018","","aufwand","CHF"
"36219","","2018","","aufwand","CHF"
"36221","","2018","","aufwand","CHF"
"36222","","2018","","aufwand","CHF"
"36223","","2018","","aufwand","CHF"
"36224","","2018","","aufwand","CHF"
"36225","","2018","","aufwand","CHF"
"36226","","2018","","aufwand","CHF"
"36227","","2018","","aufwand","CHF"
"36228","","2018","","aufwand","CHF"
"3624","","2018","","aufwand","CHF"
"3629","","2018","","aufwand","CHF"
"3630","","2018","","aufwand","CHF"
"3631","","2018","12342281.6","aufwand","CHF"
"3632","","2018","","aufwand","CHF"
