"arten","funk","jahr","value","dim","unit"
"100","","2016","3672339494.87","bilanz","CHF"
"101","","2016","3547594189.95","bilanz","CHF"
"102","","2016","","bilanz","CHF"
"104","","2016","844293975.66","bilanz","CHF"
"106","","2016","15422436.93","bilanz","CHF"
"107","","2016","680301182.8","bilanz","CHF"
"108","","2016","1553632491.4","bilanz","CHF"
"109","","2016","13737235.78","bilanz","CHF"
"140","","2016","5322250527.41","bilanz","CHF"
"141","","2016","12365717.83","bilanz","CHF"
"142","","2016","2850660.87","bilanz","CHF"
"143","","2016","223810664.22","bilanz","CHF"
"144","","2016","361944504.98","bilanz","CHF"
"145","","2016","9011975","bilanz","CHF"
"146","","2016","169394948.22","bilanz","CHF"
"147","","2016","","bilanz","CHF"
"148","","2016","","bilanz","CHF"
"200","","2016","2104428670.86","bilanz","CHF"
"201","","2016","1222187175.71","bilanz","CHF"
"204","","2016","2394508613.35","bilanz","CHF"
"205","","2016","","bilanz","CHF"
"206","","2016","6388727150.06","bilanz","CHF"
"207","","2016","","bilanz","CHF"
"208","","2016","202174699.31","bilanz","CHF"
"209","","2016","1105795746.41","bilanz","CHF"
"290","","2016","255131137.7","bilanz","CHF"
"292","","2016","","bilanz","CHF"
"293","","2016","1982537914.7","bilanz","CHF"
"294","","2016","","bilanz","CHF"
"295","","2016","","bilanz","CHF"
"296","","2016","","bilanz","CHF"
"298","","2016","","bilanz","CHF"
"299","","2016","773458897.81","bilanz","CHF"
"300","","2016","57202325.76","aufwand","CHF"
"301","","2016","1932222089.97","aufwand","CHF"
"302","","2016","1373458857.11","aufwand","CHF"
"303","","2016","41679380.67","aufwand","CHF"
"304","","2016","43108285.98","aufwand","CHF"
"305","","2016","721073879.41","aufwand","CHF"
"306","","2016","9518546.14","aufwand","CHF"
"309","","2016","33892809.75","aufwand","CHF"
"310","","2016","151200606.41","aufwand","CHF"
"311","","2016","102007676.56","aufwand","CHF"
"312","","2016","120034390.49","aufwand","CHF"
"313","","2016","723662976.98","aufwand","CHF"
"314","","2016","285753566.84","aufwand","CHF"
"315","","2016","112412956.08","aufwand","CHF"
"316","","2016","188396592.57","aufwand","CHF"
"317","","2016","47350792.13","aufwand","CHF"
"318","","2016","171572005.57","aufwand","CHF"
"319","","2016","74858546.94","aufwand","CHF"
"320","","2016","","aufwand","CHF"
"331","","2016","","aufwand","CHF"
"337","","2016","478882166.12","aufwand","CHF"
"338","","2016","338469260.87","aufwand","CHF"
"340","","2016","131272762.47","aufwand","CHF"
"341","","2016","956797.2","aufwand","CHF"
"342","","2016","137616.82","aufwand","CHF"
"343","","2016","17138960.25","aufwand","CHF"
"344","","2016","17386309.26","aufwand","CHF"
"349","","2016","9531428.21","aufwand","CHF"
"350","","2016","177590.42","aufwand","CHF"
"351","","2016","19052480.12","aufwand","CHF"
"352","","2016","183880127.35","aufwand","CHF"
"3600","","2016","","aufwand","CHF"
"36010","","2016","","aufwand","CHF"
"36011","","2016","","aufwand","CHF"
"36012","","2016","","aufwand","CHF"
"36013","","2016","","aufwand","CHF"
"36014","","2016","","aufwand","CHF"
"36015","","2016","","aufwand","CHF"
"36016","","2016","","aufwand","CHF"
"36017","","2016","","aufwand","CHF"
"36018","","2016","","aufwand","CHF"
"36019","","2016","","aufwand","CHF"
"36021","","2016","","aufwand","CHF"
"36022","","2016","","aufwand","CHF"
"36023","","2016","","aufwand","CHF"
"36029","","2016","","aufwand","CHF"
"3603","","2016","","aufwand","CHF"
"3604","","2016","","aufwand","CHF"
"3610","","2016","","aufwand","CHF"
"3611","","2016","21875336.24","aufwand","CHF"
"3612","","2016","","aufwand","CHF"
"3613","","2016","","aufwand","CHF"
"3614","","2016","95383.14","aufwand","CHF"
"3620","","2016","","aufwand","CHF"
"36211","","2016","48881760.67","aufwand","CHF"
"36212","","2016","","aufwand","CHF"
"36213","","2016","","aufwand","CHF"
"36214","","2016","9899046","aufwand","CHF"
"36215","","2016","","aufwand","CHF"
"36216","","2016","","aufwand","CHF"
"36217","","2016","","aufwand","CHF"
"36219","","2016","","aufwand","CHF"
"36221","","2016","","aufwand","CHF"
"36222","","2016","","aufwand","CHF"
"36223","","2016","","aufwand","CHF"
"36224","","2016","","aufwand","CHF"
"36225","","2016","","aufwand","CHF"
"36226","","2016","","aufwand","CHF"
"36227","","2016","","aufwand","CHF"
"36228","","2016","","aufwand","CHF"
"3624","","2016","","aufwand","CHF"
"3629","","2016","","aufwand","CHF"
"3630","","2016","","aufwand","CHF"
"3631","","2016","157542631.91","aufwand","CHF"
"3632","","2016","","aufwand","CHF"
"3633","","2016","21776355.6","aufwand","CHF"
"3634","","2016","1588957963.2","aufwand","CHF"
"3635","","2016","613571088.92","aufwand","CHF"
"3636","","2016","1246974442.8","aufwand","CHF"
"3637","","2016","1891411659.7","aufwand","CHF"
"3638","","2016","1886126.89","aufwand","CHF"
"3639","","2016","66557695.57","aufwand","CHF"
"364","","2016","14062125","aufwand","CHF"
"365","","2016","700","aufwand","CHF"
"366","","2016","40024424.3","aufwand","CHF"
"369","","2016","","aufwand","CHF"
"380","","2016","","aufwand","CHF"
"381","","2016","50089.62","aufwand","CHF"
"383","","2016","","aufwand","CHF"
"384","","2016","48186.4","aufwand","CHF"
"3860","","2016","","aufwand","CHF"
"3861","","2016","","aufwand","CHF"
"3862","","2016","","aufwand","CHF"
"3863","","2016","","aufwand","CHF"
"3864","","2016","","aufwand","CHF"
"3865","","2016","","aufwand","CHF"
"3866","","2016","","aufwand","CHF"
"3867","","2016","","aufwand","CHF"
"3868","","2016","","aufwand","CHF"
