"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","4513556863.48","bilanz","ktn_gdn_vd","CHF","fs"
"101","","2021","3849139489.17","bilanz","ktn_gdn_vd","CHF","fs"
"102","","2021","7.25e+08","bilanz","ktn_gdn_vd","CHF","fs"
"104","","2021","1213041469.28","bilanz","ktn_gdn_vd","CHF","fs"
"106","","2021","14911075.25","bilanz","ktn_gdn_vd","CHF","fs"
"107","","2021","1018216650.02","bilanz","ktn_gdn_vd","CHF","fs"
"108","","2021","1586407024.87","bilanz","ktn_gdn_vd","CHF","fs"
"109","","2021","8635802.86","bilanz","ktn_gdn_vd","CHF","fs"
"140","","2021","6137035113.79","bilanz","ktn_gdn_vd","CHF","fs"
"141","","2021","13243967.8","bilanz","ktn_gdn_vd","CHF","fs"
"142","","2021","79485928.34","bilanz","ktn_gdn_vd","CHF","fs"
"143","","2021","294877490.42","bilanz","ktn_gdn_vd","CHF","fs"
"144","","2021","303188916.75","bilanz","ktn_gdn_vd","CHF","fs"
"145","","2021","9011975","bilanz","ktn_gdn_vd","CHF","fs"
"146","","2021","280847382.02","bilanz","ktn_gdn_vd","CHF","fs"
"147","","2021","","bilanz","ktn_gdn_vd","CHF","fs"
"148","","2021","","bilanz","ktn_gdn_vd","CHF","fs"
"200","","2021","2149220334.46","bilanz","ktn_gdn_vd","CHF","fs"
"201","","2021","1485115357.59","bilanz","ktn_gdn_vd","CHF","fs"
"204","","2021","3334926823.99","bilanz","ktn_gdn_vd","CHF","fs"
"205","","2021","82617303","bilanz","ktn_gdn_vd","CHF","fs"
"206","","2021","6281909410.59","bilanz","ktn_gdn_vd","CHF","fs"
"207","","2021","","bilanz","ktn_gdn_vd","CHF","fs"
"208","","2021","182279894.32","bilanz","ktn_gdn_vd","CHF","fs"
"209","","2021","1281421037.37","bilanz","ktn_gdn_vd","CHF","fs"
"290","","2021","727201045","bilanz","ktn_gdn_vd","CHF","fs"
"292","","2021","","bilanz","ktn_gdn_vd","CHF","fs"
