"arten","funk","jahr","value","dim","unit"
"100","","2022","616503480.66","bilanz","CHF"
"101","","2022","1798633433.74","bilanz","CHF"
"102","","2022","248547109.75","bilanz","CHF"
"104","","2022","948810269.17","bilanz","CHF"
"106","","2022","9447878.94","bilanz","CHF"
"107","","2022","1183807254.38","bilanz","CHF"
"108","","2022","760038278.99","bilanz","CHF"
"109","","2022","1256046.25","bilanz","CHF"
"140","","2022","2866325473.42","bilanz","CHF"
"141","","2022","883086.45","bilanz","CHF"
"142","","2022","19670689.52","bilanz","CHF"
"143","","2022","756696.46","bilanz","CHF"
"144","","2022","324868999.85","bilanz","CHF"
"145","","2022","1239312280.8","bilanz","CHF"
"146","","2022","332155957.72","bilanz","CHF"
"147","","2022","","bilanz","CHF"
"148","","2022","","bilanz","CHF"
"200","","2022","1137315490.74","bilanz","CHF"
"201","","2022","589956637.15","bilanz","CHF"
"204","","2022","562957563.56","bilanz","CHF"
"205","","2022","172555684.63","bilanz","CHF"
"206","","2022","3832546376.42","bilanz","CHF"
"207","","2022","","bilanz","CHF"
"208","","2022","343143190.09","bilanz","CHF"
"209","","2022","180511803.18","bilanz","CHF"
"290","","2022","236049491.68","bilanz","CHF"
"292","","2022","54981156.63","bilanz","CHF"
"293","","2022","322325236.83","bilanz","CHF"
"294","","2022","604877541.93","bilanz","CHF"
"295","","2022","","bilanz","CHF"
"296","","2022","124531432.77","bilanz","CHF"
"298","","2022","","bilanz","CHF"
"299","","2022","2189265330.49","bilanz","CHF"
"300","","2022","43712900.29","aufwand","CHF"
"301","","2022","786096692.33","aufwand","CHF"
"302","","2022","496335560.7","aufwand","CHF"
"303","","2022","1099189.59","aufwand","CHF"
"304","","2022","1105387.5","aufwand","CHF"
"305","","2022","284402809.35","aufwand","CHF"
"306","","2022","10611612.28","aufwand","CHF"
"309","","2022","11586035.13","aufwand","CHF"
"310","","2022","89041183.67","aufwand","CHF"
"311","","2022","52640684.06","aufwand","CHF"
"312","","2022","64382819.93","aufwand","CHF"
"313","","2022","285121750.77","aufwand","CHF"
"314","","2022","212245494.65","aufwand","CHF"
"315","","2022","51891468.36","aufwand","CHF"
"316","","2022","105272732.75","aufwand","CHF"
"317","","2022","16353059.3","aufwand","CHF"
"318","","2022","50139003.88","aufwand","CHF"
"319","","2022","23801574.15","aufwand","CHF"
"320","","2022","","aufwand","CHF"
"331","","2022","84329.42","aufwand","CHF"
"337","","2022","311663302.05","aufwand","CHF"
"338","","2022","4071445.86","aufwand","CHF"
"340","","2022","84526937.29","aufwand","CHF"
"341","","2022","3381996.04","aufwand","CHF"
"342","","2022","23935.51","aufwand","CHF"
"343","","2022","6762178.54","aufwand","CHF"
"344","","2022","5600732.39","aufwand","CHF"
"349","","2022","5323122.39","aufwand","CHF"
"350","","2022","5409756.87","aufwand","CHF"
"351","","2022","181430160.1","aufwand","CHF"
"352","","2022","246346.98","aufwand","CHF"
"3600","","2022","","aufwand","CHF"
"36010","","2022","","aufwand","CHF"
"36011","","2022","","aufwand","CHF"
"36012","","2022","","aufwand","CHF"
"36013","","2022","","aufwand","CHF"
"36014","","2022","","aufwand","CHF"
"36015","","2022","","aufwand","CHF"
"36016","","2022","","aufwand","CHF"
"36017","","2022","","aufwand","CHF"
"36018","","2022","","aufwand","CHF"
"36019","","2022","","aufwand","CHF"
"36021","","2022","","aufwand","CHF"
"36022","","2022","","aufwand","CHF"
"36023","","2022","","aufwand","CHF"
"36029","","2022","","aufwand","CHF"
"3603","","2022","","aufwand","CHF"
"3604","","2022","","aufwand","CHF"
"3610","","2022","","aufwand","CHF"
"3611","","2022","22834951.52","aufwand","CHF"
"3612","","2022","","aufwand","CHF"
"3613","","2022","","aufwand","CHF"
"3614","","2022","5433642.92","aufwand","CHF"
"3620","","2022","","aufwand","CHF"
"36211","","2022","","aufwand","CHF"
"36212","","2022","","aufwand","CHF"
"36213","","2022","","aufwand","CHF"
"36214","","2022","2866357","aufwand","CHF"
"36215","","2022","","aufwand","CHF"
"36216","","2022","","aufwand","CHF"
"36217","","2022","","aufwand","CHF"
"36219","","2022","","aufwand","CHF"
"36221","","2022","","aufwand","CHF"
"36222","","2022","","aufwand","CHF"
"36223","","2022","","aufwand","CHF"
"36224","","2022","","aufwand","CHF"
"36225","","2022","","aufwand","CHF"
"36226","","2022","","aufwand","CHF"
"36227","","2022","","aufwand","CHF"
"36228","","2022","","aufwand","CHF"
"3624","","2022","","aufwand","CHF"
"3629","","2022","","aufwand","CHF"
"3630","","2022","","aufwand","CHF"
"3631","","2022","94955682.07","aufwand","CHF"
"3632","","2022","","aufwand","CHF"
"3633","","2022","8787869.7","aufwand","CHF"
"3634","","2022","566394841.9","aufwand","CHF"
"3635","","2022","226637137.2","aufwand","CHF"
"3636","","2022","536792887.85","aufwand","CHF"
"3637","","2022","498937598.58","aufwand","CHF"
"3638","","2022","172493.49","aufwand","CHF"
"3639","","2022","19560866.99","aufwand","CHF"
"364","","2022","3802152.45","aufwand","CHF"
"365","","2022","260216","aufwand","CHF"
"366","","2022","115545403.69","aufwand","CHF"
"369","","2022","","aufwand","CHF"
"380","","2022","9956232.79","aufwand","CHF"
"381","","2022","16562405.78","aufwand","CHF"
"383","","2022","78330461.69","aufwand","CHF"
"384","","2022","60000","aufwand","CHF"
"3860","","2022","","aufwand","CHF"
"3861","","2022","92971","aufwand","CHF"
"3862","","2022","","aufwand","CHF"
"3863","","2022","","aufwand","CHF"
"3864","","2022","30691698.45","aufwand","CHF"
"3865","","2022","14632704","aufwand","CHF"
"3866","","2022","6629893","aufwand","CHF"
"3867","","2022","4788657","aufwand","CHF"
"3868","","2022","","aufwand","CHF"
"387","","2022","14890771.07","aufwand","CHF"
"389","","2022","162875598.37","aufwand","CHF"
"4000","","2022","1466650817.62","ertrag","CHF"
"4001","","2022","328011776.12","ertrag","CHF"
"4002","","2022","84132212.88","ertrag","CHF"
"4008","","2022","3414.6","ertrag","CHF"
"4009","","2022","740084.6","ertrag","CHF"
"4010","","2022","166944383.85","ertrag","CHF"
"4011","","2022","95820667.87","ertrag","CHF"
"4012","","2022","","ertrag","CHF"
"4019","","2022","","ertrag","CHF"
"4020","","2022","","ertrag","CHF"
"4021","","2022","96774495.68","ertrag","CHF"
"4022","","2022","108137871.15","ertrag","CHF"
"4023","","2022","166357173.23","ertrag","CHF"
"4024","","2022","31868332.2","ertrag","CHF"
"4025","","2022","1344257.18","ertrag","CHF"
"4030","","2022","74331597.9","ertrag","CHF"
"4031","","2022","555381.4","ertrag","CHF"
"4032","","2022","","ertrag","CHF"
"4033","","2022","43503017.75","ertrag","CHF"
"4039","","2022","74424","ertrag","CHF"
"4040","","2022","","ertrag","CHF"
"4041","","2022","","ertrag","CHF"
"4042","","2022","","ertrag","CHF"
"4043","","2022","","ertrag","CHF"
"4044","","2022","","ertrag","CHF"
"4045","","2022","","ertrag","CHF"
"4046","","2022","","ertrag","CHF"
"4047","","2022","","ertrag","CHF"
"4049","","2022","","ertrag","CHF"
"4050","","2022","","ertrag","CHF"
"4051","","2022","","ertrag","CHF"
