"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","363010257.43","bilanz","ktn_gdn_zg","CHF","fs"
"101","","2017","547921781.33","bilanz","ktn_gdn_zg","CHF","fs"
"102","","2017","100013032.35","bilanz","ktn_gdn_zg","CHF","fs"
"104","","2017","117848929.04","bilanz","ktn_gdn_zg","CHF","fs"
"106","","2017","1309330.62","bilanz","ktn_gdn_zg","CHF","fs"
"107","","2017","253340453","bilanz","ktn_gdn_zg","CHF","fs"
"108","","2017","522233296.52","bilanz","ktn_gdn_zg","CHF","fs"
"109","","2017","54777.55","bilanz","ktn_gdn_zg","CHF","fs"
"140","","2017","873528720.55","bilanz","ktn_gdn_zg","CHF","fs"
"141","","2017","","bilanz","ktn_gdn_zg","CHF","fs"
"142","","2017","1793480.28","bilanz","ktn_gdn_zg","CHF","fs"
"143","","2017","","bilanz","ktn_gdn_zg","CHF","fs"
"144","","2017","34064087.34","bilanz","ktn_gdn_zg","CHF","fs"
"145","","2017","107889075.15","bilanz","ktn_gdn_zg","CHF","fs"
"146","","2017","90172772.8","bilanz","ktn_gdn_zg","CHF","fs"
"147","","2017","","bilanz","ktn_gdn_zg","CHF","fs"
"148","","2017","-9791439.57","bilanz","ktn_gdn_zg","CHF","fs"
"200","","2017","705832527.58","bilanz","ktn_gdn_zg","CHF","fs"
"201","","2017","39975420.68","bilanz","ktn_gdn_zg","CHF","fs"
"204","","2017","106692311.26","bilanz","ktn_gdn_zg","CHF","fs"
"205","","2017","16202879.75","bilanz","ktn_gdn_zg","CHF","fs"
"206","","2017","196380758.7","bilanz","ktn_gdn_zg","CHF","fs"
"207","","2017","","bilanz","ktn_gdn_zg","CHF","fs"
"208","","2017","55163344.56","bilanz","ktn_gdn_zg","CHF","fs"
"209","","2017","11476549.45","bilanz","ktn_gdn_zg","CHF","fs"
"290","","2017","282042799.55","bilanz","ktn_gdn_zg","CHF","fs"
"292","","2017","","bilanz","ktn_gdn_zg","CHF","fs"
"293","","2017","56253591.8","bilanz","ktn_gdn_zg","CHF","fs"
"294","","2017","212000277.83","bilanz","ktn_gdn_zg","CHF","fs"
"295","","2017","","bilanz","ktn_gdn_zg","CHF","fs"
"296","","2017","295548996.69","bilanz","ktn_gdn_zg","CHF","fs"
"298","","2017","21756507.69","bilanz","ktn_gdn_zg","CHF","fs"
"299","","2017","1004062588.85","bilanz","ktn_gdn_zg","CHF","fs"
"empty","","2017","","er","ktn_gdn_zg","CHF","fs"
"empty","","2017","","er","ktn_gdn_zg","CHF","fs"
"empty","","2017","","er","ktn_gdn_zg","CHF","fs"
"empty","","2017","","er","ktn_gdn_zg","CHF","fs"
"300","","2017","15006594.5","aufwand","ktn_gdn_zg","CHF","fs"
"301","","2017","288547903.66","aufwand","ktn_gdn_zg","CHF","fs"
"302","","2017","231989317.68","aufwand","ktn_gdn_zg","CHF","fs"
"303","","2017","520150.45","aufwand","ktn_gdn_zg","CHF","fs"
"304","","2017","2974188.3","aufwand","ktn_gdn_zg","CHF","fs"
"305","","2017","112169541.57","aufwand","ktn_gdn_zg","CHF","fs"
"306","","2017","5715361.45","aufwand","ktn_gdn_zg","CHF","fs"
"309","","2017","10782321.25","aufwand","ktn_gdn_zg","CHF","fs"
"310","","2017","22398290.72","aufwand","ktn_gdn_zg","CHF","fs"
"311","","2017","11810836.08","aufwand","ktn_gdn_zg","CHF","fs"
"312","","2017","12800749.33","aufwand","ktn_gdn_zg","CHF","fs"
"313","","2017","81983858.69","aufwand","ktn_gdn_zg","CHF","fs"
"314","","2017","42082059.56","aufwand","ktn_gdn_zg","CHF","fs"
"315","","2017","18418235.86","aufwand","ktn_gdn_zg","CHF","fs"
"316","","2017","19051061.59","aufwand","ktn_gdn_zg","CHF","fs"
"317","","2017","6278506.61","aufwand","ktn_gdn_zg","CHF","fs"
"318","","2017","8150387.61","aufwand","ktn_gdn_zg","CHF","fs"
"319","","2017","5339937.33","aufwand","ktn_gdn_zg","CHF","fs"
"320","","2017","","aufwand","ktn_gdn_zg","CHF","fs"
"331","","2017","","aufwand","ktn_gdn_zg","CHF","fs"
"337","","2017","137875699.86","aufwand","ktn_gdn_zg","CHF","fs"
"338","","2017","","aufwand","ktn_gdn_zg","CHF","fs"
"340","","2017","1852062.98","aufwand","ktn_gdn_zg","CHF","fs"
"341","","2017","-12379.83","aufwand","ktn_gdn_zg","CHF","fs"
"342","","2017","27836.85","aufwand","ktn_gdn_zg","CHF","fs"
"343","","2017","2387948.05","aufwand","ktn_gdn_zg","CHF","fs"
"344","","2017","","aufwand","ktn_gdn_zg","CHF","fs"
"349","","2017","1522938.89","aufwand","ktn_gdn_zg","CHF","fs"
"350","","2017","223107.9","aufwand","ktn_gdn_zg","CHF","fs"
"351","","2017","2638578.09","aufwand","ktn_gdn_zg","CHF","fs"
"352","","2017","","aufwand","ktn_gdn_zg","CHF","fs"
"3600","","2017","","aufwand","ktn_gdn_zg","CHF","fs"
"36010","","2017","","aufwand","ktn_gdn_zg","CHF","fs"
"36011","","2017","","aufwand","ktn_gdn_zg","CHF","fs"
"36012","","2017","","aufwand","ktn_gdn_zg","CHF","fs"
"36013","","2017","","aufwand","ktn_gdn_zg","CHF","fs"
"36014","","2017","","aufwand","ktn_gdn_zg","CHF","fs"
