"arten","funk","jahr","value","dim","unit"
"100","","2017","3243917909.67","bilanz","CHF"
"101","","2017","7457931269.46","bilanz","CHF"
"102","","2017","173633142.85","bilanz","CHF"
"104","","2017","1247913233.1","bilanz","CHF"
"106","","2017","186556102.71","bilanz","CHF"
"107","","2017","793275461.41","bilanz","CHF"
"108","","2017","6955498119.77","bilanz","CHF"
"109","","2017","141293467.28","bilanz","CHF"
"140","","2017","21611656133.21","bilanz","CHF"
"141","","2017","","bilanz","CHF"
"142","","2017","130481664.06","bilanz","CHF"
"143","","2017","1041501781.94","bilanz","CHF"
"144","","2017","505800611.04","bilanz","CHF"
"145","","2017","3235645270.98","bilanz","CHF"
"146","","2017","3187855370.34","bilanz","CHF"
"147","","2017","","bilanz","CHF"
"148","","2017","","bilanz","CHF"
"200","","2017","5932382178.23","bilanz","CHF"
"201","","2017","2627827478.9","bilanz","CHF"
"204","","2017","2412271181.25","bilanz","CHF"
"205","","2017","316381623.8","bilanz","CHF"
"206","","2017","13623484473.77","bilanz","CHF"
"207","","2017","","bilanz","CHF"
"208","","2017","1747299877.37","bilanz","CHF"
"209","","2017","5342202494","bilanz","CHF"
"290","","2017","3454508262.66","bilanz","CHF"
"292","","2017","41311115.45","bilanz","CHF"
"293","","2017","20632116.06","bilanz","CHF"
"294","","2017","","bilanz","CHF"
"295","","2017","","bilanz","CHF"
"296","","2017","-5081473","bilanz","CHF"
"298","","2017","177053218.52","bilanz","CHF"
"299","","2017","14222686990.81","bilanz","CHF"
"300","","2017","153999916.44","aufwand","CHF"
"301","","2017","3902037007.6","aufwand","CHF"
"302","","2017","2928481680.69","aufwand","CHF"
"303","","2017","36293503.14","aufwand","CHF"
"304","","2017","42350217.17","aufwand","CHF"
"305","","2017","1354415215.35","aufwand","CHF"
"306","","2017","-4651256.01","aufwand","CHF"
"309","","2017","91621911.9","aufwand","CHF"
"310","","2017","426090902.03","aufwand","CHF"
"311","","2017","138229608.1","aufwand","CHF"
"312","","2017","233788190.17","aufwand","CHF"
"313","","2017","1304254290.17","aufwand","CHF"
"314","","2017","537010763.15","aufwand","CHF"
"315","","2017","191541086.98","aufwand","CHF"
"316","","2017","329194494.2","aufwand","CHF"
"317","","2017","99576615.93","aufwand","CHF"
"318","","2017","127217742.36","aufwand","CHF"
"319","","2017","82614391.8","aufwand","CHF"
"320","","2017","","aufwand","CHF"
"331","","2017","","aufwand","CHF"
"337","","2017","1945168947.84","aufwand","CHF"
"338","","2017","168026888.23","aufwand","CHF"
"340","","2017","273606300.56","aufwand","CHF"
"341","","2017","6828801.75","aufwand","CHF"
"342","","2017","4266491.05","aufwand","CHF"
"343","","2017","48506752.81","aufwand","CHF"
"344","","2017","14154605.59","aufwand","CHF"
"349","","2017","44372660.98","aufwand","CHF"
"350","","2017","28804647.96","aufwand","CHF"
"351","","2017","11841153.4","aufwand","CHF"
"352","","2017","169530215.92","aufwand","CHF"
"3600","","2017","","aufwand","CHF"
"36010","","2017","","aufwand","CHF"
"36011","","2017","","aufwand","CHF"
"36012","","2017","","aufwand","CHF"
"36013","","2017","","aufwand","CHF"
"36014","","2017","","aufwand","CHF"
"36015","","2017","","aufwand","CHF"
"36016","","2017","","aufwand","CHF"
"36017","","2017","","aufwand","CHF"
"36018","","2017","","aufwand","CHF"
"36019","","2017","","aufwand","CHF"
"36021","","2017","","aufwand","CHF"
"36022","","2017","","aufwand","CHF"
"36023","","2017","","aufwand","CHF"
"36029","","2017","","aufwand","CHF"
"3603","","2017","","aufwand","CHF"
"3604","","2017","","aufwand","CHF"
"3610","","2017","","aufwand","CHF"
"3611","","2017","408926.32","aufwand","CHF"
"3612","","2017","","aufwand","CHF"
"3613","","2017","","aufwand","CHF"
"3614","","2017","6001001.9","aufwand","CHF"
"3620","","2017","","aufwand","CHF"
"36211","","2017","510014704.22","aufwand","CHF"
"36212","","2017","","aufwand","CHF"
"36213","","2017","","aufwand","CHF"
"36214","","2017","18226012","aufwand","CHF"
"36215","","2017","","aufwand","CHF"
"36216","","2017","","aufwand","CHF"
"36217","","2017","","aufwand","CHF"
"36219","","2017","","aufwand","CHF"
"36221","","2017","","aufwand","CHF"
"36222","","2017","","aufwand","CHF"
"36223","","2017","","aufwand","CHF"
"36224","","2017","","aufwand","CHF"
"36225","","2017","","aufwand","CHF"
"36226","","2017","","aufwand","CHF"
"36227","","2017","","aufwand","CHF"
"36228","","2017","","aufwand","CHF"
"3624","","2017","","aufwand","CHF"
"3629","","2017","","aufwand","CHF"
"3630","","2017","105105","aufwand","CHF"
"3631","","2017","113440927.36","aufwand","CHF"
"3632","","2017","","aufwand","CHF"
"3633","","2017","36720157.7","aufwand","CHF"
"3634","","2017","2034369367.38","aufwand","CHF"
"3635","","2017","509743354.09","aufwand","CHF"
"3636","","2017","1668121158.48","aufwand","CHF"
"3637","","2017","2786076286.58","aufwand","CHF"
"3638","","2017","9927382.33","aufwand","CHF"
"3639","","2017","46089106.02","aufwand","CHF"
"364","","2017","25295.95","aufwand","CHF"
"365","","2017","20000","aufwand","CHF"
"366","","2017","170866850.37","aufwand","CHF"
"369","","2017","249357.22","aufwand","CHF"
"380","","2017","-46588231.13","aufwand","CHF"
"381","","2017","","aufwand","CHF"
