"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2018","3461640074.19","bilanz","ktn_gdn_zh","CHF","fs"
"101","","2018","7670380601.77","bilanz","ktn_gdn_zh","CHF","fs"
"102","","2018","226683296.14","bilanz","ktn_gdn_zh","CHF","fs"
"104","","2018","1356219357.58","bilanz","ktn_gdn_zh","CHF","fs"
"106","","2018","190438471.14","bilanz","ktn_gdn_zh","CHF","fs"
"107","","2018","673086973.23","bilanz","ktn_gdn_zh","CHF","fs"
"108","","2018","6863431973.91","bilanz","ktn_gdn_zh","CHF","fs"
"109","","2018","79054184.78","bilanz","ktn_gdn_zh","CHF","fs"
"140","","2018","21734751928.8","bilanz","ktn_gdn_zh","CHF","fs"
"141","","2018","","bilanz","ktn_gdn_zh","CHF","fs"
"142","","2018","134386009.11","bilanz","ktn_gdn_zh","CHF","fs"
"143","","2018","1093100660.03","bilanz","ktn_gdn_zh","CHF","fs"
"144","","2018","513041153","bilanz","ktn_gdn_zh","CHF","fs"
"145","","2018","3852760875.29","bilanz","ktn_gdn_zh","CHF","fs"
"146","","2018","3247560062.76","bilanz","ktn_gdn_zh","CHF","fs"
"147","","2018","","bilanz","ktn_gdn_zh","CHF","fs"
"148","","2018","","bilanz","ktn_gdn_zh","CHF","fs"
"200","","2018","6524153887.82","bilanz","ktn_gdn_zh","CHF","fs"
"201","","2018","2415846049.75","bilanz","ktn_gdn_zh","CHF","fs"
"204","","2018","2361375597.11","bilanz","ktn_gdn_zh","CHF","fs"
"205","","2018","326320722.32","bilanz","ktn_gdn_zh","CHF","fs"
"206","","2018","13535923286.08","bilanz","ktn_gdn_zh","CHF","fs"
"207","","2018","","bilanz","ktn_gdn_zh","CHF","fs"
"208","","2018","1595762912.19","bilanz","ktn_gdn_zh","CHF","fs"
"209","","2018","5589581419.4","bilanz","ktn_gdn_zh","CHF","fs"
"290","","2018","3604608719.3","bilanz","ktn_gdn_zh","CHF","fs"
"292","","2018","40416482.73","bilanz","ktn_gdn_zh","CHF","fs"
"293","","2018","19132116.06","bilanz","ktn_gdn_zh","CHF","fs"
"294","","2018","","bilanz","ktn_gdn_zh","CHF","fs"
"295","","2018","2632029","bilanz","ktn_gdn_zh","CHF","fs"
"296","","2018","18955209.22","bilanz","ktn_gdn_zh","CHF","fs"
"298","","2018","192350623.67","bilanz","ktn_gdn_zh","CHF","fs"
"299","","2018","14869476567.08","bilanz","ktn_gdn_zh","CHF","fs"
"empty","","2018","","er","ktn_gdn_zh","CHF","fs"
"empty","","2018","","er","ktn_gdn_zh","CHF","fs"
