"arten","funk","jahr","value","dim","unit"
"100","","2018","151073303.15","bilanz","CHF"
"101","","2018","1222886572.22","bilanz","CHF"
"102","","2018","102012376.71","bilanz","CHF"
"104","","2018","1368157109.66","bilanz","CHF"
"106","","2018","13934078.45","bilanz","CHF"
"107","","2018","1406866464.93","bilanz","CHF"
"108","","2018","580222736.13","bilanz","CHF"
"109","","2018","","bilanz","CHF"
"140","","2018","12755147460.16","bilanz","CHF"
"141","","2018","918721","bilanz","CHF"
"142","","2018","158770928.9","bilanz","CHF"
"143","","2018","","bilanz","CHF"
"144","","2018","675015399.62","bilanz","CHF"
"145","","2018","1136017219.28","bilanz","CHF"
"146","","2018","1025995888.01","bilanz","CHF"
"147","","2018","","bilanz","CHF"
"148","","2018","","bilanz","CHF"
"200","","2018","2915111768.77","bilanz","CHF"
"201","","2018","2403404587.87","bilanz","CHF"
"204","","2018","263575709.76","bilanz","CHF"
"205","","2018","343594604.82","bilanz","CHF"
"206","","2018","10291428931.5","bilanz","CHF"
"207","","2018","","bilanz","CHF"
"208","","2018","578404045.4","bilanz","CHF"
"209","","2018","280280869.28","bilanz","CHF"
"290","","2018","158777295.82","bilanz","CHF"
"292","","2018","","bilanz","CHF"
"293","","2018","","bilanz","CHF"
"294","","2018","7.1e+08","bilanz","CHF"
"295","","2018","","bilanz","CHF"
"296","","2018","335935194.1","bilanz","CHF"
"298","","2018","4313100","bilanz","CHF"
"299","","2018","2312192150.9","bilanz","CHF"
"300","","2018","48132812.67","aufwand","CHF"
"301","","2018","1578621829.18","aufwand","CHF"
"302","","2018","1182543710.2","aufwand","CHF"
"303","","2018","15830543.89","aufwand","CHF"
"304","","2018","53415287.2","aufwand","CHF"
"305","","2018","655390047.22","aufwand","CHF"
"306","","2018","15125970.7","aufwand","CHF"
"309","","2018","17321306.05","aufwand","CHF"
"310","","2018","80299420.84","aufwand","CHF"
"311","","2018","9501066.55","aufwand","CHF"
"312","","2018","39145504.12","aufwand","CHF"
"313","","2018","247813004.4","aufwand","CHF"
"314","","2018","93583132.07","aufwand","CHF"
"315","","2018","32921973.27","aufwand","CHF"
"316","","2018","78933120.31","aufwand","CHF"
"317","","2018","11171046.68","aufwand","CHF"
"318","","2018","208310844.15","aufwand","CHF"
"319","","2018","32685414.85","aufwand","CHF"
"320","","2018","","aufwand","CHF"
"331","","2018","","aufwand","CHF"
"337","","2018","462885822.95","aufwand","CHF"
"338","","2018","","aufwand","CHF"
"340","","2018","173001631.33","aufwand","CHF"
"341","","2018","10447357.28","aufwand","CHF"
"342","","2018","1107902.28","aufwand","CHF"
"343","","2018","","aufwand","CHF"
"344","","2018","44044897","aufwand","CHF"
"349","","2018","4027944.04","aufwand","CHF"
"350","","2018","","aufwand","CHF"
"351","","2018","","aufwand","CHF"
"352","","2018","3569177","aufwand","CHF"
"3600","","2018","","aufwand","CHF"
"36010","","2018","","aufwand","CHF"
"36011","","2018","","aufwand","CHF"
"36012","","2018","","aufwand","CHF"
"36013","","2018","","aufwand","CHF"
"36014","","2018","","aufwand","CHF"
"36015","","2018","","aufwand","CHF"
"36016","","2018","","aufwand","CHF"
"36017","","2018","","aufwand","CHF"
"36018","","2018","","aufwand","CHF"
"36019","","2018","","aufwand","CHF"
"36021","","2018","","aufwand","CHF"
"36022","","2018","","aufwand","CHF"
"36023","","2018","","aufwand","CHF"
"36029","","2018","237343.4","aufwand","CHF"
"3603","","2018","","aufwand","CHF"
"3604","","2018","","aufwand","CHF"
"3610","","2018","","aufwand","CHF"
"3611","","2018","20777878.38","aufwand","CHF"
"3612","","2018","22578598.64","aufwand","CHF"
"3613","","2018","","aufwand","CHF"
"3614","","2018","","aufwand","CHF"
"3620","","2018","","aufwand","CHF"
"36211","","2018","394228248.95","aufwand","CHF"
"36212","","2018","","aufwand","CHF"
"36213","","2018","","aufwand","CHF"
"36214","","2018","5604492","aufwand","CHF"
"36215","","2018","","aufwand","CHF"
"36216","","2018","","aufwand","CHF"
"36217","","2018","","aufwand","CHF"
"36219","","2018","","aufwand","CHF"
"36221","","2018","","aufwand","CHF"
"36222","","2018","","aufwand","CHF"
"36223","","2018","","aufwand","CHF"
"36224","","2018","","aufwand","CHF"
"36225","","2018","","aufwand","CHF"
"36226","","2018","12503953","aufwand","CHF"
"36227","","2018","","aufwand","CHF"
"36228","","2018","","aufwand","CHF"
"3624","","2018","","aufwand","CHF"
"3629","","2018","","aufwand","CHF"
"3630","","2018","1e+06","aufwand","CHF"
