"arten","funk","jahr","value","dim","unit"
"100","","2015","18723358.79","bilanz","CHF"
"101","","2015","70442542.88","bilanz","CHF"
"102","","2015","","bilanz","CHF"
"104","","2015","4816242.95","bilanz","CHF"
"106","","2015","","bilanz","CHF"
"107","","2015","255308760.43","bilanz","CHF"
"108","","2015","16394937.75","bilanz","CHF"
"109","","2015","","bilanz","CHF"
"140","","2015","25102326.02","bilanz","CHF"
"141","","2015","","bilanz","CHF"
"142","","2015","234233.3","bilanz","CHF"
"143","","2015","","bilanz","CHF"
"144","","2015","25190211.75","bilanz","CHF"
"145","","2015","98937723.3","bilanz","CHF"
"146","","2015","75359515.13","bilanz","CHF"
"147","","2015","","bilanz","CHF"
"148","","2015","-29283605.93","bilanz","CHF"
"200","","2015","76679876.3","bilanz","CHF"
"201","","2015","3e+07","bilanz","CHF"
"204","","2015","8962162.41","bilanz","CHF"
"205","","2015","1576626","bilanz","CHF"
"206","","2015","41213630.23","bilanz","CHF"
"207","","2015","","bilanz","CHF"
"208","","2015","","bilanz","CHF"
"209","","2015","21718046.12","bilanz","CHF"
"290","","2015","128250395.83","bilanz","CHF"
"292","","2015","","bilanz","CHF"
"293","","2015","","bilanz","CHF"
"294","","2015","34422170.73","bilanz","CHF"
"295","","2015","34571783.41","bilanz","CHF"
"296","","2015","113616181.88","bilanz","CHF"
"298","","2015","","bilanz","CHF"
"299","","2015","70215373.46","bilanz","CHF"
"300","","2015","1279058.58","aufwand","CHF"
"301","","2015","44107225.31","aufwand","CHF"
"302","","2015","12108988.3","aufwand","CHF"
"303","","2015","","aufwand","CHF"
"304","","2015","56796.5","aufwand","CHF"
"305","","2015","10709371.46","aufwand","CHF"
"306","","2015","643212.15","aufwand","CHF"
"309","","2015","935540.25","aufwand","CHF"
"310","","2015","2008840.58","aufwand","CHF"
"311","","2015","1624612.03","aufwand","CHF"
"312","","2015","929066.15","aufwand","CHF"
"313","","2015","12886977.93","aufwand","CHF"
"314","","2015","6159698.97","aufwand","CHF"
"315","","2015","2788453.39","aufwand","CHF"
"316","","2015","924234.85","aufwand","CHF"
"317","","2015","561172.25","aufwand","CHF"
"318","","2015","607946.32","aufwand","CHF"
"319","","2015","414410","aufwand","CHF"
"320","","2015","","aufwand","CHF"
"331","","2015","","aufwand","CHF"
"337","","2015","5224462","aufwand","CHF"
"338","","2015","","aufwand","CHF"
"340","","2015","775135.21","aufwand","CHF"
"341","","2015","","aufwand","CHF"
"342","","2015","172.2","aufwand","CHF"
"343","","2015","379194.5","aufwand","CHF"
"344","","2015","","aufwand","CHF"
"349","","2015","","aufwand","CHF"
"350","","2015","829978.75","aufwand","CHF"
"351","","2015","816332.5","aufwand","CHF"
"352","","2015","","aufwand","CHF"
"3600","","2015","","aufwand","CHF"
"36010","","2015","","aufwand","CHF"
"36011","","2015","","aufwand","CHF"
"36012","","2015","","aufwand","CHF"
"36013","","2015","","aufwand","CHF"
"36014","","2015","","aufwand","CHF"
"36015","","2015","","aufwand","CHF"
"36016","","2015","","aufwand","CHF"
"36017","","2015","","aufwand","CHF"
"36018","","2015","","aufwand","CHF"
"36019","","2015","","aufwand","CHF"
"36021","","2015","3382620.6","aufwand","CHF"
"36022","","2015","","aufwand","CHF"
"36023","","2015","96784.7","aufwand","CHF"
"36029","","2015","","aufwand","CHF"
"3603","","2015","","aufwand","CHF"
"3604","","2015","","aufwand","CHF"
"3610","","2015","","aufwand","CHF"
"3611","","2015","2059280.75","aufwand","CHF"
"3612","","2015","","aufwand","CHF"
"3613","","2015","","aufwand","CHF"
"3614","","2015","35600","aufwand","CHF"
"3620","","2015","","aufwand","CHF"
"36211","","2015","","aufwand","CHF"
"36212","","2015","","aufwand","CHF"
"36213","","2015","","aufwand","CHF"
"36214","","2015","635700","aufwand","CHF"
"36215","","2015","","aufwand","CHF"
"36216","","2015","","aufwand","CHF"
"36217","","2015","","aufwand","CHF"
"36219","","2015","","aufwand","CHF"
"36221","","2015","","aufwand","CHF"
"36222","","2015","","aufwand","CHF"
"36223","","2015","","aufwand","CHF"
"36224","","2015","","aufwand","CHF"
"36225","","2015","3500000","aufwand","CHF"
"36226","","2015","1e+06","aufwand","CHF"
"36227","","2015","","aufwand","CHF"
"36228","","2015","","aufwand","CHF"
"3624","","2015","","aufwand","CHF"
"3629","","2015","","aufwand","CHF"
"3630","","2015","","aufwand","CHF"
