"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2015","29123745.21","bilanz","ktn_ju","CHF","fs"
"101","","2015","176316941.71","bilanz","ktn_ju","CHF","fs"
"102","","2015","","bilanz","ktn_ju","CHF","fs"
"104","","2015","43306875.05","bilanz","ktn_ju","CHF","fs"
"106","","2015","97785.9","bilanz","ktn_ju","CHF","fs"
"107","","2015","2487260","bilanz","ktn_ju","CHF","fs"
"108","","2015","7090415.85","bilanz","ktn_ju","CHF","fs"
"109","","2015","","bilanz","ktn_ju","CHF","fs"
"140","","2015","250069585.76","bilanz","ktn_ju","CHF","fs"
"141","","2015","","bilanz","ktn_ju","CHF","fs"
"142","","2015","","bilanz","ktn_ju","CHF","fs"
"143","","2015","","bilanz","ktn_ju","CHF","fs"
"144","","2015","93204609.96","bilanz","ktn_ju","CHF","fs"
"145","","2015","22944418","bilanz","ktn_ju","CHF","fs"
"146","","2015","105701647.1","bilanz","ktn_ju","CHF","fs"
"147","","2015","","bilanz","ktn_ju","CHF","fs"
"148","","2015","","bilanz","ktn_ju","CHF","fs"
"200","","2015","72296707.66","bilanz","ktn_ju","CHF","fs"
"201","","2015","5e+07","bilanz","ktn_ju","CHF","fs"
"204","","2015","34665653.04","bilanz","ktn_ju","CHF","fs"
"205","","2015","3599662.2","bilanz","ktn_ju","CHF","fs"
"206","","2015","364673035.12","bilanz","ktn_ju","CHF","fs"
"207","","2015","","bilanz","ktn_ju","CHF","fs"
"208","","2015","","bilanz","ktn_ju","CHF","fs"
"209","","2015","8867934.6","bilanz","ktn_ju","CHF","fs"
"290","","2015","10754566.44","bilanz","ktn_ju","CHF","fs"
"292","","2015","","bilanz","ktn_ju","CHF","fs"
"293","","2015","","bilanz","ktn_ju","CHF","fs"
"294","","2015","26500000","bilanz","ktn_ju","CHF","fs"
"295","","2015","","bilanz","ktn_ju","CHF","fs"
"296","","2015","","bilanz","ktn_ju","CHF","fs"
"298","","2015","","bilanz","ktn_ju","CHF","fs"
"299","","2015","158985725.48","bilanz","ktn_ju","CHF","fs"
"empty","","2015","","er","ktn_ju","CHF","fs"
"empty","","2015","","er","ktn_ju","CHF","fs"
"empty","","2015","","er","ktn_ju","CHF","fs"
"empty","","2015","","er","ktn_ju","CHF","fs"
"300","","2015","5788327.5","aufwand","ktn_ju","CHF","fs"
"301","","2015","100474038.28","aufwand","ktn_ju","CHF","fs"
"302","","2015","108593125.05","aufwand","ktn_ju","CHF","fs"
"303","","2015","638948.8","aufwand","ktn_ju","CHF","fs"
"304","","2015","561769.65","aufwand","ktn_ju","CHF","fs"
"305","","2015","41266787.45","aufwand","ktn_ju","CHF","fs"
"306","","2015","","aufwand","ktn_ju","CHF","fs"
"309","","2015","1116226.75","aufwand","ktn_ju","CHF","fs"
"310","","2015","6229340.41","aufwand","ktn_ju","CHF","fs"
"311","","2015","1384989.68","aufwand","ktn_ju","CHF","fs"
"312","","2015","3944953.45","aufwand","ktn_ju","CHF","fs"
"313","","2015","35171340.11","aufwand","ktn_ju","CHF","fs"
"314","","2015","9510616.57","aufwand","ktn_ju","CHF","fs"
"315","","2015","4774433.37","aufwand","ktn_ju","CHF","fs"
