"arten","funk","jahr","value","dim","unit"
"100","","2015","49433199","bilanz","CHF"
"101","","2015","521569906","bilanz","CHF"
"102","","2015","","bilanz","CHF"
"104","","2015","303150769","bilanz","CHF"
"106","","2015","2902461","bilanz","CHF"
"107","","2015","481663912","bilanz","CHF"
"108","","2015","144668153","bilanz","CHF"
"109","","2015","","bilanz","CHF"
"140","","2015","3236939318","bilanz","CHF"
"141","","2015","","bilanz","CHF"
"142","","2015","24765345","bilanz","CHF"
"143","","2015","","bilanz","CHF"
"144","","2015","337879724","bilanz","CHF"
"145","","2015","677129194","bilanz","CHF"
"146","","2015","425375627","bilanz","CHF"
"147","","2015","","bilanz","CHF"
"148","","2015","","bilanz","CHF"
"200","","2015","361105911","bilanz","CHF"
"201","","2015","59262576","bilanz","CHF"
"204","","2015","261144161","bilanz","CHF"
"205","","2015","27759098","bilanz","CHF"
"206","","2015","1533734242","bilanz","CHF"
"207","","2015","","bilanz","CHF"
"208","","2015","41751519","bilanz","CHF"
"209","","2015","41948897","bilanz","CHF"
"290","","2015","36700316","bilanz","CHF"
"292","","2015","","bilanz","CHF"
"293","","2015","","bilanz","CHF"
"294","","2015","","bilanz","CHF"
"295","","2015","2522846961","bilanz","CHF"
"296","","2015","513859161","bilanz","CHF"
"298","","2015","","bilanz","CHF"
"299","","2015","805364766","bilanz","CHF"
"300","","2015","24753016.75","aufwand","CHF"
"301","","2015","340818333.47","aufwand","CHF"
"302","","2015","234129827.99","aufwand","CHF"
"303","","2015","414189.6","aufwand","CHF"
"304","","2015","1400653","aufwand","CHF"
"305","","2015","108172311.62","aufwand","CHF"
"306","","2015","1650271.7","aufwand","CHF"
"309","","2015","11629027.51","aufwand","CHF"
"310","","2015","31552842.76","aufwand","CHF"
"311","","2015","16460155.63","aufwand","CHF"
"312","","2015","8391113.83","aufwand","CHF"
"313","","2015","70495233.67","aufwand","CHF"
"314","","2015","38701531.59","aufwand","CHF"
"315","","2015","19040252.87","aufwand","CHF"
"316","","2015","41175815.44","aufwand","CHF"
"317","","2015","6344823.9","aufwand","CHF"
"318","","2015","16853310.12","aufwand","CHF"
"319","","2015","4273582.31","aufwand","CHF"
"320","","2015","","aufwand","CHF"
"331","","2015","","aufwand","CHF"
"337","","2015","128122999.76","aufwand","CHF"
"338","","2015","2434093.93","aufwand","CHF"
"340","","2015","23781947.99","aufwand","CHF"
"341","","2015","149887.83","aufwand","CHF"
"342","","2015","329795.75","aufwand","CHF"
"343","","2015","1561149","aufwand","CHF"
"344","","2015","2528399","aufwand","CHF"
"349","","2015","4203038.24","aufwand","CHF"
"350","","2015","8826308.01","aufwand","CHF"
"351","","2015","","aufwand","CHF"
"352","","2015","","aufwand","CHF"
"3600","","2015","","aufwand","CHF"
"36010","","2015","","aufwand","CHF"
"36011","","2015","","aufwand","CHF"
"36012","","2015","","aufwand","CHF"
"36013","","2015","","aufwand","CHF"
"36014","","2015","","aufwand","CHF"
"36015","","2015","","aufwand","CHF"
"36016","","2015","","aufwand","CHF"
"36017","","2015","","aufwand","CHF"
"36018","","2015","","aufwand","CHF"
"36019","","2015","","aufwand","CHF"
"36021","","2015","9803740","aufwand","CHF"
"36022","","2015","","aufwand","CHF"
"36023","","2015","","aufwand","CHF"
"36029","","2015","1688527","aufwand","CHF"
"3603","","2015","","aufwand","CHF"
"3604","","2015","","aufwand","CHF"
"3610","","2015","","aufwand","CHF"
"3611","","2015","26669335.35","aufwand","CHF"
"3612","","2015","3832546.1","aufwand","CHF"
"3613","","2015","","aufwand","CHF"
"3614","","2015","2000","aufwand","CHF"
"3620","","2015","","aufwand","CHF"
"36211","","2015","","aufwand","CHF"
"36212","","2015","","aufwand","CHF"
"36213","","2015","","aufwand","CHF"
"36214","","2015","5729068","aufwand","CHF"
"36215","","2015","","aufwand","CHF"
"36216","","2015","","aufwand","CHF"
"36217","","2015","","aufwand","CHF"
"36219","","2015","","aufwand","CHF"
"36221","","2015","","aufwand","CHF"
"36222","","2015","","aufwand","CHF"
"36223","","2015","","aufwand","CHF"
"36224","","2015","","aufwand","CHF"
"36225","","2015","82613194","aufwand","CHF"
"36226","","2015","70050000","aufwand","CHF"
"36227","","2015","","aufwand","CHF"
"36228","","2015","","aufwand","CHF"
"3624","","2015","","aufwand","CHF"
"3629","","2015","","aufwand","CHF"
"3630","","2015","","aufwand","CHF"
"3631","","2015","129222251.79","aufwand","CHF"
"3632","","2015","186805137.77","aufwand","CHF"
"3633","","2015","8391402.8","aufwand","CHF"
"3634","","2015","295274467.53","aufwand","CHF"
"3635","","2015","322646506.41","aufwand","CHF"
"3636","","2015","308119985.34","aufwand","CHF"
"3637","","2015","475802662.21","aufwand","CHF"
"3638","","2015","286577.71","aufwand","CHF"
"3639","","2015","13653144","aufwand","CHF"
"364","","2015","","aufwand","CHF"
"365","","2015","","aufwand","CHF"
"366","","2015","23188456.13","aufwand","CHF"
"369","","2015","","aufwand","CHF"
"380","","2015","","aufwand","CHF"
"381","","2015","","aufwand","CHF"
"383","","2015","","aufwand","CHF"
"384","","2015","","aufwand","CHF"
"3860","","2015","","aufwand","CHF"
"3861","","2015","","aufwand","CHF"
"3862","","2015","","aufwand","CHF"
"3863","","2015","","aufwand","CHF"
"3864","","2015","","aufwand","CHF"
"3865","","2015","","aufwand","CHF"
"3866","","2015","","aufwand","CHF"
"3867","","2015","","aufwand","CHF"
"3868","","2015","","aufwand","CHF"
"387","","2015","","aufwand","CHF"
"389","","2015","","aufwand","CHF"
"4000","","2015","700098012.12","ertrag","CHF"
"4001","","2015","84377674.07","ertrag","CHF"
"4002","","2015","27420728.83","ertrag","CHF"
"4008","","2015","5661425","ertrag","CHF"
"4009","","2015","27063658.79","ertrag","CHF"
"4010","","2015","75366040.13","ertrag","CHF"
"4011","","2015","18487287.74","ertrag","CHF"
"4012","","2015","","ertrag","CHF"
"4019","","2015","","ertrag","CHF"
"4020","","2015","","ertrag","CHF"
"4021","","2015","200050.25","ertrag","CHF"
