"arten","funk","jahr","value","dim","unit"
"100","","2019","157189787.55","bilanz","CHF"
"101","","2019","639633221.09","bilanz","CHF"
"102","","2019","128000","bilanz","CHF"
"104","","2019","240426946.59","bilanz","CHF"
"106","","2019","6057750.13","bilanz","CHF"
"107","","2019","6934100.63","bilanz","CHF"
"108","","2019","139149773.76","bilanz","CHF"
"109","","2019","","bilanz","CHF"
"140","","2019","1132987676.96","bilanz","CHF"
"141","","2019","","bilanz","CHF"
"142","","2019","10658931.84","bilanz","CHF"
"143","","2019","","bilanz","CHF"
"144","","2019","123498640.9","bilanz","CHF"
"145","","2019","387762797.99","bilanz","CHF"
"146","","2019","162200055.75","bilanz","CHF"
"147","","2019","","bilanz","CHF"
"148","","2019","","bilanz","CHF"
"200","","2019","377055718.38","bilanz","CHF"
"201","","2019","444896889.75","bilanz","CHF"
"204","","2019","186212044.11","bilanz","CHF"
"205","","2019","23022855.22","bilanz","CHF"
"206","","2019","1528161377.77","bilanz","CHF"
"207","","2019","","bilanz","CHF"
"208","","2019","89418251.81","bilanz","CHF"
"209","","2019","13158572.27","bilanz","CHF"
"290","","2019","143354217.61","bilanz","CHF"
"292","","2019","","bilanz","CHF"
"293","","2019","10939155.43","bilanz","CHF"
"294","","2019","232064735.2","bilanz","CHF"
"295","","2019","377318542.68","bilanz","CHF"
"296","","2019","113203620.28","bilanz","CHF"
"298","","2019","","bilanz","CHF"
"299","","2019","-532178297.32","bilanz","CHF"
"300","","2019","10641900.65","aufwand","CHF"
"301","","2019","266660411.67","aufwand","CHF"
"302","","2019","156418647.55","aufwand","CHF"
"303","","2019","9650856.78","aufwand","CHF"
"304","","2019","5909526.15","aufwand","CHF"
"305","","2019","99441002.25","aufwand","CHF"
"306","","2019","-1330230.6","aufwand","CHF"
"309","","2019","2851739.64","aufwand","CHF"
"310","","2019","25392381.44","aufwand","CHF"
"311","","2019","13399644.75","aufwand","CHF"
"312","","2019","7520754.53","aufwand","CHF"
"313","","2019","58217889.04","aufwand","CHF"
"314","","2019","23277565.55","aufwand","CHF"
"315","","2019","10841094.71","aufwand","CHF"
"316","","2019","28415892.3","aufwand","CHF"
"317","","2019","5595848.74","aufwand","CHF"
"318","","2019","25848535.48","aufwand","CHF"
"319","","2019","9049021.91","aufwand","CHF"
"320","","2019","","aufwand","CHF"
"331","","2019","","aufwand","CHF"
"337","","2019","84545619.32","aufwand","CHF"
"338","","2019","","aufwand","CHF"
"340","","2019","20488466.48","aufwand","CHF"
"341","","2019","1210565.65","aufwand","CHF"
"342","","2019","1161324.03","aufwand","CHF"
"343","","2019","1112.48","aufwand","CHF"
"344","","2019","","aufwand","CHF"
"349","","2019","65724.12","aufwand","CHF"
"350","","2019","189399.4","aufwand","CHF"
"351","","2019","18317527.73","aufwand","CHF"
"352","","2019","","aufwand","CHF"
"3600","","2019","","aufwand","CHF"
"36010","","2019","","aufwand","CHF"
"36011","","2019","","aufwand","CHF"
"36012","","2019","","aufwand","CHF"
"36013","","2019","","aufwand","CHF"
"36014","","2019","","aufwand","CHF"
"36015","","2019","","aufwand","CHF"
"36016","","2019","","aufwand","CHF"
"36017","","2019","","aufwand","CHF"
"36018","","2019","","aufwand","CHF"
"36019","","2019","","aufwand","CHF"
"36021","","2019","","aufwand","CHF"
"36022","","2019","","aufwand","CHF"
"36023","","2019","","aufwand","CHF"
"36029","","2019","3190054.88","aufwand","CHF"
"3603","","2019","","aufwand","CHF"
"3604","","2019","","aufwand","CHF"
"3610","","2019","","aufwand","CHF"
"3611","","2019","20668620.79","aufwand","CHF"
"3612","","2019","4977247.07","aufwand","CHF"
"3613","","2019","","aufwand","CHF"
"3614","","2019","1220340","aufwand","CHF"
"3620","","2019","","aufwand","CHF"
"36211","","2019","","aufwand","CHF"
"36212","","2019","","aufwand","CHF"
"36213","","2019","","aufwand","CHF"
"36214","","2019","2153056","aufwand","CHF"
"36215","","2019","","aufwand","CHF"
"36216","","2019","","aufwand","CHF"
"36217","","2019","","aufwand","CHF"
"36219","","2019","","aufwand","CHF"
"36221","","2019","","aufwand","CHF"
"36222","","2019","","aufwand","CHF"
"36223","","2019","","aufwand","CHF"
"36224","","2019","","aufwand","CHF"
"36225","","2019","1321504","aufwand","CHF"
"36226","","2019","","aufwand","CHF"
"36227","","2019","","aufwand","CHF"
"36228","","2019","","aufwand","CHF"
"3624","","2019","","aufwand","CHF"
"3629","","2019","","aufwand","CHF"
"3630","","2019","","aufwand","CHF"
"3631","","2019","76189197.46","aufwand","CHF"
"3632","","2019","106930285.96","aufwand","CHF"
"3633","","2019","5930571.9","aufwand","CHF"
"3634","","2019","331076982.94","aufwand","CHF"
"3635","","2019","160381431.93","aufwand","CHF"
"3636","","2019","242266307.14","aufwand","CHF"
"3637","","2019","396268460.19","aufwand","CHF"
"3638","","2019","","aufwand","CHF"
"3639","","2019","5629442","aufwand","CHF"
"364","","2019","","aufwand","CHF"
"365","","2019","4778359.67","aufwand","CHF"
"366","","2019","22827158.3","aufwand","CHF"
"369","","2019","","aufwand","CHF"
"380","","2019","295467.2","aufwand","CHF"
"381","","2019","1127310","aufwand","CHF"
"383","","2019","","aufwand","CHF"
"384","","2019","","aufwand","CHF"
"3860","","2019","","aufwand","CHF"
"3861","","2019","","aufwand","CHF"
"3862","","2019","","aufwand","CHF"
"3863","","2019","","aufwand","CHF"
"3864","","2019","","aufwand","CHF"
"3865","","2019","","aufwand","CHF"
"3866","","2019","","aufwand","CHF"
"3867","","2019","","aufwand","CHF"
"3868","","2019","","aufwand","CHF"
"387","","2019","","aufwand","CHF"
"389","","2019","","aufwand","CHF"
"4000","","2019","661829071.3","ertrag","CHF"
"4001","","2019","65455621.44","ertrag","CHF"
"4002","","2019","47574744.47","ertrag","CHF"
"4008","","2019","","ertrag","CHF"
"4009","","2019","","ertrag","CHF"
"4010","","2019","146943144.7","ertrag","CHF"
"4011","","2019","11904193.37","ertrag","CHF"
"4012","","2019","","ertrag","CHF"
"4019","","2019","","ertrag","CHF"
"4020","","2019","","ertrag","CHF"
"4021","","2019","11628996.35","ertrag","CHF"
"4022","","2019","24396674.15","ertrag","CHF"
"4023","","2019","29464807","ertrag","CHF"
"4024","","2019","18849236.75","ertrag","CHF"
"4025","","2019","4141981.63","ertrag","CHF"
"4030","","2019","46358764.75","ertrag","CHF"
"4031","","2019","1916228.5","ertrag","CHF"
"4032","","2019","","ertrag","CHF"
"4033","","2019","","ertrag","CHF"
"4039","","2019","","ertrag","CHF"
"4040","","2019","","ertrag","CHF"
"4041","","2019","","ertrag","CHF"
"4042","","2019","","ertrag","CHF"
"4043","","2019","","ertrag","CHF"
"4044","","2019","","ertrag","CHF"
"4045","","2019","","ertrag","CHF"
"4046","","2019","","ertrag","CHF"
"4047","","2019","","ertrag","CHF"
"4049","","2019","","ertrag","CHF"
"4050","","2019","","ertrag","CHF"
"4051","","2019","","ertrag","CHF"
"4052","","2019","","ertrag","CHF"
"4053","","2019","","ertrag","CHF"
"4059","","2019","","ertrag","CHF"
"4060","","2019","","ertrag","CHF"
"4070","","2019","","ertrag","CHF"
"4071","","2019","","ertrag","CHF"
"4072","","2019","","ertrag","CHF"
"4079","","2019","","ertrag","CHF"
"410","","2019","502477.05","ertrag","CHF"
"411","","2019","28122555","ertrag","CHF"
"412","","2019","7518043.45","ertrag","CHF"
