"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2022","133419144.38","bilanz","ktn_nw","CHF","fs"
"101","","2022","153515455.96","bilanz","ktn_nw","CHF","fs"
"102","","2022","11550000","bilanz","ktn_nw","CHF","fs"
"104","","2022","11834594.87","bilanz","ktn_nw","CHF","fs"
"106","","2022","18783.01","bilanz","ktn_nw","CHF","fs"
"107","","2022","38900259.6","bilanz","ktn_nw","CHF","fs"
"108","","2022","4393000","bilanz","ktn_nw","CHF","fs"
"109","","2022","","bilanz","ktn_nw","CHF","fs"
"140","","2022","115855411.74","bilanz","ktn_nw","CHF","fs"
"141","","2022","","bilanz","ktn_nw","CHF","fs"
"142","","2022","2762686.16","bilanz","ktn_nw","CHF","fs"
"143","","2022","","bilanz","ktn_nw","CHF","fs"
"144","","2022","31332944","bilanz","ktn_nw","CHF","fs"
"145","","2022","123013003","bilanz","ktn_nw","CHF","fs"
"146","","2022","72340191.72","bilanz","ktn_nw","CHF","fs"
"147","","2022","","bilanz","ktn_nw","CHF","fs"
"148","","2022","","bilanz","ktn_nw","CHF","fs"
"200","","2022","213482387.04","bilanz","ktn_nw","CHF","fs"
"201","","2022","103942.75","bilanz","ktn_nw","CHF","fs"
"204","","2022","9761844.35","bilanz","ktn_nw","CHF","fs"
"205","","2022","710000","bilanz","ktn_nw","CHF","fs"
"206","","2022","128311591.37","bilanz","ktn_nw","CHF","fs"
"207","","2022","","bilanz","ktn_nw","CHF","fs"
"208","","2022","8490000","bilanz","ktn_nw","CHF","fs"
"209","","2022","789062.82","bilanz","ktn_nw","CHF","fs"
"290","","2022","11246426.29","bilanz","ktn_nw","CHF","fs"
"292","","2022","","bilanz","ktn_nw","CHF","fs"
"293","","2022","","bilanz","ktn_nw","CHF","fs"
"294","","2022","270615589.03","bilanz","ktn_nw","CHF","fs"
"295","","2022","","bilanz","ktn_nw","CHF","fs"
"296","","2022","","bilanz","ktn_nw","CHF","fs"
"298","","2022","","bilanz","ktn_nw","CHF","fs"
"299","","2022","55424630.79","bilanz","ktn_nw","CHF","fs"
"empty","","2022","","er","ktn_nw","CHF","fs"
"empty","","2022","","er","ktn_nw","CHF","fs"
"empty","","2022","","er","ktn_nw","CHF","fs"
"empty","","2022","","er","ktn_nw","CHF","fs"
"300","","2022","3129568","aufwand","ktn_nw","CHF","fs"
"301","","2022","51659787.09","aufwand","ktn_nw","CHF","fs"
"302","","2022","13281917.7","aufwand","ktn_nw","CHF","fs"
"303","","2022","","aufwand","ktn_nw","CHF","fs"
"304","","2022","892452.04","aufwand","ktn_nw","CHF","fs"
"305","","2022","12364843.76","aufwand","ktn_nw","CHF","fs"
"306","","2022","199186","aufwand","ktn_nw","CHF","fs"
"309","","2022","1384143.04","aufwand","ktn_nw","CHF","fs"
"310","","2022","2740083.41","aufwand","ktn_nw","CHF","fs"
"311","","2022","2140180.47","aufwand","ktn_nw","CHF","fs"
"312","","2022","1095876.6","aufwand","ktn_nw","CHF","fs"
"313","","2022","18471184.62","aufwand","ktn_nw","CHF","fs"
"314","","2022","6432381.5","aufwand","ktn_nw","CHF","fs"
"315","","2022","3040676.1","aufwand","ktn_nw","CHF","fs"
"316","","2022","3538893.92","aufwand","ktn_nw","CHF","fs"
"317","","2022","831438.11","aufwand","ktn_nw","CHF","fs"
"318","","2022","2448340.95","aufwand","ktn_nw","CHF","fs"
"319","","2022","1386239.09","aufwand","ktn_nw","CHF","fs"
"320","","2022","","aufwand","ktn_nw","CHF","fs"
"331","","2022","","aufwand","ktn_nw","CHF","fs"
"337","","2022","7846026","aufwand","ktn_nw","CHF","fs"
"338","","2022","","aufwand","ktn_nw","CHF","fs"
"340","","2022","1645333.07","aufwand","ktn_nw","CHF","fs"
"341","","2022","14467.93","aufwand","ktn_nw","CHF","fs"
"342","","2022","45000","aufwand","ktn_nw","CHF","fs"
"343","","2022","44262.45","aufwand","ktn_nw","CHF","fs"
"344","","2022","3336","aufwand","ktn_nw","CHF","fs"
"349","","2022","218424.54","aufwand","ktn_nw","CHF","fs"
"350","","2022","82848.7","aufwand","ktn_nw","CHF","fs"
"351","","2022","2027424.58","aufwand","ktn_nw","CHF","fs"
"352","","2022","","aufwand","ktn_nw","CHF","fs"
"3600","","2022","","aufwand","ktn_nw","CHF","fs"
"36010","","2022","","aufwand","ktn_nw","CHF","fs"
"36011","","2022","","aufwand","ktn_nw","CHF","fs"
"36012","","2022","","aufwand","ktn_nw","CHF","fs"
"36013","","2022","","aufwand","ktn_nw","CHF","fs"
"36014","","2022","","aufwand","ktn_nw","CHF","fs"
"36015","","2022","","aufwand","ktn_nw","CHF","fs"
"36016","","2022","","aufwand","ktn_nw","CHF","fs"
"36017","","2022","","aufwand","ktn_nw","CHF","fs"
