"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","27736726.99","bilanz","ktn_ow","CHF","fs"
"101","","2021","192987060.59","bilanz","ktn_ow","CHF","fs"
"102","","2021","3455056","bilanz","ktn_ow","CHF","fs"
"104","","2021","28196006.82","bilanz","ktn_ow","CHF","fs"
"106","","2021","80845.95","bilanz","ktn_ow","CHF","fs"
"107","","2021","2467645","bilanz","ktn_ow","CHF","fs"
"108","","2021","4886060.35","bilanz","ktn_ow","CHF","fs"
"109","","2021","","bilanz","ktn_ow","CHF","fs"
"140","","2021","12378208.45","bilanz","ktn_ow","CHF","fs"
"141","","2021","","bilanz","ktn_ow","CHF","fs"
"142","","2021","2043883.88","bilanz","ktn_ow","CHF","fs"
"143","","2021","","bilanz","ktn_ow","CHF","fs"
"144","","2021","2100190.25","bilanz","ktn_ow","CHF","fs"
"145","","2021","22405382","bilanz","ktn_ow","CHF","fs"
"146","","2021","25253287.69","bilanz","ktn_ow","CHF","fs"
"147","","2021","","bilanz","ktn_ow","CHF","fs"
"148","","2021","","bilanz","ktn_ow","CHF","fs"
"200","","2021","64256696.07","bilanz","ktn_ow","CHF","fs"
"201","","2021","113910264.4","bilanz","ktn_ow","CHF","fs"
"204","","2021","22910354.23","bilanz","ktn_ow","CHF","fs"
"205","","2021","2919181.45","bilanz","ktn_ow","CHF","fs"
"206","","2021","15125345.05","bilanz","ktn_ow","CHF","fs"
"207","","2021","","bilanz","ktn_ow","CHF","fs"
"208","","2021","2717196.95","bilanz","ktn_ow","CHF","fs"
"209","","2021","37191996.16","bilanz","ktn_ow","CHF","fs"
"290","","2021","2262865.65","bilanz","ktn_ow","CHF","fs"
"292","","2021","","bilanz","ktn_ow","CHF","fs"
"293","","2021","","bilanz","ktn_ow","CHF","fs"
"294","","2021","62700000","bilanz","ktn_ow","CHF","fs"
"295","","2021","","bilanz","ktn_ow","CHF","fs"
"296","","2021","","bilanz","ktn_ow","CHF","fs"
"298","","2021","","bilanz","ktn_ow","CHF","fs"
"299","","2021","-3545.98999999999","bilanz","ktn_ow","CHF","fs"
"empty","","2021","","er","ktn_ow","CHF","fs"
"empty","","2021","","er","ktn_ow","CHF","fs"
"empty","","2021","","er","ktn_ow","CHF","fs"
"empty","","2021","","er","ktn_ow","CHF","fs"
"300","","2021","2047709.55","aufwand","ktn_ow","CHF","fs"
"301","","2021","35098515.68","aufwand","ktn_ow","CHF","fs"
"302","","2021","10405233.9","aufwand","ktn_ow","CHF","fs"
"303","","2021","","aufwand","ktn_ow","CHF","fs"
"304","","2021","1185297.64","aufwand","ktn_ow","CHF","fs"
"305","","2021","8275485.25","aufwand","ktn_ow","CHF","fs"
"306","","2021","287890.96","aufwand","ktn_ow","CHF","fs"
"309","","2021","600151.11","aufwand","ktn_ow","CHF","fs"
"310","","2021","2313253.6","aufwand","ktn_ow","CHF","fs"
"311","","2021","631174.73","aufwand","ktn_ow","CHF","fs"
"312","","2021","1141645.06","aufwand","ktn_ow","CHF","fs"
"313","","2021","13335510.92","aufwand","ktn_ow","CHF","fs"
"314","","2021","4102791.47","aufwand","ktn_ow","CHF","fs"
"315","","2021","740446.99","aufwand","ktn_ow","CHF","fs"
"316","","2021","607603.95","aufwand","ktn_ow","CHF","fs"
"317","","2021","666430.41","aufwand","ktn_ow","CHF","fs"
"318","","2021","1266086.4","aufwand","ktn_ow","CHF","fs"
"319","","2021","628047.53","aufwand","ktn_ow","CHF","fs"
"320","","2021","","aufwand","ktn_ow","CHF","fs"
"331","","2021","","aufwand","ktn_ow","CHF","fs"
"337","","2021","2054138.65","aufwand","ktn_ow","CHF","fs"
"338","","2021","","aufwand","ktn_ow","CHF","fs"
"340","","2021","220716.99","aufwand","ktn_ow","CHF","fs"
"341","","2021","1925.78","aufwand","ktn_ow","CHF","fs"
"342","","2021","","aufwand","ktn_ow","CHF","fs"
"343","","2021","","aufwand","ktn_ow","CHF","fs"
"344","","2021","","aufwand","ktn_ow","CHF","fs"
"349","","2021","6066.22","aufwand","ktn_ow","CHF","fs"
"350","","2021","773923.14","aufwand","ktn_ow","CHF","fs"
"351","","2021","44065.5","aufwand","ktn_ow","CHF","fs"
"352","","2021","","aufwand","ktn_ow","CHF","fs"
"3600","","2021","","aufwand","ktn_ow","CHF","fs"
"36010","","2021","","aufwand","ktn_ow","CHF","fs"
"36011","","2021","","aufwand","ktn_ow","CHF","fs"
"36012","","2021","","aufwand","ktn_ow","CHF","fs"
"36013","","2021","","aufwand","ktn_ow","CHF","fs"
"36014","","2021","","aufwand","ktn_ow","CHF","fs"
"36015","","2021","","aufwand","ktn_ow","CHF","fs"
"36016","","2021","","aufwand","ktn_ow","CHF","fs"
"36017","","2021","","aufwand","ktn_ow","CHF","fs"
"36018","","2021","","aufwand","ktn_ow","CHF","fs"
"36019","","2021","","aufwand","ktn_ow","CHF","fs"
"36021","","2021","","aufwand","ktn_ow","CHF","fs"
"36022","","2021","","aufwand","ktn_ow","CHF","fs"
"36023","","2021","","aufwand","ktn_ow","CHF","fs"
"36029","","2021","","aufwand","ktn_ow","CHF","fs"
"3603","","2021","","aufwand","ktn_ow","CHF","fs"
"3604","","2021","","aufwand","ktn_ow","CHF","fs"
"3610","","2021","","aufwand","ktn_ow","CHF","fs"
"3611","","2021","11350476.05","aufwand","ktn_ow","CHF","fs"
"3612","","2021","296817.3","aufwand","ktn_ow","CHF","fs"
"3613","","2021","","aufwand","ktn_ow","CHF","fs"
"3614","","2021","","aufwand","ktn_ow","CHF","fs"
"3620","","2021","","aufwand","ktn_ow","CHF","fs"
"36211","","2021","10908200","aufwand","ktn_ow","CHF","fs"
"36212","","2021","","aufwand","ktn_ow","CHF","fs"
"36213","","2021","","aufwand","ktn_ow","CHF","fs"
"36214","","2021","363659","aufwand","ktn_ow","CHF","fs"
"36215","","2021","","aufwand","ktn_ow","CHF","fs"
"36216","","2021","","aufwand","ktn_ow","CHF","fs"
