"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","137742308.64","bilanz","ktn_sh","CHF","fs"
"101","","2020","151148482.22","bilanz","ktn_sh","CHF","fs"
"102","","2020","1.66e+08","bilanz","ktn_sh","CHF","fs"
"104","","2020","46212826.17","bilanz","ktn_sh","CHF","fs"
"106","","2020","311662.35","bilanz","ktn_sh","CHF","fs"
"107","","2020","261100706.3","bilanz","ktn_sh","CHF","fs"
"108","","2020","54298099","bilanz","ktn_sh","CHF","fs"
"109","","2020","","bilanz","ktn_sh","CHF","fs"
"140","","2020","69887260.86","bilanz","ktn_sh","CHF","fs"
"141","","2020","","bilanz","ktn_sh","CHF","fs"
"142","","2020","3263638.82","bilanz","ktn_sh","CHF","fs"
"143","","2020","","bilanz","ktn_sh","CHF","fs"
"144","","2020","7334729.39","bilanz","ktn_sh","CHF","fs"
"145","","2020","152605189.29","bilanz","ktn_sh","CHF","fs"
"146","","2020","50108875.79","bilanz","ktn_sh","CHF","fs"
"147","","2020","","bilanz","ktn_sh","CHF","fs"
"148","","2020","","bilanz","ktn_sh","CHF","fs"
"200","","2020","154921015.36","bilanz","ktn_sh","CHF","fs"
"201","","2020","11943884.5","bilanz","ktn_sh","CHF","fs"
"204","","2020","133051583.31","bilanz","ktn_sh","CHF","fs"
"205","","2020","2820066.72","bilanz","ktn_sh","CHF","fs"
"206","","2020","115500000","bilanz","ktn_sh","CHF","fs"
"207","","2020","","bilanz","ktn_sh","CHF","fs"
"208","","2020","3906018","bilanz","ktn_sh","CHF","fs"
"209","","2020","24010310.23","bilanz","ktn_sh","CHF","fs"
"290","","2020","62863012.72","bilanz","ktn_sh","CHF","fs"
"292","","2020","","bilanz","ktn_sh","CHF","fs"
"293","","2020","5020098.4","bilanz","ktn_sh","CHF","fs"
"294","","2020","245100000","bilanz","ktn_sh","CHF","fs"
"295","","2020","7865139.33","bilanz","ktn_sh","CHF","fs"
"296","","2020","92910651.54","bilanz","ktn_sh","CHF","fs"
"298","","2020","","bilanz","ktn_sh","CHF","fs"
"299","","2020","240101998.72","bilanz","ktn_sh","CHF","fs"
"empty","","2020","","er","ktn_sh","CHF","fs"
"empty","","2020","","er","ktn_sh","CHF","fs"
"empty","","2020","","er","ktn_sh","CHF","fs"
"empty","","2020","","er","ktn_sh","CHF","fs"
