"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2023","128924927.74","bilanz","ktn_so","CHF","fs"
"101","","2023","610353713.57","bilanz","ktn_so","CHF","fs"
"102","","2023","","bilanz","ktn_so","CHF","fs"
"104","","2023","161942737.25","bilanz","ktn_so","CHF","fs"
"106","","2023","4304552.51","bilanz","ktn_so","CHF","fs"
"107","","2023","176550000","bilanz","ktn_so","CHF","fs"
"108","","2023","205370058.77","bilanz","ktn_so","CHF","fs"
"109","","2023","","bilanz","ktn_so","CHF","fs"
"140","","2023","1294445688.81","bilanz","ktn_so","CHF","fs"
"141","","2023","","bilanz","ktn_so","CHF","fs"
"142","","2023","","bilanz","ktn_so","CHF","fs"
"143","","2023","","bilanz","ktn_so","CHF","fs"
"144","","2023","110109915.25","bilanz","ktn_so","CHF","fs"
"145","","2023","355585999.45","bilanz","ktn_so","CHF","fs"
"146","","2023","","bilanz","ktn_so","CHF","fs"
"147","","2023","","bilanz","ktn_so","CHF","fs"
"148","","2023","","bilanz","ktn_so","CHF","fs"
"200","","2023","342772786.23","bilanz","ktn_so","CHF","fs"
"201","","2023","2.7e+08","bilanz","ktn_so","CHF","fs"
"204","","2023","171109491.53","bilanz","ktn_so","CHF","fs"
"205","","2023","","bilanz","ktn_so","CHF","fs"
"206","","2023","1467759977.58","bilanz","ktn_so","CHF","fs"
"207","","2023","","bilanz","ktn_so","CHF","fs"
"208","","2023","12543334.56","bilanz","ktn_so","CHF","fs"
"209","","2023","112259587.99","bilanz","ktn_so","CHF","fs"
"290","","2023","25374166.24","bilanz","ktn_so","CHF","fs"
"292","","2023","788720299.06","bilanz","ktn_so","CHF","fs"
"293","","2023","","bilanz","ktn_so","CHF","fs"
"294","","2023","","bilanz","ktn_so","CHF","fs"
"295","","2023","","bilanz","ktn_so","CHF","fs"
"296","","2023","","bilanz","ktn_so","CHF","fs"
"298","","2023","","bilanz","ktn_so","CHF","fs"
"299","","2023","-142952049.84","bilanz","ktn_so","CHF","fs"
"empty","","2023","","er","ktn_so","CHF","fs"
"empty","","2023","","er","ktn_so","CHF","fs"
"empty","","2023","","er","ktn_so","CHF","fs"
"empty","","2023","","er","ktn_so","CHF","fs"
