"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","99433471.97","bilanz","ktn_sz","CHF","fs"
"101","","2020","896916010.89","bilanz","ktn_sz","CHF","fs"
"102","","2020","","bilanz","ktn_sz","CHF","fs"
"104","","2020","7726977.19","bilanz","ktn_sz","CHF","fs"
"106","","2020","363529.88","bilanz","ktn_sz","CHF","fs"
"107","","2020","208000","bilanz","ktn_sz","CHF","fs"
"108","","2020","52874822","bilanz","ktn_sz","CHF","fs"
"109","","2020","5060498.9","bilanz","ktn_sz","CHF","fs"
"140","","2020","105528091.73","bilanz","ktn_sz","CHF","fs"
"141","","2020","","bilanz","ktn_sz","CHF","fs"
"142","","2020","","bilanz","ktn_sz","CHF","fs"
"143","","2020","","bilanz","ktn_sz","CHF","fs"
"144","","2020","96501363.45","bilanz","ktn_sz","CHF","fs"
"145","","2020","53261814","bilanz","ktn_sz","CHF","fs"
"146","","2020","","bilanz","ktn_sz","CHF","fs"
"147","","2020","","bilanz","ktn_sz","CHF","fs"
"148","","2020","","bilanz","ktn_sz","CHF","fs"
"200","","2020","210391321.8","bilanz","ktn_sz","CHF","fs"
"201","","2020","1.4e+07","bilanz","ktn_sz","CHF","fs"
"204","","2020","62862667.69","bilanz","ktn_sz","CHF","fs"
"205","","2020","28096663.38","bilanz","ktn_sz","CHF","fs"
"206","","2020","210549283.05","bilanz","ktn_sz","CHF","fs"
"207","","2020","","bilanz","ktn_sz","CHF","fs"
"208","","2020","44135147.05","bilanz","ktn_sz","CHF","fs"
"209","","2020","29754031.11","bilanz","ktn_sz","CHF","fs"
"290","","2020","208078468.07","bilanz","ktn_sz","CHF","fs"
"292","","2020","","bilanz","ktn_sz","CHF","fs"
"293","","2020","","bilanz","ktn_sz","CHF","fs"
"294","","2020","","bilanz","ktn_sz","CHF","fs"
"295","","2020","","bilanz","ktn_sz","CHF","fs"
"296","","2020","","bilanz","ktn_sz","CHF","fs"
"298","","2020","","bilanz","ktn_sz","CHF","fs"
"299","","2020","510006997.86","bilanz","ktn_sz","CHF","fs"
"empty","","2020","","er","ktn_sz","CHF","fs"
"empty","","2020","","er","ktn_sz","CHF","fs"
"empty","","2020","","er","ktn_sz","CHF","fs"
"empty","","2020","","er","ktn_sz","CHF","fs"
"300","","2020","3951324.45","aufwand","ktn_sz","CHF","fs"
"301","","2020","141523790.93","aufwand","ktn_sz","CHF","fs"
"302","","2020","44099640.38","aufwand","ktn_sz","CHF","fs"
"303","","2020","1705829.75","aufwand","ktn_sz","CHF","fs"
"304","","2020","3999617.35","aufwand","ktn_sz","CHF","fs"
"305","","2020","34723001.3","aufwand","ktn_sz","CHF","fs"
"306","","2020","1750366.35","aufwand","ktn_sz","CHF","fs"
"309","","2020","2696157.96","aufwand","ktn_sz","CHF","fs"
"310","","2020","5524708.36","aufwand","ktn_sz","CHF","fs"
"311","","2020","9466275.19","aufwand","ktn_sz","CHF","fs"
"312","","2020","2325847.45","aufwand","ktn_sz","CHF","fs"
"313","","2020","36703798.79","aufwand","ktn_sz","CHF","fs"
"314","","2020","26103909.97","aufwand","ktn_sz","CHF","fs"
"315","","2020","11526067.85","aufwand","ktn_sz","CHF","fs"
"316","","2020","7489111.88","aufwand","ktn_sz","CHF","fs"
"317","","2020","2398223.73","aufwand","ktn_sz","CHF","fs"
"318","","2020","340717.86","aufwand","ktn_sz","CHF","fs"
"319","","2020","2730752.39","aufwand","ktn_sz","CHF","fs"
"320","","2020","","aufwand","ktn_sz","CHF","fs"
"331","","2020","","aufwand","ktn_sz","CHF","fs"
"337","","2020","24541444.49","aufwand","ktn_sz","CHF","fs"
"338","","2020","","aufwand","ktn_sz","CHF","fs"
"340","","2020","1283631.75","aufwand","ktn_sz","CHF","fs"
"341","","2020","","aufwand","ktn_sz","CHF","fs"
"342","","2020","250308.16","aufwand","ktn_sz","CHF","fs"
"343","","2020","","aufwand","ktn_sz","CHF","fs"
"344","","2020","7996915","aufwand","ktn_sz","CHF","fs"
"349","","2020","1485130.9","aufwand","ktn_sz","CHF","fs"
"350","","2020","11524761.75","aufwand","ktn_sz","CHF","fs"
"351","","2020","7749818.6","aufwand","ktn_sz","CHF","fs"
"352","","2020","","aufwand","ktn_sz","CHF","fs"
"3600","","2020","","aufwand","ktn_sz","CHF","fs"
"36010","","2020","","aufwand","ktn_sz","CHF","fs"
"36011","","2020","","aufwand","ktn_sz","CHF","fs"
"36012","","2020","","aufwand","ktn_sz","CHF","fs"
"36013","","2020","","aufwand","ktn_sz","CHF","fs"
"36014","","2020","","aufwand","ktn_sz","CHF","fs"
"36015","","2020","","aufwand","ktn_sz","CHF","fs"
"36016","","2020","","aufwand","ktn_sz","CHF","fs"
"36017","","2020","","aufwand","ktn_sz","CHF","fs"
"36018","","2020","","aufwand","ktn_sz","CHF","fs"
"36019","","2020","","aufwand","ktn_sz","CHF","fs"
"36021","","2020","","aufwand","ktn_sz","CHF","fs"
"36022","","2020","","aufwand","ktn_sz","CHF","fs"
"36023","","2020","1187108.8","aufwand","ktn_sz","CHF","fs"
"36029","","2020","11817400","aufwand","ktn_sz","CHF","fs"
"3603","","2020","","aufwand","ktn_sz","CHF","fs"
"3604","","2020","","aufwand","ktn_sz","CHF","fs"
"3610","","2020","","aufwand","ktn_sz","CHF","fs"
"3611","","2020","11841439.4","aufwand","ktn_sz","CHF","fs"
"3612","","2020","1227257.85","aufwand","ktn_sz","CHF","fs"
"3613","","2020","","aufwand","ktn_sz","CHF","fs"
"3614","","2020","","aufwand","ktn_sz","CHF","fs"
"3620","","2020","","aufwand","ktn_sz","CHF","fs"
"36211","","2020","225364244","aufwand","ktn_sz","CHF","fs"
"36212","","2020","","aufwand","ktn_sz","CHF","fs"
"36213","","2020","","aufwand","ktn_sz","CHF","fs"
"36214","","2020","1548279","aufwand","ktn_sz","CHF","fs"
"36215","","2020","","aufwand","ktn_sz","CHF","fs"
"36216","","2020","","aufwand","ktn_sz","CHF","fs"
"36217","","2020","","aufwand","ktn_sz","CHF","fs"
"36219","","2020","","aufwand","ktn_sz","CHF","fs"
"36221","","2020","","aufwand","ktn_sz","CHF","fs"
"36222","","2020","","aufwand","ktn_sz","CHF","fs"
"36223","","2020","","aufwand","ktn_sz","CHF","fs"
"36224","","2020","","aufwand","ktn_sz","CHF","fs"
"36225","","2020","15040591","aufwand","ktn_sz","CHF","fs"
"36226","","2020","2.5e+07","aufwand","ktn_sz","CHF","fs"
"36227","","2020","","aufwand","ktn_sz","CHF","fs"
"36228","","2020","","aufwand","ktn_sz","CHF","fs"
"3624","","2020","","aufwand","ktn_sz","CHF","fs"
"3629","","2020","","aufwand","ktn_sz","CHF","fs"
"3630","","2020","","aufwand","ktn_sz","CHF","fs"
"3631","","2020","46919278.53","aufwand","ktn_sz","CHF","fs"
"3632","","2020","57048145.86","aufwand","ktn_sz","CHF","fs"
"3633","","2020","2634120.4","aufwand","ktn_sz","CHF","fs"
"3634","","2020","44492058.05","aufwand","ktn_sz","CHF","fs"
"3635","","2020","259505989.25","aufwand","ktn_sz","CHF","fs"
"3636","","2020","101258151.24","aufwand","ktn_sz","CHF","fs"
"3637","","2020","152595124.16","aufwand","ktn_sz","CHF","fs"
"3638","","2020","","aufwand","ktn_sz","CHF","fs"
"3639","","2020","4603813","aufwand","ktn_sz","CHF","fs"
"364","","2020","1188000","aufwand","ktn_sz","CHF","fs"
"365","","2020","5299","aufwand","ktn_sz","CHF","fs"
"366","","2020","1387042.1","aufwand","ktn_sz","CHF","fs"
"369","","2020","","aufwand","ktn_sz","CHF","fs"
"380","","2020","","aufwand","ktn_sz","CHF","fs"
"381","","2020","1100000","aufwand","ktn_sz","CHF","fs"
