"arten","funk","jahr","value","dim","unit"
"100","","2017","45564660.79","bilanz","CHF"
"101","","2017","406034786.39","bilanz","CHF"
"102","","2017","","bilanz","CHF"
"104","","2017","72818580.77","bilanz","CHF"
"106","","2017","3281929.7","bilanz","CHF"
"107","","2017","260894998.1","bilanz","CHF"
"108","","2017","59306919.45","bilanz","CHF"
"109","","2017","","bilanz","CHF"
"140","","2017","293985780.51","bilanz","CHF"
"141","","2017","","bilanz","CHF"
"142","","2017","","bilanz","CHF"
"143","","2017","","bilanz","CHF"
"144","","2017","185639339.79","bilanz","CHF"
"145","","2017","578329062","bilanz","CHF"
"146","","2017","6622372.04","bilanz","CHF"
"147","","2017","","bilanz","CHF"
"148","","2017","","bilanz","CHF"
"200","","2017","393966520.32","bilanz","CHF"
"201","","2017","37732273.57","bilanz","CHF"
"204","","2017","76852878.23","bilanz","CHF"
"205","","2017","18930062.36","bilanz","CHF"
"206","","2017","455409097.29","bilanz","CHF"
"207","","2017","","bilanz","CHF"
"208","","2017","27437926.13","bilanz","CHF"
"209","","2017","265128619.18","bilanz","CHF"
"290","","2017","","bilanz","CHF"
"292","","2017","13422778.9","bilanz","CHF"
"293","","2017","34941373.85","bilanz","CHF"
"294","","2017","355366995.08","bilanz","CHF"
"295","","2017","","bilanz","CHF"
"296","","2017","","bilanz","CHF"
"298","","2017","","bilanz","CHF"
"299","","2017","233289904.63","bilanz","CHF"
"300","","2017","15073945.5","aufwand","CHF"
"301","","2017","252018691.95","aufwand","CHF"
"302","","2017","86560600.69","aufwand","CHF"
"303","","2017","3428500.64","aufwand","CHF"
"304","","2017","12510.55","aufwand","CHF"
"305","","2017","68979127.67","aufwand","CHF"
"306","","2017","1039763.58","aufwand","CHF"
"309","","2017","5546546.71","aufwand","CHF"
"310","","2017","30226621.19","aufwand","CHF"
"311","","2017","11486531.81","aufwand","CHF"
"312","","2017","4367420.7","aufwand","CHF"
"313","","2017","67145387.89","aufwand","CHF"
"314","","2017","12989973.3","aufwand","CHF"
"315","","2017","20885503.9","aufwand","CHF"
"316","","2017","20747018.25","aufwand","CHF"
"317","","2017","5258367.1","aufwand","CHF"
"318","","2017","281531.28","aufwand","CHF"
"319","","2017","6111958.5","aufwand","CHF"
"320","","2017","","aufwand","CHF"
"331","","2017","","aufwand","CHF"
"337","","2017","37073497.27","aufwand","CHF"
"338","","2017","","aufwand","CHF"
"340","","2017","3874717.28","aufwand","CHF"
"341","","2017","","aufwand","CHF"
"342","","2017","1402688.81","aufwand","CHF"
"343","","2017","170465.95","aufwand","CHF"
"344","","2017","120000","aufwand","CHF"
"349","","2017","459292.49","aufwand","CHF"
"350","","2017","28400014.26","aufwand","CHF"
"351","","2017","","aufwand","CHF"
"352","","2017","","aufwand","CHF"
"3600","","2017","","aufwand","CHF"
"36010","","2017","","aufwand","CHF"
"36011","","2017","","aufwand","CHF"
"36012","","2017","","aufwand","CHF"
"36013","","2017","","aufwand","CHF"
"36014","","2017","","aufwand","CHF"
"36015","","2017","","aufwand","CHF"
"36016","","2017","","aufwand","CHF"
"36017","","2017","","aufwand","CHF"
"36018","","2017","","aufwand","CHF"
"36019","","2017","","aufwand","CHF"
"36021","","2017","57418808.8","aufwand","CHF"
"36022","","2017","180100","aufwand","CHF"
"36023","","2017","121718.61","aufwand","CHF"
"36029","","2017","","aufwand","CHF"
"3603","","2017","","aufwand","CHF"
"3604","","2017","","aufwand","CHF"
"3610","","2017","","aufwand","CHF"
"3611","","2017","","aufwand","CHF"
"3612","","2017","14391856.11","aufwand","CHF"
"3613","","2017","","aufwand","CHF"
"3614","","2017","26000","aufwand","CHF"
"3620","","2017","","aufwand","CHF"
"36211","","2017","","aufwand","CHF"
"36212","","2017","","aufwand","CHF"
"36213","","2017","","aufwand","CHF"
"36214","","2017","3395476","aufwand","CHF"
"36215","","2017","","aufwand","CHF"
"36216","","2017","","aufwand","CHF"
"36217","","2017","","aufwand","CHF"
"36219","","2017","","aufwand","CHF"
"36221","","2017","","aufwand","CHF"
"36222","","2017","","aufwand","CHF"
"36223","","2017","","aufwand","CHF"
"36224","","2017","","aufwand","CHF"
"36225","","2017","11508345","aufwand","CHF"
"36226","","2017","","aufwand","CHF"
"36227","","2017","","aufwand","CHF"
"36228","","2017","","aufwand","CHF"
"3624","","2017","","aufwand","CHF"
"3629","","2017","","aufwand","CHF"
"3630","","2017","","aufwand","CHF"
"3631","","2017","71689455.53","aufwand","CHF"
"3632","","2017","75246395.29","aufwand","CHF"
"3633","","2017","7314903.3","aufwand","CHF"
"3634","","2017","361353377.87","aufwand","CHF"
"3635","","2017","265426050.3","aufwand","CHF"
"3636","","2017","214049233.61","aufwand","CHF"
"3637","","2017","132279027.95","aufwand","CHF"
"3638","","2017","150000","aufwand","CHF"
"3639","","2017","7604995","aufwand","CHF"
"364","","2017","","aufwand","CHF"
"365","","2017","","aufwand","CHF"
"366","","2017","","aufwand","CHF"
"369","","2017","","aufwand","CHF"
"380","","2017","","aufwand","CHF"
"381","","2017","","aufwand","CHF"
"383","","2017","","aufwand","CHF"
"384","","2017","","aufwand","CHF"
"3860","","2017","","aufwand","CHF"
"3861","","2017","","aufwand","CHF"
"3862","","2017","","aufwand","CHF"
"3863","","2017","","aufwand","CHF"
"3864","","2017","","aufwand","CHF"
"3865","","2017","","aufwand","CHF"
"3866","","2017","","aufwand","CHF"
"3867","","2017","","aufwand","CHF"
"3868","","2017","","aufwand","CHF"
"387","","2017","","aufwand","CHF"
"389","","2017","2493319","aufwand","CHF"
"4000","","2017","526501072.74","ertrag","CHF"
"4001","","2017","58136674.2","ertrag","CHF"
"4002","","2017","200498.25","ertrag","CHF"
"4008","","2017","","ertrag","CHF"
"4009","","2017","","ertrag","CHF"
"4010","","2017","72278790.8","ertrag","CHF"
"4011","","2017","730088.78","ertrag","CHF"
"4012","","2017","","ertrag","CHF"
"4019","","2017","","ertrag","CHF"
"4020","","2017","","ertrag","CHF"
"4021","","2017","28033069.9","ertrag","CHF"
"4022","","2017","60771052.9","ertrag","CHF"
"4023","","2017","26795472.32","ertrag","CHF"
"4024","","2017","13957337.35","ertrag","CHF"
"4025","","2017","","ertrag","CHF"
"4030","","2017","60482084.17","ertrag","CHF"
"4031","","2017","3349671","ertrag","CHF"
"4032","","2017","","ertrag","CHF"
"4033","","2017","","ertrag","CHF"
"4039","","2017","109430.1","ertrag","CHF"
"4040","","2017","","ertrag","CHF"
"4041","","2017","","ertrag","CHF"
"4042","","2017","","ertrag","CHF"
"4043","","2017","","ertrag","CHF"
"4044","","2017","","ertrag","CHF"
"4045","","2017","","ertrag","CHF"
"4046","","2017","","ertrag","CHF"
"4047","","2017","","ertrag","CHF"
"4049","","2017","","ertrag","CHF"
"4050","","2017","","ertrag","CHF"
"4051","","2017","","ertrag","CHF"
"4052","","2017","","ertrag","CHF"
"4053","","2017","","ertrag","CHF"
"4059","","2017","","ertrag","CHF"
"4060","","2017","","ertrag","CHF"
"4070","","2017","","ertrag","CHF"
"4071","","2017","","ertrag","CHF"
"4072","","2017","","ertrag","CHF"
"4079","","2017","","ertrag","CHF"
"410","","2017","28515.85","ertrag","CHF"
"411","","2017","36976931","ertrag","CHF"
"412","","2017","368838.7","ertrag","CHF"
"413","","2017","15200482","ertrag","CHF"
"420","","2017","1713889.6","ertrag","CHF"
"421","","2017","86740359.85","ertrag","CHF"
"422","","2017","7812520.9","ertrag","CHF"
"423","","2017","12278292.26","ertrag","CHF"
"424","","2017","16112435.82","ertrag","CHF"
"425","","2017","13907350.35","ertrag","CHF"
"426","","2017","6062653.52","ertrag","CHF"
"427","","2017","11161519.32","ertrag","CHF"
"429","","2017","1276727.55","ertrag","CHF"
"430","","2017","7068728.61","ertrag","CHF"
"431","","2017","","ertrag","CHF"
"432","","2017","","ertrag","CHF"
"439","","2017","356772.34","ertrag","CHF"
"440","","2017","966968.97","ertrag","CHF"
"441","","2017","671999.5","ertrag","CHF"
"442","","2017","6661451.7","ertrag","CHF"
"443","","2017","373456","ertrag","CHF"
"444","","2017","311956.7","ertrag","CHF"
"445","","2017","75000","ertrag","CHF"
"446","","2017","53042500","ertrag","CHF"
"447","","2017","5850143.17","ertrag","CHF"
"448","","2017","","ertrag","CHF"
"449","","2017","4500","ertrag","CHF"
"450","","2017","15431666.76","ertrag","CHF"
"451","","2017","","ertrag","CHF"
"452","","2017","","ertrag","CHF"
"46000","","2017","58607531","ertrag","CHF"
"46001","","2017","30714890.32","ertrag","CHF"
"46002","","2017","1184145","ertrag","CHF"
"46003","","2017","800566","ertrag","CHF"
"46004","","2017","","ertrag","CHF"
"46005","","2017","12859402.98","ertrag","CHF"
"46006","","2017","","ertrag","CHF"
"46007","","2017","60087","ertrag","CHF"
"46008","","2017","13389407.5","ertrag","CHF"
"46009","","2017","21200","ertrag","CHF"
"46010","","2017","","ertrag","CHF"
"46011","","2017","","ertrag","CHF"
"46012","","2017","","ertrag","CHF"
"46019","","2017","","ertrag","CHF"
"4603","","2017","","ertrag","CHF"
"4604","","2017","","ertrag","CHF"
"4610","","2017","36143071.35","ertrag","CHF"
"4611","","2017","961405","ertrag","CHF"
"4612","","2017","267455","ertrag","CHF"
"4613","","2017","15373849.88","ertrag","CHF"
"4614","","2017","533496.95","ertrag","CHF"
"46201","","2017","134371806.76","ertrag","CHF"
"46202","","2017","","ertrag","CHF"
"46203","","2017","3751822","ertrag","CHF"
