"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2022","55564431.65","bilanz","ktn_tg","CHF","fs"
"101","","2022","354302934.15","bilanz","ktn_tg","CHF","fs"
"102","","2022","2e+08","bilanz","ktn_tg","CHF","fs"
"104","","2022","61861247.75","bilanz","ktn_tg","CHF","fs"
"106","","2022","3119549.75","bilanz","ktn_tg","CHF","fs"
"107","","2022","185146534","bilanz","ktn_tg","CHF","fs"
"108","","2022","99022163.12","bilanz","ktn_tg","CHF","fs"
"109","","2022","","bilanz","ktn_tg","CHF","fs"
"140","","2022","323411526.35","bilanz","ktn_tg","CHF","fs"
"141","","2022","","bilanz","ktn_tg","CHF","fs"
"142","","2022","10050149.16","bilanz","ktn_tg","CHF","fs"
"143","","2022","","bilanz","ktn_tg","CHF","fs"
"144","","2022","188905293.61","bilanz","ktn_tg","CHF","fs"
"145","","2022","580921151.91","bilanz","ktn_tg","CHF","fs"
"146","","2022","8086574.85","bilanz","ktn_tg","CHF","fs"
"147","","2022","","bilanz","ktn_tg","CHF","fs"
"148","","2022","","bilanz","ktn_tg","CHF","fs"
"200","","2022","263585218.43","bilanz","ktn_tg","CHF","fs"
"201","","2022","1552016","bilanz","ktn_tg","CHF","fs"
"204","","2022","71882871.65","bilanz","ktn_tg","CHF","fs"
"205","","2022","86625807.11","bilanz","ktn_tg","CHF","fs"
"206","","2022","330914980.9","bilanz","ktn_tg","CHF","fs"
"207","","2022","","bilanz","ktn_tg","CHF","fs"
"208","","2022","21727736.96","bilanz","ktn_tg","CHF","fs"
"209","","2022","415119916.24","bilanz","ktn_tg","CHF","fs"
"290","","2022","86730.37","bilanz","ktn_tg","CHF","fs"
"292","","2022","11808962.38","bilanz","ktn_tg","CHF","fs"
"293","","2022","30485960.85","bilanz","ktn_tg","CHF","fs"
"294","","2022","3e+06","bilanz","ktn_tg","CHF","fs"
"295","","2022","","bilanz","ktn_tg","CHF","fs"
"296","","2022","","bilanz","ktn_tg","CHF","fs"
