"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","103508328","bilanz","ktn_ti","CHF","fs"
"101","","2017","483829424","bilanz","ktn_ti","CHF","fs"
"102","","2017","1e+08","bilanz","ktn_ti","CHF","fs"
"104","","2017","1424942422","bilanz","ktn_ti","CHF","fs"
"106","","2017","1362395","bilanz","ktn_ti","CHF","fs"
"107","","2017","131352000","bilanz","ktn_ti","CHF","fs"
"108","","2017","6473792","bilanz","ktn_ti","CHF","fs"
"109","","2017","424308070","bilanz","ktn_ti","CHF","fs"
"140","","2017","810457333","bilanz","ktn_ti","CHF","fs"
"141","","2017","","bilanz","ktn_ti","CHF","fs"
"142","","2017","2085827","bilanz","ktn_ti","CHF","fs"
"143","","2017","463825053","bilanz","ktn_ti","CHF","fs"
"144","","2017","","bilanz","ktn_ti","CHF","fs"
"145","","2017","","bilanz","ktn_ti","CHF","fs"
"146","","2017","246367625","bilanz","ktn_ti","CHF","fs"
"147","","2017","","bilanz","ktn_ti","CHF","fs"
"148","","2017","","bilanz","ktn_ti","CHF","fs"
"200","","2017","410697505","bilanz","ktn_ti","CHF","fs"
"201","","2017","383423567","bilanz","ktn_ti","CHF","fs"
"204","","2017","908049407","bilanz","ktn_ti","CHF","fs"
"205","","2017","23795893","bilanz","ktn_ti","CHF","fs"
"206","","2017","2655778070","bilanz","ktn_ti","CHF","fs"
"207","","2017","","bilanz","ktn_ti","CHF","fs"
"208","","2017","85731513","bilanz","ktn_ti","CHF","fs"
"209","","2017","120484324","bilanz","ktn_ti","CHF","fs"
"290","","2017","","bilanz","ktn_ti","CHF","fs"
"292","","2017","9126885","bilanz","ktn_ti","CHF","fs"
"293","","2017","","bilanz","ktn_ti","CHF","fs"
"294","","2017","","bilanz","ktn_ti","CHF","fs"
"295","","2017","","bilanz","ktn_ti","CHF","fs"
"296","","2017","","bilanz","ktn_ti","CHF","fs"
"298","","2017","1.1e+07","bilanz","ktn_ti","CHF","fs"
"299","","2017","-409574895","bilanz","ktn_ti","CHF","fs"
"empty","","2017","","er","ktn_ti","CHF","fs"
"empty","","2017","","er","ktn_ti","CHF","fs"
"empty","","2017","","er","ktn_ti","CHF","fs"
"empty","","2017","","er","ktn_ti","CHF","fs"
"300","","2017","21217840.55","aufwand","ktn_ti","CHF","fs"
"301","","2017","482775393.92","aufwand","ktn_ti","CHF","fs"
"302","","2017","427290848.59","aufwand","ktn_ti","CHF","fs"
"303","","2017","","aufwand","ktn_ti","CHF","fs"
"304","","2017","324814.42","aufwand","ktn_ti","CHF","fs"
"305","","2017","197772567.5","aufwand","ktn_ti","CHF","fs"
"306","","2017","9227595","aufwand","ktn_ti","CHF","fs"
"309","","2017","6734699.87","aufwand","ktn_ti","CHF","fs"
"310","","2017","32527053.26","aufwand","ktn_ti","CHF","fs"
"311","","2017","26052295.67","aufwand","ktn_ti","CHF","fs"
"312","","2017","16941431.21","aufwand","ktn_ti","CHF","fs"
"313","","2017","141854639.48","aufwand","ktn_ti","CHF","fs"
"314","","2017","48688380.71","aufwand","ktn_ti","CHF","fs"
"315","","2017","21380556.83","aufwand","ktn_ti","CHF","fs"
"316","","2017","19544125.48","aufwand","ktn_ti","CHF","fs"
"317","","2017","10499985.04","aufwand","ktn_ti","CHF","fs"
"318","","2017","26920630.61","aufwand","ktn_ti","CHF","fs"
"319","","2017","29467522.84","aufwand","ktn_ti","CHF","fs"
"320","","2017","","aufwand","ktn_ti","CHF","fs"
"331","","2017","","aufwand","ktn_ti","CHF","fs"
"337","","2017","105104038.15","aufwand","ktn_ti","CHF","fs"
"338","","2017","","aufwand","ktn_ti","CHF","fs"
"340","","2017","23847679.12","aufwand","ktn_ti","CHF","fs"
"341","","2017","3797.69","aufwand","ktn_ti","CHF","fs"
"342","","2017","433550.38","aufwand","ktn_ti","CHF","fs"
"343","","2017","567","aufwand","ktn_ti","CHF","fs"
"344","","2017","","aufwand","ktn_ti","CHF","fs"
"349","","2017","3807824.36","aufwand","ktn_ti","CHF","fs"
"350","","2017","20844326.2","aufwand","ktn_ti","CHF","fs"
"351","","2017","","aufwand","ktn_ti","CHF","fs"
"352","","2017","","aufwand","ktn_ti","CHF","fs"
"3600","","2017","","aufwand","ktn_ti","CHF","fs"
"36010","","2017","","aufwand","ktn_ti","CHF","fs"
"36011","","2017","","aufwand","ktn_ti","CHF","fs"
"36012","","2017","","aufwand","ktn_ti","CHF","fs"
"36013","","2017","","aufwand","ktn_ti","CHF","fs"
"36014","","2017","","aufwand","ktn_ti","CHF","fs"
"36015","","2017","","aufwand","ktn_ti","CHF","fs"
"36016","","2017","","aufwand","ktn_ti","CHF","fs"
"36017","","2017","","aufwand","ktn_ti","CHF","fs"
"36018","","2017","","aufwand","ktn_ti","CHF","fs"
"36019","","2017","","aufwand","ktn_ti","CHF","fs"
"36021","","2017","4370775.95","aufwand","ktn_ti","CHF","fs"
"36022","","2017","105441.3","aufwand","ktn_ti","CHF","fs"
"36023","","2017","233900.3","aufwand","ktn_ti","CHF","fs"
"36029","","2017","","aufwand","ktn_ti","CHF","fs"
"3603","","2017","","aufwand","ktn_ti","CHF","fs"
