"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","37685787.02","bilanz","ktn_ur","CHF","fs"
"101","","2016","63565066.94","bilanz","ktn_ur","CHF","fs"
"102","","2016","1.5e+07","bilanz","ktn_ur","CHF","fs"
"104","","2016","17032793.27","bilanz","ktn_ur","CHF","fs"
"106","","2016","1352406.2","bilanz","ktn_ur","CHF","fs"
"107","","2016","6181720.8","bilanz","ktn_ur","CHF","fs"
"108","","2016","16009840","bilanz","ktn_ur","CHF","fs"
"109","","2016","","bilanz","ktn_ur","CHF","fs"
"140","","2016","128259985.35","bilanz","ktn_ur","CHF","fs"
"141","","2016","","bilanz","ktn_ur","CHF","fs"
"142","","2016","547395.3","bilanz","ktn_ur","CHF","fs"
"143","","2016","","bilanz","ktn_ur","CHF","fs"
"144","","2016","25979788.45","bilanz","ktn_ur","CHF","fs"
"145","","2016","48223550","bilanz","ktn_ur","CHF","fs"
"146","","2016","32266933.01","bilanz","ktn_ur","CHF","fs"
"147","","2016","","bilanz","ktn_ur","CHF","fs"
"148","","2016","","bilanz","ktn_ur","CHF","fs"
"200","","2016","32430963.4","bilanz","ktn_ur","CHF","fs"
"201","","2016","2e+06","bilanz","ktn_ur","CHF","fs"
"204","","2016","11225790.27","bilanz","ktn_ur","CHF","fs"
"205","","2016","5434267.55","bilanz","ktn_ur","CHF","fs"
"206","","2016","74437266.8","bilanz","ktn_ur","CHF","fs"
"207","","2016","","bilanz","ktn_ur","CHF","fs"
"208","","2016","11080811.2","bilanz","ktn_ur","CHF","fs"
"209","","2016","3429047.9","bilanz","ktn_ur","CHF","fs"
"290","","2016","23347149.41","bilanz","ktn_ur","CHF","fs"
"292","","2016","","bilanz","ktn_ur","CHF","fs"
"293","","2016","1276414","bilanz","ktn_ur","CHF","fs"
"294","","2016","","bilanz","ktn_ur","CHF","fs"
"295","","2016","","bilanz","ktn_ur","CHF","fs"
"296","","2016","","bilanz","ktn_ur","CHF","fs"
"298","","2016","","bilanz","ktn_ur","CHF","fs"
"299","","2016","227443555.81","bilanz","ktn_ur","CHF","fs"
"empty","","2016","","er","ktn_ur","CHF","fs"
"empty","","2016","","er","ktn_ur","CHF","fs"
"empty","","2016","","er","ktn_ur","CHF","fs"
"empty","","2016","","er","ktn_ur","CHF","fs"
"300","","2016","2714980.75","aufwand","ktn_ur","CHF","fs"
"301","","2016","68019237.8","aufwand","ktn_ur","CHF","fs"
"302","","2016","11301638.75","aufwand","ktn_ur","CHF","fs"
"303","","2016","","aufwand","ktn_ur","CHF","fs"
"304","","2016","1541091.9","aufwand","ktn_ur","CHF","fs"
"305","","2016","16832234.1","aufwand","ktn_ur","CHF","fs"
"306","","2016","1536141.65","aufwand","ktn_ur","CHF","fs"
"309","","2016","1416026.02","aufwand","ktn_ur","CHF","fs"
"310","","2016","6495200.41","aufwand","ktn_ur","CHF","fs"
"311","","2016","3317311.22","aufwand","ktn_ur","CHF","fs"
"312","","2016","5731020.94","aufwand","ktn_ur","CHF","fs"
"313","","2016","25485311.67","aufwand","ktn_ur","CHF","fs"
