"arten","funk","jahr","value","dim","unit"
"100","","2020","20126263.15","bilanz","CHF"
"101","","2020","68420231.79","bilanz","CHF"
"102","","2020","","bilanz","CHF"
"104","","2020","13595135.99","bilanz","CHF"
"106","","2020","2568875","bilanz","CHF"
"107","","2020","8663363.4","bilanz","CHF"
"108","","2020","22477432.35","bilanz","CHF"
"109","","2020","","bilanz","CHF"
"140","","2020","216428108","bilanz","CHF"
"141","","2020","","bilanz","CHF"
"142","","2020","2145639.63","bilanz","CHF"
"143","","2020","","bilanz","CHF"
"144","","2020","74085435.2","bilanz","CHF"
"145","","2020","52012589","bilanz","CHF"
"146","","2020","36637260.65","bilanz","CHF"
"147","","2020","","bilanz","CHF"
"148","","2020","","bilanz","CHF"
"200","","2020","69408745.64","bilanz","CHF"
"201","","2020","27585937.7","bilanz","CHF"
"204","","2020","21386300.4","bilanz","CHF"
"205","","2020","8038766.6","bilanz","CHF"
"206","","2020","98794454.15","bilanz","CHF"
"207","","2020","","bilanz","CHF"
"208","","2020","14662384.4","bilanz","CHF"
"209","","2020","3320207.51","bilanz","CHF"
"290","","2020","39751381.36","bilanz","CHF"
"292","","2020","","bilanz","CHF"
"293","","2020","","bilanz","CHF"
"294","","2020","","bilanz","CHF"
"295","","2020","","bilanz","CHF"
"296","","2020","","bilanz","CHF"
"298","","2020","","bilanz","CHF"
"299","","2020","234212156.4","bilanz","CHF"
"300","","2020","2519611.85","aufwand","CHF"
"301","","2020","68973269.35","aufwand","CHF"
"302","","2020","11592809.15","aufwand","CHF"
"303","","2020","","aufwand","CHF"
"304","","2020","1487297.75","aufwand","CHF"
"305","","2020","17619262.1","aufwand","CHF"
"306","","2020","745200","aufwand","CHF"
"309","","2020","1123773.53","aufwand","CHF"
"310","","2020","5232648.47","aufwand","CHF"
"311","","2020","4365519.8","aufwand","CHF"
"312","","2020","4841527.04","aufwand","CHF"
"313","","2020","23813935.55","aufwand","CHF"
"314","","2020","9314215.33","aufwand","CHF"
"315","","2020","5281203.5","aufwand","CHF"
"316","","2020","1094207.48","aufwand","CHF"
"317","","2020","1083057.89","aufwand","CHF"
"318","","2020","1303719.5","aufwand","CHF"
"319","","2020","626924.58","aufwand","CHF"
"320","","2020","","aufwand","CHF"
"331","","2020","","aufwand","CHF"
"337","","2020","8608378.9","aufwand","CHF"
"338","","2020","","aufwand","CHF"
"340","","2020","389786.25","aufwand","CHF"
"341","","2020","304.23","aufwand","CHF"
"342","","2020","33065.16","aufwand","CHF"
"343","","2020","210525.65","aufwand","CHF"
"344","","2020","97020","aufwand","CHF"
"349","","2020","39007.3","aufwand","CHF"
"350","","2020","318161.05","aufwand","CHF"
"351","","2020","5582625.2","aufwand","CHF"
"352","","2020","","aufwand","CHF"
"3600","","2020","","aufwand","CHF"
"36010","","2020","","aufwand","CHF"
"36011","","2020","","aufwand","CHF"
"36012","","2020","","aufwand","CHF"
"36013","","2020","","aufwand","CHF"
"36014","","2020","","aufwand","CHF"
"36015","","2020","","aufwand","CHF"
"36016","","2020","","aufwand","CHF"
"36017","","2020","","aufwand","CHF"
"36018","","2020","","aufwand","CHF"
"36019","","2020","","aufwand","CHF"
"36021","","2020","3972079","aufwand","CHF"
"36022","","2020","256020.85","aufwand","CHF"
"36023","","2020","","aufwand","CHF"
"36029","","2020","794100","aufwand","CHF"
"3603","","2020","","aufwand","CHF"
"3604","","2020","","aufwand","CHF"
"3610","","2020","","aufwand","CHF"
"3611","","2020","5326149.3","aufwand","CHF"
"3612","","2020","185336.75","aufwand","CHF"
"3613","","2020","","aufwand","CHF"
"3614","","2020","387720","aufwand","CHF"
"3620","","2020","","aufwand","CHF"
"36211","","2020","","aufwand","CHF"
"36212","","2020","","aufwand","CHF"
"36213","","2020","","aufwand","CHF"
"36214","","2020","419392","aufwand","CHF"
"36215","","2020","","aufwand","CHF"
"36216","","2020","","aufwand","CHF"
"36217","","2020","","aufwand","CHF"
