"arten","funk","jahr","value","dim","unit"
"100","","2015","2196960068.41","bilanz","CHF"
"101","","2015","2172604082.55","bilanz","CHF"
"102","","2015","","bilanz","CHF"
"104","","2015","647447143.57","bilanz","CHF"
"106","","2015","16115321.07","bilanz","CHF"
"107","","2015","371411935.33","bilanz","CHF"
"108","","2015","39547932.5","bilanz","CHF"
"109","","2015","","bilanz","CHF"
"140","","2015","1347780040.23","bilanz","CHF"
"141","","2015","","bilanz","CHF"
"142","","2015","-1383687.24","bilanz","CHF"
"143","","2015","","bilanz","CHF"
"144","","2015","370475286","bilanz","CHF"
"145","","2015","9011975","bilanz","CHF"
"146","","2015","114366050.75","bilanz","CHF"
"147","","2015","","bilanz","CHF"
"148","","2015","","bilanz","CHF"
"200","","2015","1783066744.91","bilanz","CHF"
"201","","2015","167807919.03","bilanz","CHF"
"204","","2015","1198493370.48","bilanz","CHF"
"205","","2015","","bilanz","CHF"
"206","","2015","1882803221.71","bilanz","CHF"
"207","","2015","","bilanz","CHF"
"208","","2015","55075404.85","bilanz","CHF"
"209","","2015","17009580.3","bilanz","CHF"
"290","","2015","264034342.44","bilanz","CHF"
"292","","2015","","bilanz","CHF"
"293","","2015","766576428.52","bilanz","CHF"
"294","","2015","","bilanz","CHF"
"295","","2015","","bilanz","CHF"
"296","","2015","","bilanz","CHF"
"298","","2015","","bilanz","CHF"
"299","","2015","1149469135.93","bilanz","CHF"
"300","","2015","16229873.96","aufwand","CHF"
"301","","2015","910929606.03","aufwand","CHF"
"302","","2015","1345679606.86","aufwand","CHF"
"303","","2015","35061236.49","aufwand","CHF"
"304","","2015","23182999.19","aufwand","CHF"
"305","","2015","472875941.33","aufwand","CHF"
"306","","2015","5190519.4","aufwand","CHF"
"309","","2015","19235800.58","aufwand","CHF"
"310","","2015","95077246.64","aufwand","CHF"
"311","","2015","50856783.07","aufwand","CHF"
"312","","2015","26444950.62","aufwand","CHF"
"313","","2015","288621205.05","aufwand","CHF"
"314","","2015","98076753.01","aufwand","CHF"
"315","","2015","79875651.17","aufwand","CHF"
"316","","2015","70020568.84","aufwand","CHF"
"317","","2015","26706443.62","aufwand","CHF"
"318","","2015","154761045.65","aufwand","CHF"
"319","","2015","49356836.96","aufwand","CHF"
"320","","2015","","aufwand","CHF"
"331","","2015","","aufwand","CHF"
"337","","2015","142745965.07","aufwand","CHF"
"338","","2015","40513872.1","aufwand","CHF"
"340","","2015","63197778.31","aufwand","CHF"
"341","","2015","-137895.54","aufwand","CHF"
"342","","2015","141099.82","aufwand","CHF"
"343","","2015","83000","aufwand","CHF"
"344","","2015","","aufwand","CHF"
"349","","2015","-4074.82","aufwand","CHF"
"350","","2015","1594990.53","aufwand","CHF"
"351","","2015","37058378.08","aufwand","CHF"
"352","","2015","","aufwand","CHF"
"3600","","2015","","aufwand","CHF"
"36010","","2015","","aufwand","CHF"
"36011","","2015","","aufwand","CHF"
"36012","","2015","","aufwand","CHF"
"36013","","2015","","aufwand","CHF"
"36014","","2015","","aufwand","CHF"
"36015","","2015","","aufwand","CHF"
"36016","","2015","","aufwand","CHF"
"36017","","2015","","aufwand","CHF"
