"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2022","3831531706.77","bilanz","ktn_vd","CHF","fs"
"101","","2022","2634772547.47","bilanz","ktn_vd","CHF","fs"
"102","","2022","8e+08","bilanz","ktn_vd","CHF","fs"
"104","","2022","584027597.08","bilanz","ktn_vd","CHF","fs"
"106","","2022","15968326.37","bilanz","ktn_vd","CHF","fs"
"107","","2022","802383237.58","bilanz","ktn_vd","CHF","fs"
"108","","2022","64158629.57","bilanz","ktn_vd","CHF","fs"
"109","","2022","","bilanz","ktn_vd","CHF","fs"
"140","","2022","1538625584.81","bilanz","ktn_vd","CHF","fs"
"141","","2022","","bilanz","ktn_vd","CHF","fs"
"142","","2022","100939054.1","bilanz","ktn_vd","CHF","fs"
"143","","2022","","bilanz","ktn_vd","CHF","fs"
"144","","2022","286028052.88","bilanz","ktn_vd","CHF","fs"
"145","","2022","9011975","bilanz","ktn_vd","CHF","fs"
"146","","2022","339538932.81","bilanz","ktn_vd","CHF","fs"
"147","","2022","","bilanz","ktn_vd","CHF","fs"
"148","","2022","-257359144.97","bilanz","ktn_vd","CHF","fs"
"200","","2022","1543978426.24","bilanz","ktn_vd","CHF","fs"
"201","","2022","187009589.61","bilanz","ktn_vd","CHF","fs"
"204","","2022","3052098677.45","bilanz","ktn_vd","CHF","fs"
"205","","2022","49552011.51","bilanz","ktn_vd","CHF","fs"
"206","","2022","703536164.01","bilanz","ktn_vd","CHF","fs"
"207","","2022","","bilanz","ktn_vd","CHF","fs"
"208","","2022","","bilanz","ktn_vd","CHF","fs"
"209","","2022","96181554.19","bilanz","ktn_vd","CHF","fs"
"290","","2022","775044741.48","bilanz","ktn_vd","CHF","fs"
"292","","2022","","bilanz","ktn_vd","CHF","fs"
"293","","2022","1357497061.62","bilanz","ktn_vd","CHF","fs"
"294","","2022","4.56e+08","bilanz","ktn_vd","CHF","fs"
"295","","2022","","bilanz","ktn_vd","CHF","fs"
"296","","2022","","bilanz","ktn_vd","CHF","fs"
"298","","2022","","bilanz","ktn_vd","CHF","fs"
"299","","2022","2528728273.36","bilanz","ktn_vd","CHF","fs"
"empty","","2022","","er","ktn_vd","CHF","fs"
"empty","","2022","","er","ktn_vd","CHF","fs"
"empty","","2022","","er","ktn_vd","CHF","fs"
"empty","","2022","","er","ktn_vd","CHF","fs"
"300","","2022","16534842","aufwand","ktn_vd","CHF","fs"
"301","","2022","1032244054.5","aufwand","ktn_vd","CHF","fs"
"302","","2022","1616993932.07","aufwand","ktn_vd","CHF","fs"
"303","","2022","74056552.68","aufwand","ktn_vd","CHF","fs"
"304","","2022","23497269.14","aufwand","ktn_vd","CHF","fs"
"305","","2022","585232464.5","aufwand","ktn_vd","CHF","fs"
"306","","2022","5510199.05","aufwand","ktn_vd","CHF","fs"
"309","","2022","20119643.12","aufwand","ktn_vd","CHF","fs"
"310","","2022","90288183.29","aufwand","ktn_vd","CHF","fs"
"311","","2022","64335317.16","aufwand","ktn_vd","CHF","fs"
"312","","2022","27743889.58","aufwand","ktn_vd","CHF","fs"
"313","","2022","334391477.54","aufwand","ktn_vd","CHF","fs"
"314","","2022","87674379.61","aufwand","ktn_vd","CHF","fs"
"315","","2022","96978136.85","aufwand","ktn_vd","CHF","fs"
"316","","2022","81633295.51","aufwand","ktn_vd","CHF","fs"
"317","","2022","24314903.76","aufwand","ktn_vd","CHF","fs"
"318","","2022","107183594.53","aufwand","ktn_vd","CHF","fs"
"319","","2022","54215322.15","aufwand","ktn_vd","CHF","fs"
"320","","2022","","aufwand","ktn_vd","CHF","fs"
"331","","2022","","aufwand","ktn_vd","CHF","fs"
"337","","2022","184864669.84","aufwand","ktn_vd","CHF","fs"
"338","","2022","126169.6","aufwand","ktn_vd","CHF","fs"
"340","","2022","12595448.01","aufwand","ktn_vd","CHF","fs"
"341","","2022","524823.81","aufwand","ktn_vd","CHF","fs"
"342","","2022","161094.6","aufwand","ktn_vd","CHF","fs"
"343","","2022","","aufwand","ktn_vd","CHF","fs"
