"arten","funk","jahr","value","dim","unit"
"100","","2015","237402379.47","bilanz","CHF"
"101","","2015","1071111053.02","bilanz","CHF"
"102","","2015","10000","bilanz","CHF"
"104","","2015","555136014.46","bilanz","CHF"
"106","","2015","9018061.31","bilanz","CHF"
"107","","2015","98385800","bilanz","CHF"
"108","","2015","9650675.05","bilanz","CHF"
"109","","2015","7496085.33","bilanz","CHF"
"140","","2015","567673821.29","bilanz","CHF"
"141","","2015","","bilanz","CHF"
"142","","2015","","bilanz","CHF"
"143","","2015","432077458.26","bilanz","CHF"
"144","","2015","","bilanz","CHF"
"145","","2015","","bilanz","CHF"
"146","","2015","186902411","bilanz","CHF"
"147","","2015","","bilanz","CHF"
"148","","2015","","bilanz","CHF"
"200","","2015","887896058.87","bilanz","CHF"
"201","","2015","382170691.5","bilanz","CHF"
"204","","2015","289656781.2","bilanz","CHF"
"205","","2015","","bilanz","CHF"
"206","","2015","858954106.39","bilanz","CHF"
"207","","2015","","bilanz","CHF"
"208","","2015","89357731.23","bilanz","CHF"
"209","","2015","622853297.21","bilanz","CHF"
"290","","2015","17071","bilanz","CHF"
"292","","2015","5922788","bilanz","CHF"
"293","","2015","","bilanz","CHF"
"294","","2015","","bilanz","CHF"
"295","","2015","","bilanz","CHF"
"296","","2015","","bilanz","CHF"
"298","","2015","","bilanz","CHF"
"299","","2015","38035233.79","bilanz","CHF"
"300","","2015","17068115.65","aufwand","CHF"
"301","","2015","358314570.3","aufwand","CHF"
"302","","2015","438005105.45","aufwand","CHF"
"303","","2015","1303186.95","aufwand","CHF"
"304","","2015","1021489.95","aufwand","CHF"
"305","","2015","177942068.39","aufwand","CHF"
"306","","2015","10577581.25","aufwand","CHF"
"309","","2015","2870825.7","aufwand","CHF"
"310","","2015","37039223.43","aufwand","CHF"
"311","","2015","10255177.68","aufwand","CHF"
"312","","2015","9099328.08999999","aufwand","CHF"
"313","","2015","80076395.12","aufwand","CHF"
"314","","2015","53348229.6","aufwand","CHF"
"315","","2015","11338111.96","aufwand","CHF"
"316","","2015","22649385.85","aufwand","CHF"
"317","","2015","10089878.31","aufwand","CHF"
"318","","2015","28669249.94","aufwand","CHF"
"319","","2015","6008168.59","aufwand","CHF"
"320","","2015","","aufwand","CHF"
"331","","2015","","aufwand","CHF"
"337","","2015","185231701.06","aufwand","CHF"
"338","","2015","","aufwand","CHF"
"340","","2015","30017179.28","aufwand","CHF"
"341","","2015","1826715.74","aufwand","CHF"
"342","","2015","","aufwand","CHF"
"343","","2015","","aufwand","CHF"
"344","","2015","482924.78","aufwand","CHF"
"349","","2015","","aufwand","CHF"
"350","","2015","","aufwand","CHF"
"351","","2015","","aufwand","CHF"
"352","","2015","78723510.1","aufwand","CHF"
"3600","","2015","","aufwand","CHF"
"36010","","2015","","aufwand","CHF"
"36011","","2015","","aufwand","CHF"
"36012","","2015","","aufwand","CHF"
