"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2023","135394252.54","bilanz","ktn_vs","CHF","fs"
"101","","2023","1214221341.93","bilanz","ktn_vs","CHF","fs"
"102","","2023","176415923","bilanz","ktn_vs","CHF","fs"
"104","","2023","454049765.1","bilanz","ktn_vs","CHF","fs"
"106","","2023","8662087.68","bilanz","ktn_vs","CHF","fs"
"107","","2023","837049028.99","bilanz","ktn_vs","CHF","fs"
"108","","2023","323400","bilanz","ktn_vs","CHF","fs"
"109","","2023","601391","bilanz","ktn_vs","CHF","fs"
"140","","2023","565813701.59","bilanz","ktn_vs","CHF","fs"
"141","","2023","","bilanz","ktn_vs","CHF","fs"
"142","","2023","3268420","bilanz","ktn_vs","CHF","fs"
"143","","2023","","bilanz","ktn_vs","CHF","fs"
"144","","2023","209947497.91","bilanz","ktn_vs","CHF","fs"
"145","","2023","1036937717.75","bilanz","ktn_vs","CHF","fs"
"146","","2023","238212550","bilanz","ktn_vs","CHF","fs"
"147","","2023","","bilanz","ktn_vs","CHF","fs"
"148","","2023","","bilanz","ktn_vs","CHF","fs"
"200","","2023","769704123.3","bilanz","ktn_vs","CHF","fs"
"201","","2023","324692140.65","bilanz","ktn_vs","CHF","fs"
"204","","2023","264047473.61","bilanz","ktn_vs","CHF","fs"
"205","","2023","74953517.95","bilanz","ktn_vs","CHF","fs"
"206","","2023","2087598920.62","bilanz","ktn_vs","CHF","fs"
"207","","2023","","bilanz","ktn_vs","CHF","fs"
"208","","2023","265616766.95","bilanz","ktn_vs","CHF","fs"
"209","","2023","46922064.87","bilanz","ktn_vs","CHF","fs"
"290","","2023","175075771.95","bilanz","ktn_vs","CHF","fs"
"292","","2023","45113575.96","bilanz","ktn_vs","CHF","fs"
"293","","2023","293693452.1","bilanz","ktn_vs","CHF","fs"
"294","","2023","437387909.22","bilanz","ktn_vs","CHF","fs"
"295","","2023","","bilanz","ktn_vs","CHF","fs"
"296","","2023","","bilanz","ktn_vs","CHF","fs"
"298","","2023","","bilanz","ktn_vs","CHF","fs"
"299","","2023","96091360.31","bilanz","ktn_vs","CHF","fs"
"empty","","2023","","er","ktn_vs","CHF","fs"
"empty","","2023","","er","ktn_vs","CHF","fs"
"empty","","2023","","er","ktn_vs","CHF","fs"
"empty","","2023","","er","ktn_vs","CHF","fs"
"300","","2023","19355802.9","aufwand","ktn_vs","CHF","fs"
"301","","2023","467310209.09","aufwand","ktn_vs","CHF","fs"
"302","","2023","515490350.69","aufwand","ktn_vs","CHF","fs"
"303","","2023","","aufwand","ktn_vs","CHF","fs"
"304","","2023","23212.3","aufwand","ktn_vs","CHF","fs"
"305","","2023","218984455.78","aufwand","ktn_vs","CHF","fs"
"306","","2023","7891912.6","aufwand","ktn_vs","CHF","fs"
"309","","2023","5680836.5","aufwand","ktn_vs","CHF","fs"
"310","","2023","43294715.34","aufwand","ktn_vs","CHF","fs"
"311","","2023","29403099.06","aufwand","ktn_vs","CHF","fs"
"312","","2023","7685192.33","aufwand","ktn_vs","CHF","fs"
"313","","2023","123858239.79","aufwand","ktn_vs","CHF","fs"
"314","","2023","85129027.35","aufwand","ktn_vs","CHF","fs"
"315","","2023","20584541.89","aufwand","ktn_vs","CHF","fs"
"316","","2023","93732065.4100001","aufwand","ktn_vs","CHF","fs"
"317","","2023","9894620.75","aufwand","ktn_vs","CHF","fs"
"318","","2023","29213915.42","aufwand","ktn_vs","CHF","fs"
"319","","2023","9734110.29","aufwand","ktn_vs","CHF","fs"
"320","","2023","","aufwand","ktn_vs","CHF","fs"
"331","","2023","","aufwand","ktn_vs","CHF","fs"
"337","","2023","56683516.99","aufwand","ktn_vs","CHF","fs"
"338","","2023","4391243.79","aufwand","ktn_vs","CHF","fs"
"340","","2023","62901239.51","aufwand","ktn_vs","CHF","fs"
"341","","2023","116957.71","aufwand","ktn_vs","CHF","fs"
"342","","2023","","aufwand","ktn_vs","CHF","fs"
"343","","2023","","aufwand","ktn_vs","CHF","fs"
"344","","2023","7940.36","aufwand","ktn_vs","CHF","fs"
"349","","2023","30077.43","aufwand","ktn_vs","CHF","fs"
"350","","2023","4603279.68","aufwand","ktn_vs","CHF","fs"
"351","","2023","208828372.1","aufwand","ktn_vs","CHF","fs"
"352","","2023","","aufwand","ktn_vs","CHF","fs"
"3600","","2023","","aufwand","ktn_vs","CHF","fs"
"36010","","2023","","aufwand","ktn_vs","CHF","fs"
"36011","","2023","","aufwand","ktn_vs","CHF","fs"
"36012","","2023","","aufwand","ktn_vs","CHF","fs"
"36013","","2023","","aufwand","ktn_vs","CHF","fs"
"36014","","2023","","aufwand","ktn_vs","CHF","fs"
"36015","","2023","","aufwand","ktn_vs","CHF","fs"
"36016","","2023","","aufwand","ktn_vs","CHF","fs"
"36017","","2023","","aufwand","ktn_vs","CHF","fs"
"36018","","2023","","aufwand","ktn_vs","CHF","fs"
"36019","","2023","","aufwand","ktn_vs","CHF","fs"
"36021","","2023","110404509.1","aufwand","ktn_vs","CHF","fs"
"36022","","2023","","aufwand","ktn_vs","CHF","fs"
"36023","","2023","","aufwand","ktn_vs","CHF","fs"
"36029","","2023","539229.98","aufwand","ktn_vs","CHF","fs"
"3603","","2023","","aufwand","ktn_vs","CHF","fs"
"3604","","2023","","aufwand","ktn_vs","CHF","fs"
"3610","","2023","","aufwand","ktn_vs","CHF","fs"
"3611","","2023","24027796.99","aufwand","ktn_vs","CHF","fs"
"3612","","2023","1186677.75","aufwand","ktn_vs","CHF","fs"
"3613","","2023","","aufwand","ktn_vs","CHF","fs"
"3614","","2023","","aufwand","ktn_vs","CHF","fs"
"3620","","2023","","aufwand","ktn_vs","CHF","fs"
"36211","","2023","","aufwand","ktn_vs","CHF","fs"
"36212","","2023","","aufwand","ktn_vs","CHF","fs"
"36213","","2023","","aufwand","ktn_vs","CHF","fs"
"36214","","2023","2645868","aufwand","ktn_vs","CHF","fs"
"36215","","2023","","aufwand","ktn_vs","CHF","fs"
"36216","","2023","","aufwand","ktn_vs","CHF","fs"
"36217","","2023","","aufwand","ktn_vs","CHF","fs"
"36219","","2023","","aufwand","ktn_vs","CHF","fs"
"36221","","2023","","aufwand","ktn_vs","CHF","fs"
"36222","","2023","","aufwand","ktn_vs","CHF","fs"
"36223","","2023","","aufwand","ktn_vs","CHF","fs"
"36224","","2023","","aufwand","ktn_vs","CHF","fs"
"36225","","2023","63021255","aufwand","ktn_vs","CHF","fs"
"36226","","2023","","aufwand","ktn_vs","CHF","fs"
"36227","","2023","","aufwand","ktn_vs","CHF","fs"
"36228","","2023","","aufwand","ktn_vs","CHF","fs"
"3624","","2023","","aufwand","ktn_vs","CHF","fs"
"3629","","2023","","aufwand","ktn_vs","CHF","fs"
"3630","","2023","","aufwand","ktn_vs","CHF","fs"
"3631","","2023","102559343.94","aufwand","ktn_vs","CHF","fs"
"3632","","2023","55304991.89","aufwand","ktn_vs","CHF","fs"
"3633","","2023","9525257.9","aufwand","ktn_vs","CHF","fs"
"3634","","2023","518179382.78","aufwand","ktn_vs","CHF","fs"
"3635","","2023","177145530.28","aufwand","ktn_vs","CHF","fs"
"3636","","2023","437480007.67","aufwand","ktn_vs","CHF","fs"
"3637","","2023","457781031.52","aufwand","ktn_vs","CHF","fs"
"3638","","2023","70563.61","aufwand","ktn_vs","CHF","fs"
"3639","","2023","18412576.35","aufwand","ktn_vs","CHF","fs"
"364","","2023","4346712","aufwand","ktn_vs","CHF","fs"
"365","","2023","","aufwand","ktn_vs","CHF","fs"
"366","","2023","85807030.13","aufwand","ktn_vs","CHF","fs"
"369","","2023","","aufwand","ktn_vs","CHF","fs"
"380","","2023","10557000","aufwand","ktn_vs","CHF","fs"
"381","","2023","21762861.17","aufwand","ktn_vs","CHF","fs"
"383","","2023","73343100.72","aufwand","ktn_vs","CHF","fs"
"384","","2023","","aufwand","ktn_vs","CHF","fs"
"3860","","2023","","aufwand","ktn_vs","CHF","fs"
"3861","","2023","","aufwand","ktn_vs","CHF","fs"
"3862","","2023","","aufwand","ktn_vs","CHF","fs"
"3863","","2023","","aufwand","ktn_vs","CHF","fs"
"3864","","2023","","aufwand","ktn_vs","CHF","fs"
"3865","","2023","","aufwand","ktn_vs","CHF","fs"
"3866","","2023","","aufwand","ktn_vs","CHF","fs"
"3867","","2023","6301000","aufwand","ktn_vs","CHF","fs"
"3868","","2023","","aufwand","ktn_vs","CHF","fs"
"387","","2023","15959698.04","aufwand","ktn_vs","CHF","fs"
"389","","2023","10217365.71","aufwand","ktn_vs","CHF","fs"
"4000","","2023","792455231.04","ertrag","ktn_vs","CHF","fs"
"4001","","2023","159374896.31","ertrag","ktn_vs","CHF","fs"
"4002","","2023","44195978.83","ertrag","ktn_vs","CHF","fs"
"4008","","2023","","ertrag","ktn_vs","CHF","fs"
"4009","","2023","431082","ertrag","ktn_vs","CHF","fs"
"4010","","2023","88674290.42","ertrag","ktn_vs","CHF","fs"
"4011","","2023","52819490.24","ertrag","ktn_vs","CHF","fs"
"4012","","2023","","ertrag","ktn_vs","CHF","fs"
"4019","","2023","","ertrag","ktn_vs","CHF","fs"
"4020","","2023","","ertrag","ktn_vs","CHF","fs"
"4021","","2023","23862354.17","ertrag","ktn_vs","CHF","fs"
"4022","","2023","108094724.55","ertrag","ktn_vs","CHF","fs"
"4023","","2023","111669584.95","ertrag","ktn_vs","CHF","fs"
"4024","","2023","32229642.7","ertrag","ktn_vs","CHF","fs"
"4025","","2023","1144030.02","ertrag","ktn_vs","CHF","fs"
"4030","","2023","75006910.65","ertrag","ktn_vs","CHF","fs"
"4031","","2023","566765.7","ertrag","ktn_vs","CHF","fs"
"4032","","2023","","ertrag","ktn_vs","CHF","fs"
"4033","","2023","","ertrag","ktn_vs","CHF","fs"
"4039","","2023","","ertrag","ktn_vs","CHF","fs"
"4040","","2023","","ertrag","ktn_vs","CHF","fs"
"4041","","2023","","ertrag","ktn_vs","CHF","fs"
"4042","","2023","","ertrag","ktn_vs","CHF","fs"
"4043","","2023","","ertrag","ktn_vs","CHF","fs"
"4044","","2023","","ertrag","ktn_vs","CHF","fs"
"4045","","2023","","ertrag","ktn_vs","CHF","fs"
"4046","","2023","","ertrag","ktn_vs","CHF","fs"
"4047","","2023","","ertrag","ktn_vs","CHF","fs"
"4049","","2023","","ertrag","ktn_vs","CHF","fs"
"4050","","2023","","ertrag","ktn_vs","CHF","fs"
"4051","","2023","","ertrag","ktn_vs","CHF","fs"
"4052","","2023","","ertrag","ktn_vs","CHF","fs"
"4053","","2023","","ertrag","ktn_vs","CHF","fs"
"4059","","2023","","ertrag","ktn_vs","CHF","fs"
"4060","","2023","","ertrag","ktn_vs","CHF","fs"
"4070","","2023","","ertrag","ktn_vs","CHF","fs"
"4071","","2023","","ertrag","ktn_vs","CHF","fs"
"4072","","2023","","ertrag","ktn_vs","CHF","fs"
"4079","","2023","","ertrag","ktn_vs","CHF","fs"
"410","","2023","3391374.55","ertrag","ktn_vs","CHF","fs"
"411","","2023","","ertrag","ktn_vs","CHF","fs"
"412","","2023","130806295.38","ertrag","ktn_vs","CHF","fs"
"413","","2023","35733337","ertrag","ktn_vs","CHF","fs"
"420","","2023","2675660","ertrag","ktn_vs","CHF","fs"
"421","","2023","97028306.1","ertrag","ktn_vs","CHF","fs"
"422","","2023","167070","ertrag","ktn_vs","CHF","fs"
"423","","2023","14336528.8","ertrag","ktn_vs","CHF","fs"
"424","","2023","46686161.05","ertrag","ktn_vs","CHF","fs"
"425","","2023","13185943.46","ertrag","ktn_vs","CHF","fs"
"426","","2023","104211265.44","ertrag","ktn_vs","CHF","fs"
"427","","2023","17289866.79","ertrag","ktn_vs","CHF","fs"
"429","","2023","10239796.3","ertrag","ktn_vs","CHF","fs"
"430","","2023","212288","ertrag","ktn_vs","CHF","fs"
"431","","2023","8371542.8","ertrag","ktn_vs","CHF","fs"
"432","","2023","-200561.83","ertrag","ktn_vs","CHF","fs"
"439","","2023","17529681.09","ertrag","ktn_vs","CHF","fs"
"440","","2023","27931311.59","ertrag","ktn_vs","CHF","fs"
"441","","2023","25282082.21","ertrag","ktn_vs","CHF","fs"
"442","","2023","6093.75","ertrag","ktn_vs","CHF","fs"
"443","","2023","","ertrag","ktn_vs","CHF","fs"
"444","","2023","","ertrag","ktn_vs","CHF","fs"
"445","","2023","109798.55","ertrag","ktn_vs","CHF","fs"
"446","","2023","47583976.85","ertrag","ktn_vs","CHF","fs"
"447","","2023","14818003.99","ertrag","ktn_vs","CHF","fs"
"448","","2023","","ertrag","ktn_vs","CHF","fs"
