"arten","funk","jahr","value","dim","unit"
"100","","2016","394747636.68","bilanz","CHF"
"101","","2016","228929246.99","bilanz","CHF"
"102","","2016","7.1e+07","bilanz","CHF"
"104","","2016","48774742.41","bilanz","CHF"
"106","","2016","1193087.59","bilanz","CHF"
"107","","2016","195375769.37","bilanz","CHF"
"108","","2016","86835754.65","bilanz","CHF"
"109","","2016","","bilanz","CHF"
"140","","2016","292755814","bilanz","CHF"
"141","","2016","","bilanz","CHF"
"142","","2016","","bilanz","CHF"
"143","","2016","","bilanz","CHF"
"144","","2016","34533982.27","bilanz","CHF"
"145","","2016","72098013","bilanz","CHF"
"146","","2016","81219001","bilanz","CHF"
"147","","2016","","bilanz","CHF"
"148","","2016","","bilanz","CHF"
"200","","2016","556679092.21","bilanz","CHF"
"201","","2016","","bilanz","CHF"
"204","","2016","68189707.46","bilanz","CHF"
"205","","2016","9312755","bilanz","CHF"
"206","","2016","21504218.7","bilanz","CHF"
"207","","2016","","bilanz","CHF"
"208","","2016","1904000","bilanz","CHF"
"209","","2016","7968428.44","bilanz","CHF"
"290","","2016","255235403.92","bilanz","CHF"
"292","","2016","","bilanz","CHF"
"293","","2016","","bilanz","CHF"
"294","","2016","","bilanz","CHF"
"295","","2016","","bilanz","CHF"
"296","","2016","52488023.05","bilanz","CHF"
"298","","2016","20120841.66","bilanz","CHF"
"299","","2016","514060577.52","bilanz","CHF"
"300","","2016","8842444.35","aufwand","CHF"
"301","","2016","175144792.88","aufwand","CHF"
"302","","2016","77685532.43","aufwand","CHF"
"303","","2016","","aufwand","CHF"
"304","","2016","2840294.45","aufwand","CHF"
"305","","2016","55522822.9","aufwand","CHF"
"306","","2016","1548519.35","aufwand","CHF"
"309","","2016","6872445.84","aufwand","CHF"
"310","","2016","9264300.77","aufwand","CHF"
"311","","2016","6056415.64","aufwand","CHF"
"312","","2016","3465679.04","aufwand","CHF"
"313","","2016","30639956.52","aufwand","CHF"
"314","","2016","17290865.57","aufwand","CHF"
"315","","2016","11923632.31","aufwand","CHF"
"316","","2016","14306268.4","aufwand","CHF"
"317","","2016","2081509.41","aufwand","CHF"
"318","","2016","6091832.7","aufwand","CHF"
"319","","2016","4318352.1","aufwand","CHF"
"320","","2016","","aufwand","CHF"
"331","","2016","","aufwand","CHF"
"337","","2016","75816911.3","aufwand","CHF"
"338","","2016","191000","aufwand","CHF"
"340","","2016","58412.26","aufwand","CHF"
"341","","2016","84046.71","aufwand","CHF"
"342","","2016","9641.8","aufwand","CHF"
"343","","2016","995043.09","aufwand","CHF"
"344","","2016","","aufwand","CHF"
"349","","2016","3937955.18","aufwand","CHF"
"350","","2016","","aufwand","CHF"
"351","","2016","2846920.83","aufwand","CHF"
"352","","2016","","aufwand","CHF"
"3600","","2016","","aufwand","CHF"
"36010","","2016","","aufwand","CHF"
"36011","","2016","","aufwand","CHF"
"36012","","2016","","aufwand","CHF"
"36013","","2016","","aufwand","CHF"
"36014","","2016","","aufwand","CHF"
"36015","","2016","","aufwand","CHF"
"36016","","2016","","aufwand","CHF"
"36017","","2016","","aufwand","CHF"
"36018","","2016","","aufwand","CHF"
"36019","","2016","","aufwand","CHF"
"36021","","2016","","aufwand","CHF"
"36022","","2016","","aufwand","CHF"
"36023","","2016","","aufwand","CHF"
"36029","","2016","","aufwand","CHF"
"3603","","2016","","aufwand","CHF"
"3604","","2016","","aufwand","CHF"
"3610","","2016","","aufwand","CHF"
"3611","","2016","7825741.66","aufwand","CHF"
"3612","","2016","1355365.2","aufwand","CHF"
"3613","","2016","","aufwand","CHF"
"3614","","2016","","aufwand","CHF"
"3620","","2016","","aufwand","CHF"
"36211","","2016","324637757.11","aufwand","CHF"
"36212","","2016","","aufwand","CHF"
"36213","","2016","","aufwand","CHF"
"36214","","2016","1546530","aufwand","CHF"
"36215","","2016","","aufwand","CHF"
"36216","","2016","","aufwand","CHF"
"36217","","2016","","aufwand","CHF"
"36219","","2016","","aufwand","CHF"
"36221","","2016","","aufwand","CHF"
"36222","","2016","","aufwand","CHF"
"36223","","2016","","aufwand","CHF"
"36224","","2016","","aufwand","CHF"
"36225","","2016","4500000","aufwand","CHF"
"36226","","2016","","aufwand","CHF"
"36227","","2016","","aufwand","CHF"
"36228","","2016","","aufwand","CHF"
"3624","","2016","","aufwand","CHF"
"3629","","2016","","aufwand","CHF"
"3630","","2016","","aufwand","CHF"
"3631","","2016","49089620.66","aufwand","CHF"
"3632","","2016","84102559.57","aufwand","CHF"
"3633","","2016","2448562.7","aufwand","CHF"
"3634","","2016","112559329.28","aufwand","CHF"
"3635","","2016","52059948.68","aufwand","CHF"
"3636","","2016","113888333.12","aufwand","CHF"
"3637","","2016","117542404.78","aufwand","CHF"
"3638","","2016","40000","aufwand","CHF"
"3639","","2016","1906425","aufwand","CHF"
"364","","2016","","aufwand","CHF"
"365","","2016","","aufwand","CHF"
"366","","2016","9031488.6","aufwand","CHF"
"369","","2016","","aufwand","CHF"
"380","","2016","","aufwand","CHF"
"381","","2016","","aufwand","CHF"
"383","","2016","","aufwand","CHF"
"384","","2016","","aufwand","CHF"
"3860","","2016","","aufwand","CHF"
"3861","","2016","","aufwand","CHF"
"3862","","2016","","aufwand","CHF"
"3863","","2016","","aufwand","CHF"
"3864","","2016","","aufwand","CHF"
"3865","","2016","","aufwand","CHF"
"3866","","2016","","aufwand","CHF"
"3867","","2016","","aufwand","CHF"
"3868","","2016","","aufwand","CHF"
"387","","2016","","aufwand","CHF"
"389","","2016","","aufwand","CHF"
"4000","","2016","309946998.86","ertrag","CHF"
"4001","","2016","95513461.4","ertrag","CHF"
"4002","","2016","33621717.58","ertrag","CHF"
"4008","","2016","","ertrag","CHF"
"4009","","2016","","ertrag","CHF"
"4010","","2016","209042240.4","ertrag","CHF"
"4011","","2016","27122214.3","ertrag","CHF"
"4012","","2016","","ertrag","CHF"
"4019","","2016","","ertrag","CHF"
"4020","","2016","","ertrag","CHF"
"4021","","2016","","ertrag","CHF"
"4022","","2016","","ertrag","CHF"
"4023","","2016","","ertrag","CHF"
"4024","","2016","","ertrag","CHF"
"4025","","2016","","ertrag","CHF"
"4030","","2016","31279588.35","ertrag","CHF"
"4031","","2016","","ertrag","CHF"
"4032","","2016","","ertrag","CHF"
"4033","","2016","","ertrag","CHF"
"4039","","2016","51189.7","ertrag","CHF"
"4040","","2016","","ertrag","CHF"
"4041","","2016","","ertrag","CHF"
"4042","","2016","","ertrag","CHF"
"4043","","2016","","ertrag","CHF"
"4044","","2016","","ertrag","CHF"
"4045","","2016","","ertrag","CHF"
"4046","","2016","","ertrag","CHF"
"4047","","2016","","ertrag","CHF"
"4049","","2016","","ertrag","CHF"
"4050","","2016","","ertrag","CHF"
"4051","","2016","","ertrag","CHF"
"4052","","2016","","ertrag","CHF"
"4053","","2016","","ertrag","CHF"
"4059","","2016","","ertrag","CHF"
"4060","","2016","","ertrag","CHF"
"4070","","2016","","ertrag","CHF"
"4071","","2016","","ertrag","CHF"
"4072","","2016","","ertrag","CHF"
"4079","","2016","","ertrag","CHF"
"410","","2016","286730.6","ertrag","CHF"
"411","","2016","9696635","ertrag","CHF"
"412","","2016","687982","ertrag","CHF"
"413","","2016","6732099","ertrag","CHF"
"420","","2016","645185","ertrag","CHF"
"421","","2016","29326533.77","ertrag","CHF"
"422","","2016","1336588.87","ertrag","CHF"
"423","","2016","10264346.61","ertrag","CHF"
"424","","2016","3799908.15","ertrag","CHF"
"425","","2016","2474524.04","ertrag","CHF"
"426","","2016","12155320.84","ertrag","CHF"
"427","","2016","8958129.2","ertrag","CHF"
"429","","2016","2452681.86","ertrag","CHF"
"430","","2016","314979.7","ertrag","CHF"
"431","","2016","6451900","ertrag","CHF"
"432","","2016","-14490","ertrag","CHF"
"439","","2016","1596242.21","ertrag","CHF"
"440","","2016","1483502.14","ertrag","CHF"
"441","","2016","15326.15","ertrag","CHF"
