"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2018","214181612.81","bilanz","ktn_zg","CHF","fs"
"101","","2018","816269566.54","bilanz","ktn_zg","CHF","fs"
"102","","2018","5.5e+07","bilanz","ktn_zg","CHF","fs"
"104","","2018","50385812.68","bilanz","ktn_zg","CHF","fs"
"106","","2018","1134667.25","bilanz","ktn_zg","CHF","fs"
"107","","2018","99993032.36","bilanz","ktn_zg","CHF","fs"
"108","","2018","91109650.22","bilanz","ktn_zg","CHF","fs"
"109","","2018","","bilanz","ktn_zg","CHF","fs"
"140","","2018","337890274.75","bilanz","ktn_zg","CHF","fs"
"141","","2018","","bilanz","ktn_zg","CHF","fs"
"142","","2018","","bilanz","ktn_zg","CHF","fs"
"143","","2018","","bilanz","ktn_zg","CHF","fs"
"144","","2018","26960629.62","bilanz","ktn_zg","CHF","fs"
"145","","2018","74943113","bilanz","ktn_zg","CHF","fs"
"146","","2018","82021001","bilanz","ktn_zg","CHF","fs"
"147","","2018","","bilanz","ktn_zg","CHF","fs"
"148","","2018","","bilanz","ktn_zg","CHF","fs"
"200","","2018","675195423.05","bilanz","ktn_zg","CHF","fs"
"201","","2018","1.7e+08","bilanz","ktn_zg","CHF","fs"
"204","","2018","78808973.43","bilanz","ktn_zg","CHF","fs"
"205","","2018","10360470.05","bilanz","ktn_zg","CHF","fs"
"206","","2018","21504218.7","bilanz","ktn_zg","CHF","fs"
"207","","2018","","bilanz","ktn_zg","CHF","fs"
"208","","2018","2423000","bilanz","ktn_zg","CHF","fs"
"209","","2018","8207341.32","bilanz","ktn_zg","CHF","fs"
"290","","2018","248671478.62","bilanz","ktn_zg","CHF","fs"
"292","","2018","","bilanz","ktn_zg","CHF","fs"
"293","","2018","","bilanz","ktn_zg","CHF","fs"
"294","","2018","","bilanz","ktn_zg","CHF","fs"
"295","","2018","","bilanz","ktn_zg","CHF","fs"
"296","","2018","","bilanz","ktn_zg","CHF","fs"
"298","","2018","11912141.5","bilanz","ktn_zg","CHF","fs"
"299","","2018","622806313.56","bilanz","ktn_zg","CHF","fs"
"empty","","2018","","er","ktn_zg","CHF","fs"
"empty","","2018","","er","ktn_zg","CHF","fs"
"empty","","2018","","er","ktn_zg","CHF","fs"
"empty","","2018","","er","ktn_zg","CHF","fs"
"300","","2018","8651801.5","aufwand","ktn_zg","CHF","fs"
"301","","2018","172692937.41","aufwand","ktn_zg","CHF","fs"
"302","","2018","77698497.24","aufwand","ktn_zg","CHF","fs"
"303","","2018","","aufwand","ktn_zg","CHF","fs"
