"arten","funk","jahr","value","dim","unit"
"100","","2022","1177201735.8","bilanz","CHF"
"101","","2022","4139003050.04","bilanz","CHF"
"102","","2022","27386940.53","bilanz","CHF"
"104","","2022","1466073484.32","bilanz","CHF"
"106","","2022","49604523.32","bilanz","CHF"
"107","","2022","20542520.46","bilanz","CHF"
"108","","2022","1250595665.31","bilanz","CHF"
"109","","2022","1303875.8","bilanz","CHF"
"140","","2022","8405094875.71","bilanz","CHF"
"141","","2022","","bilanz","CHF"
"142","","2022","95096770.01","bilanz","CHF"
"143","","2022","","bilanz","CHF"
"144","","2022","538295418.86","bilanz","CHF"
"145","","2022","3902370585.58","bilanz","CHF"
"146","","2022","2845741482.35","bilanz","CHF"
"147","","2022","","bilanz","CHF"
"148","","2022","","bilanz","CHF"
"200","","2022","3030383337","bilanz","CHF"
"201","","2022","508570969.35","bilanz","CHF"
"204","","2022","2503047356.93","bilanz","CHF"
"205","","2022","525772014.36","bilanz","CHF"
"206","","2022","4933025396.44","bilanz","CHF"
"207","","2022","","bilanz","CHF"
"208","","2022","320128561.05","bilanz","CHF"
"209","","2022","826177890.1","bilanz","CHF"
"290","","2022","2960706627.86","bilanz","CHF"
"292","","2022","39054011.7","bilanz","CHF"
"293","","2022","","bilanz","CHF"
"294","","2022","","bilanz","CHF"
"295","","2022","","bilanz","CHF"
"296","","2022","","bilanz","CHF"
"298","","2022","191111223.2","bilanz","CHF"
"299","","2022","8080333540.1","bilanz","CHF"
"300","","2022","74894141.16","aufwand","CHF"
"301","","2022","1931920909.22","aufwand","CHF"
"302","","2022","2885246296.26","aufwand","CHF"
"303","","2022","13075537.99","aufwand","CHF"
"304","","2022","26664418.22","aufwand","CHF"
"305","","2022","975913403.99","aufwand","CHF"
"306","","2022","-2554638.1","aufwand","CHF"
"309","","2022","37721691.92","aufwand","CHF"
"310","","2022","198126552.98","aufwand","CHF"
"311","","2022","56275246.35","aufwand","CHF"
"312","","2022","53242145.83","aufwand","CHF"
"313","","2022","629230324.81","aufwand","CHF"
"314","","2022","174782857.37","aufwand","CHF"
"315","","2022","98845449.78","aufwand","CHF"
"316","","2022","192137088.99","aufwand","CHF"
"317","","2022","36892966.07","aufwand","CHF"
"318","","2022","70109622.84","aufwand","CHF"
"319","","2022","54636207.61","aufwand","CHF"
"320","","2022","","aufwand","CHF"
"331","","2022","","aufwand","CHF"
"337","","2022","580549973.5","aufwand","CHF"
"338","","2022","50544160.1","aufwand","CHF"
"340","","2022","43463328.33","aufwand","CHF"
"341","","2022","1154834.49","aufwand","CHF"
"342","","2022","495605.82","aufwand","CHF"
"343","","2022","8902535.83","aufwand","CHF"
"344","","2022","6351656.77","aufwand","CHF"
"349","","2022","1960099.89","aufwand","CHF"
"350","","2022","34312550.02","aufwand","CHF"
"351","","2022","","aufwand","CHF"
"352","","2022","","aufwand","CHF"
"3600","","2022","","aufwand","CHF"
"36010","","2022","","aufwand","CHF"
"36011","","2022","","aufwand","CHF"
"36012","","2022","","aufwand","CHF"
"36013","","2022","","aufwand","CHF"
"36014","","2022","","aufwand","CHF"
"36015","","2022","","aufwand","CHF"
"36016","","2022","","aufwand","CHF"
"36017","","2022","","aufwand","CHF"
"36018","","2022","","aufwand","CHF"
"36019","","2022","","aufwand","CHF"
"36021","","2022","","aufwand","CHF"
"36022","","2022","","aufwand","CHF"
"36023","","2022","","aufwand","CHF"
"36029","","2022","21660741.9","aufwand","CHF"
"3603","","2022","","aufwand","CHF"
"3604","","2022","","aufwand","CHF"
"3610","","2022","","aufwand","CHF"
"3611","","2022","299516.15","aufwand","CHF"
"3612","","2022","88820846.04","aufwand","CHF"
"3613","","2022","","aufwand","CHF"
"3614","","2022","11922307.35","aufwand","CHF"
"3620","","2022","","aufwand","CHF"
"36211","","2022","588685510","aufwand","CHF"
"36212","","2022","","aufwand","CHF"
"36213","","2022","","aufwand","CHF"
"36214","","2022","12816983","aufwand","CHF"
"36215","","2022","","aufwand","CHF"
"36216","","2022","","aufwand","CHF"
"36217","","2022","","aufwand","CHF"
"36219","","2022","","aufwand","CHF"
"36221","","2022","","aufwand","CHF"
"36222","","2022","","aufwand","CHF"
"36223","","2022","","aufwand","CHF"
"36224","","2022","","aufwand","CHF"
"36225","","2022","","aufwand","CHF"
"36226","","2022","515420998","aufwand","CHF"
"36227","","2022","","aufwand","CHF"
"36228","","2022","","aufwand","CHF"
"3624","","2022","","aufwand","CHF"
"3629","","2022","","aufwand","CHF"
"3630","","2022","","aufwand","CHF"
"3631","","2022","129348614.35","aufwand","CHF"
"3632","","2022","1169621678.04","aufwand","CHF"
"3633","","2022","32218248.1","aufwand","CHF"
"3634","","2022","1766031472.02","aufwand","CHF"
"3635","","2022","425784203.05","aufwand","CHF"
"3636","","2022","1614166746.76","aufwand","CHF"
"3637","","2022","818711745.2","aufwand","CHF"
"3638","","2022","4253814.96","aufwand","CHF"
"3639","","2022","63341177.9","aufwand","CHF"
"364","","2022","2287928.87","aufwand","CHF"
"365","","2022","","aufwand","CHF"
"366","","2022","168083458.46","aufwand","CHF"
"369","","2022","498153.41","aufwand","CHF"
"380","","2022","","aufwand","CHF"
"381","","2022","93489068.27","aufwand","CHF"
"383","","2022","","aufwand","CHF"
"384","","2022","","aufwand","CHF"
"3860","","2022","","aufwand","CHF"
"3861","","2022","","aufwand","CHF"
"3862","","2022","33950184.75","aufwand","CHF"
"3863","","2022","","aufwand","CHF"
"3864","","2022","40890415.09","aufwand","CHF"
"3865","","2022","1341707412.92","aufwand","CHF"
"3866","","2022","54628037.66","aufwand","CHF"
"3867","","2022","52954207.31","aufwand","CHF"
"3868","","2022","","aufwand","CHF"
"387","","2022","","aufwand","CHF"
"389","","2022","","aufwand","CHF"
"4000","","2022","4431113339.53","ertrag","CHF"
"4001","","2022","1020807440.31","ertrag","CHF"
"4002","","2022","354631693.45","ertrag","CHF"
"4008","","2022","","ertrag","CHF"
"4009","","2022","","ertrag","CHF"
"4010","","2022","1180482230.76","ertrag","CHF"
"4011","","2022","153339883.12","ertrag","CHF"
"4012","","2022","","ertrag","CHF"
"4019","","2022","","ertrag","CHF"
"4020","","2022","","ertrag","CHF"
"4021","","2022","","ertrag","CHF"
"4022","","2022","","ertrag","CHF"
"4023","","2022","","ertrag","CHF"
"4024","","2022","361144726","ertrag","CHF"
"4025","","2022","753485.15","ertrag","CHF"
"4030","","2022","339407209.02","ertrag","CHF"
"4031","","2022","2624931.1","ertrag","CHF"
"4032","","2022","","ertrag","CHF"
"4033","","2022","","ertrag","CHF"
"4039","","2022","","ertrag","CHF"
"4040","","2022","","ertrag","CHF"
"4041","","2022","","ertrag","CHF"
"4042","","2022","","ertrag","CHF"
"4043","","2022","","ertrag","CHF"
"4044","","2022","","ertrag","CHF"
"4045","","2022","","ertrag","CHF"
"4046","","2022","","ertrag","CHF"
"4047","","2022","","ertrag","CHF"
"4049","","2022","","ertrag","CHF"
"4050","","2022","","ertrag","CHF"
"4051","","2022","","ertrag","CHF"
"4052","","2022","","ertrag","CHF"
"4053","","2022","","ertrag","CHF"
"4059","","2022","","ertrag","CHF"
"4060","","2022","","ertrag","CHF"
"4070","","2022","","ertrag","CHF"
"4071","","2022","","ertrag","CHF"
