"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2023","498091469.16","bilanz","ktn_zh","CHF","fs"
"101","","2023","4295069985.75","bilanz","ktn_zh","CHF","fs"
"102","","2023","48222845.75","bilanz","ktn_zh","CHF","fs"
"104","","2023","1481453127.61","bilanz","ktn_zh","CHF","fs"
"106","","2023","33778332.96","bilanz","ktn_zh","CHF","fs"
"107","","2023","23906346.71","bilanz","ktn_zh","CHF","fs"
"108","","2023","1419752361.71","bilanz","ktn_zh","CHF","fs"
"109","","2023","25792137.31","bilanz","ktn_zh","CHF","fs"
"140","","2023","8710963436.33","bilanz","ktn_zh","CHF","fs"
"141","","2023","","bilanz","ktn_zh","CHF","fs"
"142","","2023","113289297.64","bilanz","ktn_zh","CHF","fs"
"143","","2023","","bilanz","ktn_zh","CHF","fs"
"144","","2023","586014572.56","bilanz","ktn_zh","CHF","fs"
"145","","2023","3902447970.48","bilanz","ktn_zh","CHF","fs"
"146","","2023","2793320168.63","bilanz","ktn_zh","CHF","fs"
"147","","2023","","bilanz","ktn_zh","CHF","fs"
"148","","2023","","bilanz","ktn_zh","CHF","fs"
"200","","2023","2983909020.13","bilanz","ktn_zh","CHF","fs"
"201","","2023","422094774.31","bilanz","ktn_zh","CHF","fs"
"204","","2023","2623417401.55","bilanz","ktn_zh","CHF","fs"
"205","","2023","605058423.94","bilanz","ktn_zh","CHF","fs"
"206","","2023","4847207417.48","bilanz","ktn_zh","CHF","fs"
"207","","2023","","bilanz","ktn_zh","CHF","fs"
"208","","2023","318503329.78","bilanz","ktn_zh","CHF","fs"
"209","","2023","827257075.58","bilanz","ktn_zh","CHF","fs"
"290","","2023","3077292754.98","bilanz","ktn_zh","CHF","fs"
"292","","2023","37719860.52","bilanz","ktn_zh","CHF","fs"
"293","","2023","","bilanz","ktn_zh","CHF","fs"
"294","","2023","","bilanz","ktn_zh","CHF","fs"
"295","","2023","","bilanz","ktn_zh","CHF","fs"
"296","","2023","","bilanz","ktn_zh","CHF","fs"
"298","","2023","194960484","bilanz","ktn_zh","CHF","fs"
"299","","2023","7994681510.33","bilanz","ktn_zh","CHF","fs"
"empty","","2023","","er","ktn_zh","CHF","fs"
"empty","","2023","","er","ktn_zh","CHF","fs"
"empty","","2023","","er","ktn_zh","CHF","fs"
"empty","","2023","","er","ktn_zh","CHF","fs"
"300","","2023","79525942.65","aufwand","ktn_zh","CHF","fs"
"301","","2023","2040785895.03","aufwand","ktn_zh","CHF","fs"
"302","","2023","3042698738.68","aufwand","ktn_zh","CHF","fs"
"303","","2023","12185975.8","aufwand","ktn_zh","CHF","fs"
"304","","2023","27560894.71","aufwand","ktn_zh","CHF","fs"
"305","","2023","1024407520.48","aufwand","ktn_zh","CHF","fs"
"306","","2023","12600210.64","aufwand","ktn_zh","CHF","fs"
"309","","2023","44444837.75","aufwand","ktn_zh","CHF","fs"
"310","","2023","192875909.47","aufwand","ktn_zh","CHF","fs"
"311","","2023","59226542.98","aufwand","ktn_zh","CHF","fs"
"312","","2023","77827141.91","aufwand","ktn_zh","CHF","fs"
"313","","2023","710126727.73","aufwand","ktn_zh","CHF","fs"
"314","","2023","191669401.47","aufwand","ktn_zh","CHF","fs"
"315","","2023","100239205.08","aufwand","ktn_zh","CHF","fs"
"316","","2023","195485579.85","aufwand","ktn_zh","CHF","fs"
"317","","2023","42315961.24","aufwand","ktn_zh","CHF","fs"
"318","","2023","74666324.97","aufwand","ktn_zh","CHF","fs"
"319","","2023","60781424.7","aufwand","ktn_zh","CHF","fs"
"320","","2023","","aufwand","ktn_zh","CHF","fs"
"331","","2023","","aufwand","ktn_zh","CHF","fs"
"337","","2023","589677833.23","aufwand","ktn_zh","CHF","fs"
"338","","2023","23252115.02","aufwand","ktn_zh","CHF","fs"
"340","","2023","43778099.8","aufwand","ktn_zh","CHF","fs"
"341","","2023","1943953.37","aufwand","ktn_zh","CHF","fs"
"342","","2023","503357.84","aufwand","ktn_zh","CHF","fs"
"343","","2023","10104675.15","aufwand","ktn_zh","CHF","fs"
"344","","2023","24798169","aufwand","ktn_zh","CHF","fs"
"349","","2023","363753.96","aufwand","ktn_zh","CHF","fs"
"350","","2023","29051906.5","aufwand","ktn_zh","CHF","fs"
"351","","2023","","aufwand","ktn_zh","CHF","fs"
"352","","2023","","aufwand","ktn_zh","CHF","fs"
"3600","","2023","","aufwand","ktn_zh","CHF","fs"
"36010","","2023","","aufwand","ktn_zh","CHF","fs"
"36011","","2023","","aufwand","ktn_zh","CHF","fs"
"36012","","2023","","aufwand","ktn_zh","CHF","fs"
"36013","","2023","","aufwand","ktn_zh","CHF","fs"
"36014","","2023","","aufwand","ktn_zh","CHF","fs"
"36015","","2023","","aufwand","ktn_zh","CHF","fs"
"36016","","2023","","aufwand","ktn_zh","CHF","fs"
"36017","","2023","","aufwand","ktn_zh","CHF","fs"
"36018","","2023","","aufwand","ktn_zh","CHF","fs"
"36019","","2023","","aufwand","ktn_zh","CHF","fs"
"36021","","2023","","aufwand","ktn_zh","CHF","fs"
"36022","","2023","","aufwand","ktn_zh","CHF","fs"
"36023","","2023","","aufwand","ktn_zh","CHF","fs"
"36029","","2023","21670165.05","aufwand","ktn_zh","CHF","fs"
"3603","","2023","","aufwand","ktn_zh","CHF","fs"
