"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2018","38371289991.12","bilanz","staat","CHF","fs"
"101","","2018","47922484390.77","bilanz","staat","CHF","fs"
"102","","2018","3643359956.75","bilanz","staat","CHF","fs"
"104","","2018","16544343372.08","bilanz","staat","CHF","fs"
"106","","2018","379313199.33","bilanz","staat","CHF","fs"
"107","","2018","48187483647.17","bilanz","staat","CHF","fs"
"108","","2018","30312276844.06","bilanz","staat","CHF","fs"
"109","","2018","703091960.7","bilanz","staat","CHF","fs"
"140","","2018","160847054829.82","bilanz","staat","CHF","fs"
"141","","2018","3691188266.52","bilanz","staat","CHF","fs"
"142","","2018","1105603669.85","bilanz","staat","CHF","fs"
"143","","2018","2624377928.6","bilanz","staat","CHF","fs"
"144","","2018","11309771388.27","bilanz","staat","CHF","fs"
"145","","2018","76785531728.3","bilanz","staat","CHF","fs"
"146","","2018","9987201543.82","bilanz","staat","CHF","fs"
"147","","2018","","bilanz","staat","CHF","fs"
"148","","2018","-6861283834.89","bilanz","staat","CHF","fs"
"200","","2018","45581583200.88","bilanz","staat","CHF","fs"
"201","","2018","22508989711.11","bilanz","staat","CHF","fs"
"204","","2018","21113940719.04","bilanz","staat","CHF","fs"
"205","","2018","3125048999.89","bilanz","staat","CHF","fs"
"206","","2018","150218403720.84","bilanz","staat","CHF","fs"
"207","","2018","","bilanz","staat","CHF","fs"
"208","","2018","46241902931.43","bilanz","staat","CHF","fs"
"209","","2018","17438456886.76","bilanz","staat","CHF","fs"
"290","","2018","60993845091.63","bilanz","staat","CHF","fs"
"292","","2018","2500231081.46","bilanz","staat","CHF","fs"
"293","","2018","7071830776.02","bilanz","staat","CHF","fs"
"294","","2018","3732539735.13","bilanz","staat","CHF","fs"
"295","","2018","9370155759.03","bilanz","staat","CHF","fs"
"296","","2018","-4012569110.33","bilanz","staat","CHF","fs"
"298","","2018","2109225080.14","bilanz","staat","CHF","fs"
"299","","2018","57559504299.19","bilanz","staat","CHF","fs"
"empty","","2018","","er","staat","CHF","fs"
"empty","","2018","","er","staat","CHF","fs"
"empty","","2018","","er","staat","CHF","fs"
"empty","","2018","","er","staat","CHF","fs"
"300","","2018","889557116.03","aufwand","staat","CHF","fs"
"301","","2018","26482803325.08","aufwand","staat","CHF","fs"
"302","","2018","15216817043.92","aufwand","staat","CHF","fs"
"303","","2018","250942915.07","aufwand","staat","CHF","fs"
"304","","2018","304275391.66","aufwand","staat","CHF","fs"
"305","","2018","8664205810.22001","aufwand","staat","CHF","fs"
"306","","2018","-106422852.02","aufwand","staat","CHF","fs"
"309","","2018","534459461.6","aufwand","staat","CHF","fs"
"310","","2018","2919106547.04","aufwand","staat","CHF","fs"
"311","","2018","1079192516.63","aufwand","staat","CHF","fs"
"312","","2018","1414319568.15","aufwand","staat","CHF","fs"
"313","","2018","9463085908.12","aufwand","staat","CHF","fs"
"314","","2018","3493304164.31","aufwand","staat","CHF","fs"
"315","","2018","1198999086.06","aufwand","staat","CHF","fs"
"316","","2018","1906931369.58","aufwand","staat","CHF","fs"
"317","","2018","705908949.07","aufwand","staat","CHF","fs"
"318","","2018","1605211636.21","aufwand","staat","CHF","fs"
"319","","2018","1435524827.1","aufwand","staat","CHF","fs"
"320","","2018","995771182.78","aufwand","staat","CHF","fs"
"331","","2018","","aufwand","staat","CHF","fs"
"337","","2018","10101416591.07","aufwand","staat","CHF","fs"
"338","","2018","987443897.77","aufwand","staat","CHF","fs"
"340","","2018","2426953391.09","aufwand","staat","CHF","fs"
"341","","2018","281953310.34","aufwand","staat","CHF","fs"
"342","","2018","69855807.59","aufwand","staat","CHF","fs"
"343","","2018","292640612.57","aufwand","staat","CHF","fs"
"344","","2018","2232960471.68","aufwand","staat","CHF","fs"
"349","","2018","96072560.62","aufwand","staat","CHF","fs"
"350","","2018","371816634.37","aufwand","staat","CHF","fs"
"351","","2018","1047281947.01","aufwand","staat","CHF","fs"
"352","","2018","759804471.58","aufwand","staat","CHF","fs"
"3600","","2018","","aufwand","staat","CHF","fs"
"36010","","2018","","aufwand","staat","CHF","fs"
"36011","","2018","","aufwand","staat","CHF","fs"
"36012","","2018","","aufwand","staat","CHF","fs"
"36013","","2018","","aufwand","staat","CHF","fs"
"36014","","2018","","aufwand","staat","CHF","fs"
"36015","","2018","","aufwand","staat","CHF","fs"
"36016","","2018","","aufwand","staat","CHF","fs"
"36017","","2018","","aufwand","staat","CHF","fs"
"36018","","2018","","aufwand","staat","CHF","fs"
"36019","","2018","","aufwand","staat","CHF","fs"
"36021","","2018","","aufwand","staat","CHF","fs"
"36022","","2018","","aufwand","staat","CHF","fs"
"36023","","2018","","aufwand","staat","CHF","fs"
"36029","","2018","","aufwand","staat","CHF","fs"
"3603","","2018","","aufwand","staat","CHF","fs"
"3604","","2018","779665.5","aufwand","staat","CHF","fs"
"3610","","2018","","aufwand","staat","CHF","fs"
"3611","","2018","","aufwand","staat","CHF","fs"
"3612","","2018","","aufwand","staat","CHF","fs"
"3613","","2018","","aufwand","staat","CHF","fs"
"3614","","2018","765193249.67","aufwand","staat","CHF","fs"
"3620","","2018","","aufwand","staat","CHF","fs"
"36211","","2018","","aufwand","staat","CHF","fs"
"36212","","2018","","aufwand","staat","CHF","fs"
"36213","","2018","","aufwand","staat","CHF","fs"
"36214","","2018","","aufwand","staat","CHF","fs"
"36215","","2018","","aufwand","staat","CHF","fs"
"36216","","2018","","aufwand","staat","CHF","fs"
"36217","","2018","","aufwand","staat","CHF","fs"
"36219","","2018","","aufwand","staat","CHF","fs"
"36221","","2018","","aufwand","staat","CHF","fs"
"36222","","2018","","aufwand","staat","CHF","fs"
"36223","","2018","","aufwand","staat","CHF","fs"
"36224","","2018","","aufwand","staat","CHF","fs"
"36225","","2018","","aufwand","staat","CHF","fs"
"36226","","2018","","aufwand","staat","CHF","fs"
"36227","","2018","","aufwand","staat","CHF","fs"
"36228","","2018","","aufwand","staat","CHF","fs"
"3624","","2018","","aufwand","staat","CHF","fs"
"3629","","2018","","aufwand","staat","CHF","fs"
"3630","","2018","","aufwand","staat","CHF","fs"
"3631","","2018","","aufwand","staat","CHF","fs"
"3632","","2018","","aufwand","staat","CHF","fs"
"3633","","2018","","aufwand","staat","CHF","fs"
"3634","","2018","14080774129.37","aufwand","staat","CHF","fs"
"3635","","2018","8348795176.05","aufwand","staat","CHF","fs"
"3636","","2018","10918322354.91","aufwand","staat","CHF","fs"
"3637","","2018","77051230502.99","aufwand","staat","CHF","fs"
"3638","","2018","4044603410.41","aufwand","staat","CHF","fs"
"3639","","2018","369706947.91","aufwand","staat","CHF","fs"
"364","","2018","58479248.81","aufwand","staat","CHF","fs"
"365","","2018","63624281.12","aufwand","staat","CHF","fs"
"366","","2018","6832328749.57","aufwand","staat","CHF","fs"
"369","","2018","1264818270.74","aufwand","staat","CHF","fs"
"380","","2018","325166137.36","aufwand","staat","CHF","fs"
"381","","2018","5729002.36","aufwand","staat","CHF","fs"
"383","","2018","229354664.21","aufwand","staat","CHF","fs"
"384","","2018","40093315.85","aufwand","staat","CHF","fs"
"3860","","2018","","aufwand","staat","CHF","fs"
"3861","","2018","","aufwand","staat","CHF","fs"
"3862","","2018","","aufwand","staat","CHF","fs"
"3863","","2018","","aufwand","staat","CHF","fs"
"3864","","2018","3e+05","aufwand","staat","CHF","fs"
"3865","","2018","","aufwand","staat","CHF","fs"
"3866","","2018","","aufwand","staat","CHF","fs"
"3867","","2018","","aufwand","staat","CHF","fs"
"3868","","2018","","aufwand","staat","CHF","fs"
"387","","2018","70554171.73","aufwand","staat","CHF","fs"
"389","","2018","1196231440.89","aufwand","staat","CHF","fs"
"4000","","2018","55787442820.33","ertrag","staat","CHF","fs"
"4001","","2018","7616187774.02","ertrag","staat","CHF","fs"
"4002","","2018","3746356319.9","ertrag","staat","CHF","fs"
"4008","","2018","134460874.43","ertrag","staat","CHF","fs"
"4009","","2018","310868572.93","ertrag","staat","CHF","fs"
"4010","","2018","22054773036.27","ertrag","staat","CHF","fs"
"4011","","2018","1770102128.25","ertrag","staat","CHF","fs"
"4012","","2018","","ertrag","staat","CHF","fs"
"4019","","2018","297133907.76","ertrag","staat","CHF","fs"
"4020","","2018","7947158336.69","ertrag","staat","CHF","fs"
"4021","","2018","1203615499.74","ertrag","staat","CHF","fs"
"4022","","2018","2456553154.21","ertrag","staat","CHF","fs"
"4023","","2018","1352541887.82","ertrag","staat","CHF","fs"
"4024","","2018","1211785899.8","ertrag","staat","CHF","fs"
"4025","","2018","327066740.57","ertrag","staat","CHF","fs"
"4030","","2018","2267736372.02","ertrag","staat","CHF","fs"
"4031","","2018","34133930.55","ertrag","staat","CHF","fs"
"4032","","2018","35137375.66","ertrag","staat","CHF","fs"
"4033","","2018","52382166.2","ertrag","staat","CHF","fs"
"4039","","2018","103170405.59","ertrag","staat","CHF","fs"
"4040","","2018","22649703414.66","ertrag","staat","CHF","fs"
"4041","","2018","2116650732.06","ertrag","staat","CHF","fs"
"4042","","2018","2743608754.95","ertrag","staat","CHF","fs"
"4043","","2018","1819326089.8","ertrag","staat","CHF","fs"
"4044","","2018","15283903.5","ertrag","staat","CHF","fs"
"4045","","2018","2081312597.5","ertrag","staat","CHF","fs"
"4046","","2018","114585494.5","ertrag","staat","CHF","fs"
"4047","","2018","247152143.6","ertrag","staat","CHF","fs"
"4049","","2018","1288360981.7","ertrag","staat","CHF","fs"
"4050","","2018","398331189.4","ertrag","staat","CHF","fs"
"4051","","2018","388179603.32","ertrag","staat","CHF","fs"
"4052","","2018","1603152652.96","ertrag","staat","CHF","fs"
"4053","","2018","","ertrag","staat","CHF","fs"
"4059","","2018","","ertrag","staat","CHF","fs"
"4060","","2018","1103429699.22","ertrag","staat","CHF","fs"
"4070","","2018","1276960879","ertrag","staat","CHF","fs"
"4071","","2018","2840894.1","ertrag","staat","CHF","fs"
"4072","","2018","46072452976.45","ertrag","staat","CHF","fs"
"4079","","2018","1393880000","ertrag","staat","CHF","fs"
"410","","2018","38466284.39","ertrag","staat","CHF","fs"
"411","","2018","2e+09","ertrag","staat","CHF","fs"
"412","","2018","1188910224.08","ertrag","staat","CHF","fs"
"413","","2018","512265665.27","ertrag","staat","CHF","fs"
"420","","2018","452773579.1","ertrag","staat","CHF","fs"
"421","","2018","2908876599.29","ertrag","staat","CHF","fs"
"422","","2018","283741466.17","ertrag","staat","CHF","fs"
"423","","2018","880741514.99","ertrag","staat","CHF","fs"
"424","","2018","5863927685.22","ertrag","staat","CHF","fs"
"425","","2018","1136926440.02","ertrag","staat","CHF","fs"
"426","","2018","4874854373.45","ertrag","staat","CHF","fs"
"427","","2018","1026078522.89","ertrag","staat","CHF","fs"
"429","","2018","676516090.44","ertrag","staat","CHF","fs"
"430","","2018","434485352.65","ertrag","staat","CHF","fs"
"431","","2018","196093206.87","ertrag","staat","CHF","fs"
"432","","2018","2123932.34","ertrag","staat","CHF","fs"
"439","","2018","3446507957.56","ertrag","staat","CHF","fs"
"440","","2018","1265939697.56","ertrag","staat","CHF","fs"
"441","","2018","538022092.31","ertrag","staat","CHF","fs"
"442","","2018","355005804.26","ertrag","staat","CHF","fs"
"443","","2018","1054608032.18","ertrag","staat","CHF","fs"
"444","","2018","373439429.03","ertrag","staat","CHF","fs"
"445","","2018","213672785.91","ertrag","staat","CHF","fs"
"446","","2018","2059339763.43","ertrag","staat","CHF","fs"
"447","","2018","1602362318.11","ertrag","staat","CHF","fs"
"448","","2018","17340367.41","ertrag","staat","CHF","fs"
"449","","2018","25494632.59","ertrag","staat","CHF","fs"
"450","","2018","411678563.67","ertrag","staat","CHF","fs"
"451","","2018","512563896.03","ertrag","staat","CHF","fs"
"452","","2018","555448569.78","ertrag","staat","CHF","fs"
"46000","","2018","","ertrag","staat","CHF","fs"
"46001","","2018","","ertrag","staat","CHF","fs"
"46002","","2018","","ertrag","staat","CHF","fs"
"46003","","2018","","ertrag","staat","CHF","fs"
"46004","","2018","","ertrag","staat","CHF","fs"
"46005","","2018","","ertrag","staat","CHF","fs"
"46006","","2018","","ertrag","staat","CHF","fs"
"46007","","2018","","ertrag","staat","CHF","fs"
"46008","","2018","","ertrag","staat","CHF","fs"
"46009","","2018","","ertrag","staat","CHF","fs"
"46010","","2018","","ertrag","staat","CHF","fs"
"46011","","2018","","ertrag","staat","CHF","fs"
"46012","","2018","","ertrag","staat","CHF","fs"
"46019","","2018","","ertrag","staat","CHF","fs"
"4603","","2018","","ertrag","staat","CHF","fs"
"4604","","2018","103074.2","ertrag","staat","CHF","fs"
"4610","","2018","","ertrag","staat","CHF","fs"
"4611","","2018","","ertrag","staat","CHF","fs"
"4612","","2018","","ertrag","staat","CHF","fs"
"4613","","2018","","ertrag","staat","CHF","fs"
"4614","","2018","5325413.74","ertrag","staat","CHF","fs"
"46201","","2018","","ertrag","staat","CHF","fs"
"46202","","2018","","ertrag","staat","CHF","fs"
"46203","","2018","","ertrag","staat","CHF","fs"
"46204","","2018","","ertrag","staat","CHF","fs"
"46209","","2018","","ertrag","staat","CHF","fs"
"46211","","2018","","ertrag","staat","CHF","fs"
"46212","","2018","","ertrag","staat","CHF","fs"
"46213","","2018","","ertrag","staat","CHF","fs"
"46214","","2018","","ertrag","staat","CHF","fs"
"46215","","2018","","ertrag","staat","CHF","fs"
"46216","","2018","","ertrag","staat","CHF","fs"
"46217","","2018","","ertrag","staat","CHF","fs"
"46225","","2018","","ertrag","staat","CHF","fs"
"46226","","2018","","ertrag","staat","CHF","fs"
"46227","","2018","","ertrag","staat","CHF","fs"
"46228","","2018","","ertrag","staat","CHF","fs"
"4624","","2018","","ertrag","staat","CHF","fs"
"4629","","2018","","ertrag","staat","CHF","fs"
