"arten","funk","jahr","value","dim","unit"
"100","","2018","2413365029.85","bilanz","CHF"
"101","","2018","4398136004.6","bilanz","CHF"
"102","","2018","493015053.19","bilanz","CHF"
"104","","2018","882437978.63","bilanz","CHF"
"106","","2018","","bilanz","CHF"
"107","","2018","31596286302.94","bilanz","CHF"
"108","","2018","160500000","bilanz","CHF"
"109","","2018","","bilanz","CHF"
"140","","2018","60954746.9","bilanz","CHF"
"141","","2018","","bilanz","CHF"
"142","","2018","2728099.9","bilanz","CHF"
"143","","2018","","bilanz","CHF"
"144","","2018","111578.1","bilanz","CHF"
"145","","2018","","bilanz","CHF"
"146","","2018","","bilanz","CHF"
"147","","2018","1227555519.46","bilanz","CHF"
"148","","2018","","bilanz","CHF"
"200","","2018","281518509.79","bilanz","CHF"
"201","","2018","249384357.58","bilanz","CHF"
"204","","2018","11569852.25","bilanz","CHF"
"205","","2018","337887198.61","bilanz","CHF"
"206","","2018","","bilanz","CHF"
"207","","2018","1113592930.74","bilanz","CHF"
"208","","2018","","bilanz","CHF"
"209","","2018","","bilanz","CHF"
"290","","2018","41506857675.88","bilanz","CHF"
"292","","2018","","bilanz","CHF"
"293","","2018","","bilanz","CHF"
"294","","2018","","bilanz","CHF"
"295","","2018","","bilanz","CHF"
"296","","2018","","bilanz","CHF"
"298","","2018","","bilanz","CHF"
"299","","2018","-2265720211.28","bilanz","CHF"
"300","","2018","18445","aufwand","CHF"
"301","","2018","343815442.35","aufwand","CHF"
"302","","2018","","aufwand","CHF"
"303","","2018","","aufwand","CHF"
"304","","2018","","aufwand","CHF"
"305","","2018","65174520.57","aufwand","CHF"
"306","","2018","","aufwand","CHF"
"309","","2018","88969.67","aufwand","CHF"
"310","","2018","2067571.62","aufwand","CHF"
"311","","2018","600159.1","aufwand","CHF"
"312","","2018","1584684.11","aufwand","CHF"
"313","","2018","874478601.02","aufwand","CHF"
"314","","2018","1517195.76","aufwand","CHF"
"315","","2018","48623501.81","aufwand","CHF"
"316","","2018","11373761.17","aufwand","CHF"
"317","","2018","938542","aufwand","CHF"
"318","","2018","147474183.81","aufwand","CHF"
"319","","2018","8186033.38","aufwand","CHF"
"320","","2018","","aufwand","CHF"
"331","","2018","","aufwand","CHF"
"337","","2018","5375556.43","aufwand","CHF"
"338","","2018","","aufwand","CHF"
"340","","2018","85304410.69","aufwand","CHF"
"341","","2018","218859775.51","aufwand","CHF"
"342","","2018","4197","aufwand","CHF"
"343","","2018","655775.26","aufwand","CHF"
"344","","2018","1828929372.99","aufwand","CHF"
"349","","2018","","aufwand","CHF"
"350","","2018","","aufwand","CHF"
"351","","2018","","aufwand","CHF"
"352","","2018","","aufwand","CHF"
"3600","","2018","","aufwand","CHF"
"36010","","2018","","aufwand","CHF"
"36011","","2018","","aufwand","CHF"
"36012","","2018","","aufwand","CHF"
"36013","","2018","","aufwand","CHF"
"36014","","2018","","aufwand","CHF"
"36015","","2018","","aufwand","CHF"
"36016","","2018","","aufwand","CHF"
"36017","","2018","","aufwand","CHF"
"36018","","2018","","aufwand","CHF"
"36019","","2018","","aufwand","CHF"
"36021","","2018","","aufwand","CHF"
"36022","","2018","","aufwand","CHF"
"36023","","2018","","aufwand","CHF"
"36029","","2018","","aufwand","CHF"
"3603","","2018","","aufwand","CHF"
"3604","","2018","","aufwand","CHF"
"3610","","2018","21117310.46","aufwand","CHF"
"3611","","2018","487896421.51","aufwand","CHF"
"3612","","2018","","aufwand","CHF"
"3613","","2018","","aufwand","CHF"
"3614","","2018","5159865.77","aufwand","CHF"
"3620","","2018","","aufwand","CHF"
