"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","4317402599.64","bilanz","sv_ahv","CHF","fs"
"101","","2020","3352871492.17","bilanz","sv_ahv","CHF","fs"
"102","","2020","993608917.04","bilanz","sv_ahv","CHF","fs"
"104","","2020","649944003.55","bilanz","sv_ahv","CHF","fs"
"106","","2020","","bilanz","sv_ahv","CHF","fs"
"107","","2020","28232973496.17","bilanz","sv_ahv","CHF","fs"
"108","","2020","144919121.17","bilanz","sv_ahv","CHF","fs"
"109","","2020","","bilanz","sv_ahv","CHF","fs"
"140","","2020","23446002.42","bilanz","sv_ahv","CHF","fs"
"141","","2020","","bilanz","sv_ahv","CHF","fs"
"142","","2020","","bilanz","sv_ahv","CHF","fs"
"143","","2020","","bilanz","sv_ahv","CHF","fs"
"144","","2020","10284204265.59","bilanz","sv_ahv","CHF","fs"
"145","","2020","","bilanz","sv_ahv","CHF","fs"
"146","","2020","","bilanz","sv_ahv","CHF","fs"
"147","","2020","643066195.82","bilanz","sv_ahv","CHF","fs"
"148","","2020","","bilanz","sv_ahv","CHF","fs"
"200","","2020","913505048.08","bilanz","sv_ahv","CHF","fs"
"201","","2020","366646831.81","bilanz","sv_ahv","CHF","fs"
"204","","2020","4875632.44","bilanz","sv_ahv","CHF","fs"
"205","","2020","94133657.11","bilanz","sv_ahv","CHF","fs"
"206","","2020","","bilanz","sv_ahv","CHF","fs"
"207","","2020","5270087.59","bilanz","sv_ahv","CHF","fs"
"208","","2020","","bilanz","sv_ahv","CHF","fs"
"209","","2020","1e+08","bilanz","sv_ahv","CHF","fs"
"290","","2020","45217248108.22","bilanz","sv_ahv","CHF","fs"
"292","","2020","","bilanz","sv_ahv","CHF","fs"
"293","","2020","","bilanz","sv_ahv","CHF","fs"
"294","","2020","","bilanz","sv_ahv","CHF","fs"
"295","","2020","","bilanz","sv_ahv","CHF","fs"
"296","","2020","","bilanz","sv_ahv","CHF","fs"
"298","","2020","","bilanz","sv_ahv","CHF","fs"
"299","","2020","1940756728.29","bilanz","sv_ahv","CHF","fs"
"empty","","2020","","er","sv_ahv","CHF","fs"
"empty","","2020","","er","sv_ahv","CHF","fs"
"empty","","2020","","er","sv_ahv","CHF","fs"
"empty","","2020","","er","sv_ahv","CHF","fs"
"300","","2020","","aufwand","sv_ahv","CHF","fs"
"301","","2020","8067917.87","aufwand","sv_ahv","CHF","fs"
"302","","2020","","aufwand","sv_ahv","CHF","fs"
"303","","2020","","aufwand","sv_ahv","CHF","fs"
"304","","2020","","aufwand","sv_ahv","CHF","fs"
"305","","2020","1423750.21","aufwand","sv_ahv","CHF","fs"
"306","","2020","","aufwand","sv_ahv","CHF","fs"
"309","","2020","","aufwand","sv_ahv","CHF","fs"
"310","","2020","","aufwand","sv_ahv","CHF","fs"
"311","","2020","","aufwand","sv_ahv","CHF","fs"
"312","","2020","","aufwand","sv_ahv","CHF","fs"
"313","","2020","195593159.43","aufwand","sv_ahv","CHF","fs"
"314","","2020","356773.18","aufwand","sv_ahv","CHF","fs"
"315","","2020","","aufwand","sv_ahv","CHF","fs"
"316","","2020","","aufwand","sv_ahv","CHF","fs"
"317","","2020","","aufwand","sv_ahv","CHF","fs"
"318","","2020","108260349.33","aufwand","sv_ahv","CHF","fs"
"319","","2020","1091006.79","aufwand","sv_ahv","CHF","fs"
"320","","2020","","aufwand","sv_ahv","CHF","fs"
"331","","2020","","aufwand","sv_ahv","CHF","fs"
"337","","2020","1422018.92","aufwand","sv_ahv","CHF","fs"
"338","","2020","","aufwand","sv_ahv","CHF","fs"
"340","","2020","33598878.13","aufwand","sv_ahv","CHF","fs"
"341","","2020","","aufwand","sv_ahv","CHF","fs"
"342","","2020","","aufwand","sv_ahv","CHF","fs"
"343","","2020","952400.94","aufwand","sv_ahv","CHF","fs"
"344","","2020","278879862.91","aufwand","sv_ahv","CHF","fs"
"349","","2020","","aufwand","sv_ahv","CHF","fs"
"350","","2020","","aufwand","sv_ahv","CHF","fs"
"351","","2020","","aufwand","sv_ahv","CHF","fs"
"352","","2020","","aufwand","sv_ahv","CHF","fs"
"3600","","2020","","aufwand","sv_ahv","CHF","fs"
