"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2022","223991710.39","bilanz","sv_alv","CHF","fs"
"101","","2022","1570156068.05","bilanz","sv_alv","CHF","fs"
"102","","2022","","bilanz","sv_alv","CHF","fs"
"104","","2022","183823067.47","bilanz","sv_alv","CHF","fs"
"106","","2022","","bilanz","sv_alv","CHF","fs"
"107","","2022","","bilanz","sv_alv","CHF","fs"
"108","","2022","","bilanz","sv_alv","CHF","fs"
"109","","2022","112700000","bilanz","sv_alv","CHF","fs"
"140","","2022","3395530.11","bilanz","sv_alv","CHF","fs"
"141","","2022","","bilanz","sv_alv","CHF","fs"
"142","","2022","5974839.5","bilanz","sv_alv","CHF","fs"
"143","","2022","","bilanz","sv_alv","CHF","fs"
"144","","2022","","bilanz","sv_alv","CHF","fs"
"145","","2022","","bilanz","sv_alv","CHF","fs"
"146","","2022","","bilanz","sv_alv","CHF","fs"
"147","","2022","2445011855.59","bilanz","sv_alv","CHF","fs"
"148","","2022","","bilanz","sv_alv","CHF","fs"
"200","","2022","261291776.37","bilanz","sv_alv","CHF","fs"
"201","","2022","","bilanz","sv_alv","CHF","fs"
"204","","2022","49519702.11","bilanz","sv_alv","CHF","fs"
"205","","2022","213669796.85","bilanz","sv_alv","CHF","fs"
"206","","2022","","bilanz","sv_alv","CHF","fs"
"207","","2022","","bilanz","sv_alv","CHF","fs"
"208","","2022","","bilanz","sv_alv","CHF","fs"
"209","","2022","","bilanz","sv_alv","CHF","fs"
"290","","2022","","bilanz","sv_alv","CHF","fs"
"292","","2022","","bilanz","sv_alv","CHF","fs"
"293","","2022","","bilanz","sv_alv","CHF","fs"
"294","","2022","","bilanz","sv_alv","CHF","fs"
"295","","2022","","bilanz","sv_alv","CHF","fs"
"296","","2022","","bilanz","sv_alv","CHF","fs"
"298","","2022","","bilanz","sv_alv","CHF","fs"
"299","","2022","4020571795.78","bilanz","sv_alv","CHF","fs"
"empty","","2022","","er","sv_alv","CHF","fs"
"empty","","2022","","er","sv_alv","CHF","fs"
"empty","","2022","","er","sv_alv","CHF","fs"
"empty","","2022","","er","sv_alv","CHF","fs"
"300","","2022","","aufwand","sv_alv","CHF","fs"
"301","","2022","176719282.78","aufwand","sv_alv","CHF","fs"
"302","","2022","","aufwand","sv_alv","CHF","fs"
"303","","2022","","aufwand","sv_alv","CHF","fs"
"304","","2022","","aufwand","sv_alv","CHF","fs"
"305","","2022","36585163.85","aufwand","sv_alv","CHF","fs"
"306","","2022","","aufwand","sv_alv","CHF","fs"
"309","","2022","265500.26","aufwand","sv_alv","CHF","fs"
"310","","2022","1578395.3","aufwand","sv_alv","CHF","fs"
"311","","2022","488737.31","aufwand","sv_alv","CHF","fs"
"312","","2022","1815944.44","aufwand","sv_alv","CHF","fs"
"313","","2022","227404694.84","aufwand","sv_alv","CHF","fs"
"314","","2022","199155.21","aufwand","sv_alv","CHF","fs"
"315","","2022","59523653.93","aufwand","sv_alv","CHF","fs"
"316","","2022","11919909.32","aufwand","sv_alv","CHF","fs"
"317","","2022","853273.79","aufwand","sv_alv","CHF","fs"
"318","","2022","15925663.49","aufwand","sv_alv","CHF","fs"
"319","","2022","","aufwand","sv_alv","CHF","fs"
"320","","2022","","aufwand","sv_alv","CHF","fs"
"331","","2022","","aufwand","sv_alv","CHF","fs"
"337","","2022","4763376.05","aufwand","sv_alv","CHF","fs"
"338","","2022","","aufwand","sv_alv","CHF","fs"
"340","","2022","57725.46","aufwand","sv_alv","CHF","fs"
"341","","2022","451951.95","aufwand","sv_alv","CHF","fs"
"342","","2022","","aufwand","sv_alv","CHF","fs"
"343","","2022","","aufwand","sv_alv","CHF","fs"
"344","","2022","","aufwand","sv_alv","CHF","fs"
"349","","2022","","aufwand","sv_alv","CHF","fs"
"350","","2022","","aufwand","sv_alv","CHF","fs"
