"arten","funk","jahr","value","dim","unit"
"100","","2018","55830033.28","bilanz","CHF"
"101","","2018","148215403.88","bilanz","CHF"
"102","","2018","12254601.73","bilanz","CHF"
"104","","2018","31078788.09","bilanz","CHF"
"106","","2018","","bilanz","CHF"
"107","","2018","785271838.24","bilanz","CHF"
"108","","2018","3989459.48","bilanz","CHF"
"109","","2018","","bilanz","CHF"
"140","","2018","731076.04","bilanz","CHF"
"141","","2018","","bilanz","CHF"
"142","","2018","","bilanz","CHF"
"143","","2018","","bilanz","CHF"
"144","","2018","","bilanz","CHF"
"145","","2018","","bilanz","CHF"
"146","","2018","","bilanz","CHF"
"147","","2018","","bilanz","CHF"
"148","","2018","","bilanz","CHF"
"200","","2018","1608409.48","bilanz","CHF"
"201","","2018","6198808.65","bilanz","CHF"
"204","","2018","147334.87","bilanz","CHF"
"205","","2018","4818986.28","bilanz","CHF"
"206","","2018","","bilanz","CHF"
"207","","2018","","bilanz","CHF"
"208","","2018","","bilanz","CHF"
"209","","2018","","bilanz","CHF"
"290","","2018","1036432143.45","bilanz","CHF"
"292","","2018","","bilanz","CHF"
"293","","2018","","bilanz","CHF"
"294","","2018","","bilanz","CHF"
"295","","2018","","bilanz","CHF"
"296","","2018","","bilanz","CHF"
"298","","2018","","bilanz","CHF"
"299","","2018","-11834481.99","bilanz","CHF"
"300","","2018","","aufwand","CHF"
"301","","2018","","aufwand","CHF"
"302","","2018","","aufwand","CHF"
"303","","2018","","aufwand","CHF"
"304","","2018","","aufwand","CHF"
"305","","2018","","aufwand","CHF"
"306","","2018","","aufwand","CHF"
"309","","2018","","aufwand","CHF"
"310","","2018","","aufwand","CHF"
"311","","2018","","aufwand","CHF"
"312","","2018","","aufwand","CHF"
"313","","2018","3164947.67","aufwand","CHF"
"314","","2018","11213.88","aufwand","CHF"
"315","","2018","","aufwand","CHF"
"316","","2018","","aufwand","CHF"
"317","","2018","","aufwand","CHF"
"318","","2018","5651971.51","aufwand","CHF"
"319","","2018","","aufwand","CHF"
"320","","2018","","aufwand","CHF"
"331","","2018","","aufwand","CHF"
"337","","2018","43674.48","aufwand","CHF"
"338","","2018","","aufwand","CHF"
"340","","2018","2126608.38","aufwand","CHF"
"341","","2018","5322859.01","aufwand","CHF"
"342","","2018","","aufwand","CHF"
"343","","2018","15950.74","aufwand","CHF"
"344","","2018","44472719.44","aufwand","CHF"
"349","","2018","","aufwand","CHF"
"350","","2018","","aufwand","CHF"
"351","","2018","","aufwand","CHF"
"352","","2018","","aufwand","CHF"
"3600","","2018","","aufwand","CHF"
"36010","","2018","","aufwand","CHF"
"36011","","2018","","aufwand","CHF"
"36012","","2018","","aufwand","CHF"
"36013","","2018","","aufwand","CHF"
"36014","","2018","","aufwand","CHF"
"36015","","2018","","aufwand","CHF"
"36016","","2018","","aufwand","CHF"
"36017","","2018","","aufwand","CHF"
"36018","","2018","","aufwand","CHF"
"36019","","2018","","aufwand","CHF"
"36021","","2018","","aufwand","CHF"
"36022","","2018","","aufwand","CHF"
"36023","","2018","","aufwand","CHF"
"36029","","2018","","aufwand","CHF"
"3603","","2018","","aufwand","CHF"
"3604","","2018","","aufwand","CHF"
"3610","","2018","","aufwand","CHF"
"3611","","2018","","aufwand","CHF"
"3612","","2018","","aufwand","CHF"
"3613","","2018","","aufwand","CHF"
"3614","","2018","","aufwand","CHF"
"3620","","2018","","aufwand","CHF"
"36211","","2018","","aufwand","CHF"
"36212","","2018","","aufwand","CHF"
"36213","","2018","","aufwand","CHF"
"36214","","2018","","aufwand","CHF"
"36215","","2018","","aufwand","CHF"
"36216","","2018","","aufwand","CHF"
"36217","","2018","","aufwand","CHF"
"36219","","2018","","aufwand","CHF"
